				Communities	1				2				3				4				5				6				7				8				9				10				11				12				13				14				15				16				17				18				19				20				21				22				23				24				25				26				27				28				29				30				31				32				33				34				35				36				37				38				39				40				41				42				43				44				45				46				47				48				49				50				51				52				53				54				55				56				57				58				59				60				61				62				63				64				65				66				67				68				69				70				71				72				73				74				75				76				77				78				79				80				81				82				83				84				85				86				87				88				89				90				91				
annotation 1	n1	annotation 2	n2	actual overlap	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{p.chi2, adjusted}	
Differentiallly expressed proteins	221	MAPK_cascade	122	25	0.0, 0.34, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.26, 4.19, [0.52,33.51]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.26, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.30, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.06, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.34, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	2.0, 0.44, 5.21, [1.15,23.60]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.32, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.28, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.36, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.30, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.30, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.32, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.06, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.54, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.20, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	2.0, 0.32, 7.48, [1.61,34.81]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.38, 2.78, [0.36,21.66]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.36, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.28, 3.86, [0.49,30.72]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.16, 7.21, [0.85,60.90]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.20, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.36, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	2.0, 0.44, 5.21, [1.15,23.60]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.54, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.28, 3.86, [0.49,30.72]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.50, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.66, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.34, 3.13, [0.40,24.57]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.48, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.18, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.72, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.06, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.06, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.36, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.18, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.20, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.28, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.30, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.56, 1.84, [0.24,14.09]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.30, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.42, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.48, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.28, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.26, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.20, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.24, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	3.0, 0.20, 23.59, [5.72,97.28]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.26, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.54, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.36, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.46, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.44, 2.38, [0.31,18.38]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.34, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.24, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.06, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	2.0, 0.36, 6.53, [1.42,30.07]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.30, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.28, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.24, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.44, 2.38, [0.31,18.38]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.36, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	2.0, 0.20, 13.15, [2.65,65.37]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.20, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	2.0, 0.34, 6.97, [1.51,32.27]	1, 1, 	1, 1, 	1, 1, 	1.0, 0.20, 5.60, [0.68,45.94]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.20, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1, 1, 	
