C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	10	66	1	0.530973	1.99658	[0.25,16.00]	0.32679	1	0.1		0.905108	1		69	1	0.555109	1.90359	[0.24,15.24]	0.33386	1	0.1		0.89755	1		209	3	1.68142	2.13662	[0.55,8.33]	0.157477	1	0.1		0.92913	1		111	1	0.893001	1.13434	[0.14,9.04]	0.386497	1	0.1		0.777521	1		66	1	0.530973	1.99658	[0.25,16.00]	0.32679	1	0.1		0.905108	1		39	0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1		80	1	0.643604	1.62307	[0.20,12.97]	0.355535	1	0.1		0.868395	1		109	0	0.876911	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.635559	1.6453	[0.21,13.15]	0.353827	1	0.1		0.871131	1		262	3	2.1078	1.61169	[0.41,6.28]	0.307881	1	0.1		0.767382	1		71	0	0.571199	0	[0.00,0.00]	1	1	0.1		1	1		
12	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.504425	2.48077	[0.22,27.49]	0.349562	1	0.1		0.924917	1		111	1	0.2679	5.13636	[0.46,57.10]	0.22253	1	0.1		0.977662	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
13	38	66	2	2.0177	0.990451	[0.23,4.21]	0.671994	1	0.1		0.282332	1		69	1	2.10941	0.451908	[0.06,3.34]	0.3648	1	0.1		0.254457	1		209	7	6.38938	1.12121	[0.49,2.58]	0.524811	1	0.1		0.336774	1		111	6	3.3934	1.96429	[0.80,4.81]	0.0966012	1	0.1		0.926905	1		66	2	2.0177	0.990451	[0.23,4.21]	0.671994	1	0.1		0.282332	1		39	1	1.19228	0.830014	[0.11,6.21]	0.663425	1	0.1		0.371158	1		80	3	2.4457	1.25566	[0.38,4.18]	0.506693	1	0.1		0.491452	1		109	7	3.33226	2.44181	[1.05,5.68]	0.0281319	1	0.1		0.985828	1		79	4	2.41512	1.77255	[0.61,5.13]	0.209454	1	0.1		0.832777	1		262	13	8.00965	1.99647	[1.01,3.96]	0.048545	1	0.1		0.956872	1		71	2	2.17056	0.914654	[0.22,3.88]	0.628849	1	0.1		0.279955	1		
14	13	66	0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1		69	2	0.721641	3.15604	[0.69,14.53]	0.128415	1	0.1		0.968644	1		209	1	2.18584	0.409455	[0.05,3.17]	0.329911	1	0.1		0.239735	1		111	3	1.1609	3.11667	[0.84,11.50]	0.0795938	1	0.1		0.977131	1		66	0	0.690265	0	[0.00,0.00]	1	1	0.1		1	1		39	2	0.407884	5.86241	[1.25,27.39]	0.053599	1	0.1		0.993426	1		80	2	0.836685	2.68531	[0.58,12.33]	0.155886	1	0.1		0.954048	1		109	0	1.13998	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.826227	0	[0.00,0.00]	1	1	0.1		1	1		262	1	2.74014	0.309387	[0.04,2.39]	0.204594	1	0.1		0.159279	1		71	0	0.742558	0	[0.00,0.00]	1	1	0.1		1	1		
15	30	66	6	1.59292	4.80417	[1.89,12.19]	0.00319522	0.902769	0.1		0.999335	1		69	4	1.66533	2.71716	[0.92,8.02]	0.0580951	1	0.1		0.978072	1		209	13	5.04425	3.96789	[1.90,8.30]	0.00038308	0.29903	0.1		0.999888	1		111	5	2.679	2.08868	[0.78,5.57]	0.135997	1	0.1		0.897187	1		66	6	1.59292	4.80417	[1.89,12.19]	0.00319522	0.902769	0.1		0.999335	1		39	4	0.941271	5.17802	[1.71,15.63]	0.0107269	1	0.1		0.998125	1		80	3	1.93081	1.63925	[0.49,5.52]	0.314169	1	0.1		0.745519	1		109	6	2.63073	2.69417	[1.08,6.74]	0.0288886	1	0.1		0.987739	1		79	6	1.90668	3.90411	[1.55,9.85]	0.00746799	1	0.1		0.998013	1		262	10	6.32341	1.90675	[0.88,4.13]	0.0764819	1	0.1		0.933711	1		71	3	1.7136	1.87092	[0.55,6.32]	0.155879	1	0.1		0.913017	1		
16	14	66	0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.777152	0	[0.00,0.00]	1	1	0.1		1	1		209	4	2.35398	1.99805	[0.62,6.43]	0.201924	1	0.1		0.855061	1		111	3	1.2502	2.83081	[0.78,10.30]	0.0924065	1	0.1		0.970142	1		66	0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.43926	2.41093	[0.31,18.91]	0.292697	1	0.1		0.931163	1		80	0	0.901046	0	[0.00,0.00]	1	1	0.1		1	1		109	0	1.22767	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.889783	0	[0.00,0.00]	1	1	0.1		1	1		262	2	2.95093	0.621154	[0.14,2.79]	0.407383	1	0.1		0.236588	1		71	0	0.799678	0	[0.00,0.00]	1	1	0.1		1	1		
17	23	66	1	1.22124	0.807692	[0.11,6.09]	0.65226	1	0.1		0.370419	1		69	3	1.27675	2.62273	[0.76,9.05]	0.0964791	1	0.1		0.965423	1		209	2	3.86726	0.466069	[0.11,2.00]	0.229059	1	0.1		0.149131	1		111	2	2.0539	0.97073	[0.22,4.20]	0.661685	1	0.1		0.28553	1		66	1	1.22124	0.807692	[0.11,6.09]	0.65226	1	0.1		0.370419	1		39	0	0.721641	0	[0.00,0.00]	1	1	0.1		1	1		80	0	1.48029	0	[0.00,0.00]	1	1	0.1		1	1		109	4	2.01689	2.23559	[0.75,6.69]	0.0913329	1	0.1		0.955749	1		79	0	1.46179	0	[0.00,0.00]	1	1	0.1		1	1		262	3	4.84795	0.556564	[0.16,1.89]	0.252147	1	0.1		0.145524	1		71	0	1.31376	0	[0.00,0.00]	1	1	0.1		1	1		
18	9	66	0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.499598	0	[0.00,0.00]	1	1	0.1		1	1		209	1	1.51327	0.616587	[0.08,4.96]	0.537263	1	0.1		0.347641	1		111	3	0.803701	5.21296	[1.29,21.14]	0.0337367	1	0.1		0.994661	1		66	0	0.477876	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.282381	3.93421	[0.48,32.25]	0.220072	1	0.1		0.969947	1		80	0	0.579244	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.572003	0	[0.00,0.00]	1	1	0.1		1	1		262	1	1.89702	0.465996	[0.06,3.74]	0.403521	1	0.1		0.285651	1		71	0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1		
19	16	66	0	0.849558	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.888174	0	[0.00,0.00]	1	1	0.1		1	1		209	2	2.69027	0.703934	[0.16,3.12]	0.479458	1	0.1		0.258734	1		111	0	1.4288	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.849558	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.502011	2.08596	[0.27,16.20]	0.314137	1	0.1		0.912708	1		80	0	1.02977	0	[0.00,0.00]	1	1	0.1		1	1		109	1	1.40306	0.690741	[0.09,5.28]	0.583709	1	0.1		0.355567	1		79	0	1.01689	0	[0.00,0.00]	1	1	0.1		1	1		262	2	3.37249	0.531319	[0.12,2.35]	0.311761	1	0.1		0.193902	1		71	0	0.913918	0	[0.00,0.00]	1	1	0.1		1	1		
20	14	66	1	0.743363	1.37751	[0.18,10.69]	0.368296	1	0.1		0.832254	1		69	0	0.777152	0	[0.00,0.00]	1	1	0.1		1	1		209	7	2.35398	5.08416	[1.76,14.65]	0.00342448	0.902769	0.1		0.999327	1		111	5	1.2502	5.88574	[1.94,17.88]	0.00466122	1	0.1		0.999264	1		66	1	0.743363	1.37751	[0.18,10.69]	0.368296	1	0.1		0.832254	1		39	2	0.43926	5.36937	[1.16,24.85]	0.0606512	1	0.1		0.991814	1		80	1	0.901046	1.11977	[0.14,8.67]	0.381801	1	0.1		0.773828	1		109	1	1.22767	0.798433	[0.10,6.16]	0.648718	1	0.1		0.373987	1		79	0	0.889783	0	[0.00,0.00]	1	1	0.1		1	1		262	4	2.95093	1.50543	[0.47,4.84]	0.356862	1	0.1		0.676315	1		71	1	0.799678	1.27363	[0.16,9.88]	0.37476	1	0.1		0.811728	1		
21	9	66	1	0.477876	2.24808	[0.28,18.25]	0.310464	1	0.1		0.921461	1		69	1	0.499598	2.14338	[0.26,17.39]	0.317997	1	0.1		0.915073	1		209	0	1.51327	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.803701	0	[0.00,0.00]	1	1	0.1		1	1		66	1	0.477876	2.24808	[0.28,18.25]	0.310464	1	0.1		0.921461	1		39	0	0.282381	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.579244	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.78922	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.572003	1.85256	[0.23,15.00]	0.339931	1	0.1		0.892618	1		262	4	1.89702	3.02636	[0.81,11.35]	0.0758339	1	0.1		0.976047	1		71	0	0.514079	0	[0.00,0.00]	1	1	0.1		1	1		
22	8	66	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1		209	3	1.34513	2.99709	[0.71,12.64]	0.105876	1	0.1		0.96888	1		111	0	0.714401	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.251006	4.5	[0.54,37.49]	0.20183	1	0.1		0.976157	1		80	0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.701529	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.508447	0	[0.00,0.00]	1	1	0.1		1	1		262	0	1.68624	0	[0.00,0.00]	1	1	0.1		1	1		71	3	0.456959	10.2971	[2.41,43.99]	0.0075571	1	0.1		0.999424	1		
23	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
