C	Cn	GO:0000165	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0001504	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0002218	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0002224	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0002431	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0002757	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0002758	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0007212	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0007223	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0007268	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0007269	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0007411	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0007416	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0008088	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0008089	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0009755	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0010611	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0010737	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0016079	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0016082	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0019722	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0019933	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0031629	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0031929	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0032288	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0035235	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0042417	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0042552	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0043491	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0046058	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0048488	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0048791	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0048846	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0050804	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0050807	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0050808	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0050852	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0050853	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0051403	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0051591	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0051963	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0055074	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0060074	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0060078	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0060563	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0070528	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0086065	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0098693	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0098877	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0098930	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099003	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099054	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099072	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099504	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099531	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099536	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099537	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099565	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099601	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099637	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:0099643	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GO:2000300	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
2	106	122	18	10.3955	2.03365	[1.18,3.51]	0.0106134	1	0.1		0.990666	1		8	0	0.681672	0	[0.00,0.00]	1	1	0.1		1	1		43	3	3.66399	0.799515	[0.24,2.63]	0.493238	1	0.1		0.219289	1		10	0	0.85209	0	[0.00,0.00]	1	1	0.1		1	1		25	7	2.13023	4.39955	[1.79,10.79]	0.00287045	1	0.1		0.999321	1		72	10	6.13505	1.8078	[0.90,3.64]	0.0863018	1	0.1		0.919295	1		42	3	3.57878	0.820762	[0.25,2.70]	0.512356	1	0.1		0.223108	1		14	2	1.19293	1.80449	[0.40,8.17]	0.228229	1	0.1		0.890211	1		8	2	0.681672	3.62821	[0.72,18.20]	0.119126	1	0.1		0.975461	1		124	21	10.5659	2.48258	[1.48,4.17]	0.000745189	0.740337	0.1		0.999511	1		36	1	3.06752	0.300136	[0.04,2.21]	0.172181	1	0.1		0.133572	1		40	13	3.40836	5.75189	[2.87,11.52]	8.70327e-06	0.0268414	0.1	*	0.999998	1		16	3	1.36334	2.52054	[0.71,8.99]	0.108801	1	0.1		0.959314	1		11	0	0.937299	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.511254	0	[0.00,0.00]	1	1	0.1		1	1		14	1	1.19293	0.824176	[0.11,6.36]	0.661982	1	0.1		0.376536	1		10	2	0.85209	2.71635	[0.57,12.96]	0.160577	1	0.1		0.953625	1		5	0	0.426045	0	[0.00,0.00]	1	1	0.1		1	1		26	0	2.21543	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.85209	0	[0.00,0.00]	1	1	0.1		1	1		30	5	2.55627	2.20396	[0.83,5.88]	0.135347	1	0.1		0.896747	1		9	0	0.766881	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.596463	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.85209	0	[0.00,0.00]	1	1	0.1		1	1		5	2	0.426045	7.27564	[1.20,44.04]	0.0553566	1	0.1		0.994698	1		6	2	0.511254	5.45192	[0.99,30.12]	0.0760651	1	0.1		0.990052	1		7	2	0.596463	4.35769	[0.84,22.74]	0.0975452	1	0.1		0.983662	1		23	2	1.95981	1.02289	[0.24,4.42]	0.688571	1	0.1		0.285739	1		20	4	1.70418	2.75	[0.90,8.38]	0.060842	1	0.1		0.977524	1		14	2	1.19293	1.80449	[0.40,8.17]	0.228229	1	0.1		0.890211	1		14	2	1.19293	1.80449	[0.40,8.17]	0.228229	1	0.1		0.890211	1		4	0	0.340836	0	[0.00,0.00]	1	1	0.1		1	1		1	0	0.085209	0	[0.00,0.00]	1	1	0.1		1	1		75	11	6.39068	1.94309	[0.99,3.81]	0.034959	1	0.1		0.970707	1		17	2	1.44855	1.43974	[0.32,6.38]	0.479394	1	0.1		0.611379	1		42	7	3.57878	2.22828	[0.96,5.15]	0.0600184	1	0.1		0.95608	1		37	4	3.15273	1.31313	[0.46,3.78]	0.347603	1	0.1		0.63788	1		4	1	0.340836	3.60317	[0.37,34.95]	0.261494	1	0.1		0.961484	1		37	1	3.15273	0.291534	[0.04,2.15]	0.160571	1	0.1		0.12535	1		13	1	1.10772	0.893651	[0.12,6.94]	0.694586	1	0.1		0.382244	1		10	1	0.85209	1.19471	[0.15,9.52]	0.384025	1	0.1		0.793048	1		49	5	4.17524	1.23087	[0.48,3.17]	0.368634	1	0.1		0.571498	1		4	2	0.340836	10.9231	[1.52,78.35]	0.0362547	1	0.1		0.997739	1		19	8	1.61897	8.36364	[3.29,21.28]	6.58052e-05	0.106602	0.1		0.999992	1		4	0	0.340836	0	[0.00,0.00]	1	1	0.1		1	1		3	0	0.255627	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.85209	0	[0.00,0.00]	1	1	0.1		1	1		16	1	1.36334	0.713016	[0.09,5.45]	0.598314	1	0.1		0.359965	1		6	0	0.511254	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.85209	0	[0.00,0.00]	1	1	0.1		1	1		42	4	3.57878	1.13519	[0.40,3.24]	0.492936	1	0.1		0.426796	1		3	0	0.255627	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.511254	0	[0.00,0.00]	1	1	0.1		1	1		38	2	3.23794	0.588675	[0.14,2.48]	0.356852	1	0.1		0.207186	1		37	1	3.15273	0.291534	[0.04,2.15]	0.160571	1	0.1		0.12535	1		124	21	10.5659	2.48258	[1.48,4.17]	0.000745189	0.740337	0.1		0.999511	1		124	21	10.5659	2.48258	[1.48,4.17]	0.000745189	0.740337	0.1		0.999511	1		20	8	1.70418	7.65986	[3.06,19.18]	0.000100901	0.152534	0.1		0.999987	1		6	3	0.511254	11.0194	[2.20,55.29]	0.00929312	1	0.1		0.999345	1		7	0	0.596463	0	[0.00,0.00]	1	1	0.1		1	1		36	1	3.06752	0.300136	[0.04,2.21]	0.172181	1	0.1		0.133572	1		12	0	1.02251	0	[0.00,0.00]	1	1	0.1		1	1		
3	20	122	7	1.96141	5.19264	[2.03,13.28]	0.0016132	1	0.1		0.999687	1		8	0	0.128617	0	[0.00,0.00]	1	1	0.1		1	1		43	7	0.691318	17.7692	[6.69,47.20]	1.88822e-06	0.00635278	0.1	**	1	1		10	0	0.160772	0	[0.00,0.00]	1	1	0.1		1	1		25	0	0.401929	0	[0.00,0.00]	1	1	0.1		1	1		72	7	1.15756	9.60118	[3.70,24.88]	6.27198e-05	0.106602	0.1		0.999994	1		42	7	0.675241	18.2923	[6.88,48.66]	1.59812e-06	0.00591444	0.1	**	1	1		14	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		8	0	0.128617	0	[0.00,0.00]	1	1	0.1		1	1		124	0	1.99357	0	[0.00,0.00]	1	1	0.1		1	1		36	0	0.578778	0	[0.00,0.00]	1	1	0.1		1	1		40	0	0.643087	0	[0.00,0.00]	1	1	0.1		1	1		16	1	0.257235	4.24211	[0.53,33.77]	0.203897	1	0.1		0.974243	1		11	1	0.176849	6.38947	[0.78,52.44]	0.151516	1	0.1		0.987612	1		6	1	0.096463	12.8316	[1.43,115.16]	0.0893013	1	0.1		0.996454	1		14	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.160772	0	[0.00,0.00]	1	1	0.1		1	1		5	0	0.0803859	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.418006	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.160772	0	[0.00,0.00]	1	1	0.1		1	1		30	1	0.482315	2.16878	[0.28,16.75]	0.306968	1	0.1		0.918345	1		9	0	0.144695	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.11254	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.160772	0	[0.00,0.00]	1	1	0.1		1	1		5	0	0.0803859	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.096463	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.11254	0	[0.00,0.00]	1	1	0.1		1	1		23	0	0.369775	0	[0.00,0.00]	1	1	0.1		1	1		20	0	0.321543	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0643087	0	[0.00,0.00]	1	1	0.1		1	1		1	0	0.0160772	0	[0.00,0.00]	1	1	0.1		1	1		75	0	1.20579	0	[0.00,0.00]	1	1	0.1		1	1		17	1	0.273312	3.97368	[0.50,31.51]	0.213288	1	0.1		0.971089	1		42	2	0.675241	3.28889	[0.74,14.66]	0.116893	1	0.1		0.97265	1		37	7	0.594855	21.4308	[7.98,57.54]	6.43865e-07	0.00264762	0.1	**	1	1		4	0	0.0643087	0	[0.00,0.00]	1	1	0.1		1	1		37	0	0.594855	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.209003	0	[0.00,0.00]	1	1	0.1		1	1		10	1	0.160772	7.10526	[0.86,58.91]	0.139896	1	0.1		0.989766	1		49	0	0.787781	0	[0.00,0.00]	1	1	0.1		1	1		4	1	0.0643087	21.4211	[2.13,215.40]	0.0614022	1	0.1		0.998554	1		19	0	0.305466	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0643087	0	[0.00,0.00]	1	1	0.1		1	1		3	0	0.0482315	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.160772	0	[0.00,0.00]	1	1	0.1		1	1		16	0	0.257235	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.096463	0	[0.00,0.00]	1	1	0.1		1	1		10	1	0.160772	7.10526	[0.86,58.91]	0.139896	1	0.1		0.989766	1		42	0	0.675241	0	[0.00,0.00]	1	1	0.1		1	1		3	0	0.0482315	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.096463	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.610932	0	[0.00,0.00]	1	1	0.1		1	1		37	0	0.594855	0	[0.00,0.00]	1	1	0.1		1	1		124	0	1.99357	0	[0.00,0.00]	1	1	0.1		1	1		124	0	1.99357	0	[0.00,0.00]	1	1	0.1		1	1		20	0	0.321543	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.096463	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.11254	0	[0.00,0.00]	1	1	0.1		1	1		36	0	0.578778	0	[0.00,0.00]	1	1	0.1		1	1		12	0	0.192926	0	[0.00,0.00]	1	1	0.1		1	1		
4	28	122	0	2.74598	0	[0.00,0.00]	1	1	0.1		1	1		8	1	0.180064	6.39683	[0.76,53.82]	0.154348	1	0.1		0.987414	1		43	0	0.967846	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		25	0	0.562701	0	[0.00,0.00]	1	1	0.1		1	1		72	0	1.62058	0	[0.00,0.00]	1	1	0.1		1	1		42	0	0.945338	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.315113	0	[0.00,0.00]	1	1	0.1		1	1		8	0	0.180064	0	[0.00,0.00]	1	1	0.1		1	1		124	1	2.791	0.329118	[0.04,2.44]	0.21336	1	0.1		0.162275	1		36	0	0.810289	0	[0.00,0.00]	1	1	0.1		1	1		40	0	0.900322	0	[0.00,0.00]	1	1	0.1		1	1		16	0	0.360129	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.247588	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.135048	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.315113	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		5	0	0.11254	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.585209	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		30	0	0.675241	0	[0.00,0.00]	1	1	0.1		1	1		9	0	0.202572	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.157556	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		5	0	0.11254	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.135048	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.157556	0	[0.00,0.00]	1	1	0.1		1	1		23	0	0.517685	0	[0.00,0.00]	1	1	0.1		1	1		20	0	0.450161	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.315113	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.315113	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0900322	0	[0.00,0.00]	1	1	0.1		1	1		1	0	0.022508	0	[0.00,0.00]	1	1	0.1		1	1		75	1	1.6881	0.571572	[0.08,4.26]	0.487961	1	0.1		0.316076	1		17	0	0.382637	0	[0.00,0.00]	1	1	0.1		1	1		42	0	0.945338	0	[0.00,0.00]	1	1	0.1		1	1		37	0	0.832797	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0900322	0	[0.00,0.00]	1	1	0.1		1	1		37	0	0.832797	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.292605	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		49	0	1.10289	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0900322	0	[0.00,0.00]	1	1	0.1		1	1		19	0	0.427653	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0900322	0	[0.00,0.00]	1	1	0.1		1	1		3	0	0.0675241	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		16	0	0.360129	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.135048	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.22508	0	[0.00,0.00]	1	1	0.1		1	1		42	0	0.945338	0	[0.00,0.00]	1	1	0.1		1	1		3	0	0.0675241	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.135048	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.855305	0	[0.00,0.00]	1	1	0.1		1	1		37	0	0.832797	0	[0.00,0.00]	1	1	0.1		1	1		124	1	2.791	0.329118	[0.04,2.44]	0.21336	1	0.1		0.162275	1		124	1	2.791	0.329118	[0.04,2.44]	0.21336	1	0.1		0.162275	1		20	0	0.450161	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.135048	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.157556	0	[0.00,0.00]	1	1	0.1		1	1		36	0	0.810289	0	[0.00,0.00]	1	1	0.1		1	1		12	0	0.270096	0	[0.00,0.00]	1	1	0.1		1	1		
5	22	122	4	2.15756	2.0791	[0.69,6.25]	0.206697	1	0.1		0.842534	1		8	0	0.141479	0	[0.00,0.00]	1	1	0.1		1	1		43	0	0.76045	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		25	0	0.442122	0	[0.00,0.00]	1	1	0.1		1	1		72	0	1.27331	0	[0.00,0.00]	1	1	0.1		1	1		42	0	0.742765	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.247588	0	[0.00,0.00]	1	1	0.1		1	1		8	0	0.141479	0	[0.00,0.00]	1	1	0.1		1	1		124	0	2.19293	0	[0.00,0.00]	1	1	0.1		1	1		36	0	0.636656	0	[0.00,0.00]	1	1	0.1		1	1		40	0	0.707395	0	[0.00,0.00]	1	1	0.1		1	1		16	0	0.282958	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.194534	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.106109	0	[0.00,0.00]	1	1	0.1		1	1		14	1	0.247588	4.42857	[0.55,35.42]	0.19818	1	0.1		0.976101	1		10	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		5	0	0.0884244	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.459807	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		30	0	0.530547	0	[0.00,0.00]	1	1	0.1		1	1		9	0	0.159164	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.123794	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		5	0	0.0884244	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.106109	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.123794	0	[0.00,0.00]	1	1	0.1		1	1		23	0	0.406752	0	[0.00,0.00]	1	1	0.1		1	1		20	1	0.353698	3.01504	[0.39,23.58]	0.255268	1	0.1		0.953194	1		14	0	0.247588	0	[0.00,0.00]	1	1	0.1		1	1		14	0	0.247588	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0707395	0	[0.00,0.00]	1	1	0.1		1	1		1	0	0.0176849	0	[0.00,0.00]	1	1	0.1		1	1		75	0	1.32637	0	[0.00,0.00]	1	1	0.1		1	1		17	0	0.300643	0	[0.00,0.00]	1	1	0.1		1	1		42	0	0.742765	0	[0.00,0.00]	1	1	0.1		1	1		37	0	0.654341	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0707395	0	[0.00,0.00]	1	1	0.1		1	1		37	1	0.654341	1.56878	[0.21,11.98]	0.351196	1	0.1		0.86289	1		13	0	0.229904	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		49	0	0.866559	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0707395	0	[0.00,0.00]	1	1	0.1		1	1		19	0	0.336013	0	[0.00,0.00]	1	1	0.1		1	1		4	0	0.0707395	0	[0.00,0.00]	1	1	0.1		1	1		3	0	0.0530547	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		16	0	0.282958	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.106109	0	[0.00,0.00]	1	1	0.1		1	1		10	0	0.176849	0	[0.00,0.00]	1	1	0.1		1	1		42	0	0.742765	0	[0.00,0.00]	1	1	0.1		1	1		3	0	0.0530547	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.106109	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.672026	0	[0.00,0.00]	1	1	0.1		1	1		37	0	0.654341	0	[0.00,0.00]	1	1	0.1		1	1		124	0	2.19293	0	[0.00,0.00]	1	1	0.1		1	1		124	0	2.19293	0	[0.00,0.00]	1	1	0.1		1	1		20	0	0.353698	0	[0.00,0.00]	1	1	0.1		1	1		6	0	0.106109	0	[0.00,0.00]	1	1	0.1		1	1		7	0	0.123794	0	[0.00,0.00]	1	1	0.1		1	1		36	0	0.636656	0	[0.00,0.00]	1	1	0.1		1	1		12	0	0.212219	0	[0.00,0.00]	1	1	0.1		1	1		
