C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
12	17	66	1	0.901929	1.11731	[0.15,8.56]	0.379862	1	0.1		0.773266	1		69	0	0.942926	0	[0.00,0.00]	1	1	0.1		1	1		209	6	2.85611	2.75146	[1.01,7.52]	0.0362195	1	0.1		0.985315	1		111	4	1.51688	3.2207	[1.03,10.05]	0.0441435	1	0.1		0.986632	1		66	1	0.901929	1.11731	[0.15,8.56]	0.379862	1	0.1		0.773266	1		39	1	0.532958	1.95559	[0.25,15.13]	0.323306	1	0.1		0.903112	1		80	1	1.09325	0.908228	[0.12,6.94]	0.700401	1	0.1		0.379803	1		109	0	1.48955	0	[0.00,0.00]	1	1	0.1		1	1		79	0	1.07958	0	[0.00,0.00]	1	1	0.1		1	1		262	6	3.58039	2.06889	[0.76,5.65]	0.0972066	1	0.1		0.935222	1		71	0	0.970257	0	[0.00,0.00]	1	1	0.1		1	1		
13	37	66	4	1.96302	2.23851	[0.77,6.52]	0.0862186	1	0.1		0.957999	1		69	2	2.05225	0.972281	[0.23,4.13]	0.662231	1	0.1		0.282173	1		209	6	6.21624	0.957254	[0.39,2.32]	0.568598	1	0.1		0.177159	1		111	1	3.30145	0.27702	[0.04,2.04]	0.141588	1	0.1		0.111741	1		66	4	1.96302	2.23851	[0.77,6.52]	0.0862186	1	0.1		0.957999	1		39	1	1.15997	0.854532	[0.11,6.40]	0.675534	1	0.1		0.373199	1		80	5	2.37942	2.35833	[0.89,6.23]	0.0561959	1	0.1		0.972704	1		109	10	3.24196	4.14516	[1.95,8.81]	0.000641947	0.485313	0.1		0.999827	1		79	5	2.34968	2.39231	[0.91,6.32]	0.0541716	1	0.1		0.974192	1		262	8	7.7926	1.03503	[0.47,2.29]	0.626762	1	0.1		0.159442	1		71	6	2.11174	3.4005	[1.37,8.44]	0.0120432	1	0.1		0.996198	1		
14	6	66	1	0.318328	3.60923	[0.42,31.34]	0.24325	1	0.1		0.963785	1		69	0	0.332797	0	[0.00,0.00]	1	1	0.1		1	1		209	0	1.00804	0	[0.00,0.00]	1	1	0.1		1	1		111	1	0.53537	2.05091	[0.24,17.71]	0.336595	1	0.1		0.906684	1		66	1	0.318328	3.60923	[0.42,31.34]	0.24325	1	0.1		0.963785	1		39	0	0.188103	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.385852	0	[0.00,0.00]	1	1	0.1		1	1		109	1	0.525723	2.09259	[0.24,18.08]	0.333463	1	0.1		0.90963	1		79	0	0.381029	0	[0.00,0.00]	1	1	0.1		1	1		262	1	1.26367	0.748659	[0.09,6.44]	0.629245	1	0.1		0.388063	1		71	2	0.342444	8.47101	[1.52,47.06]	0.0383476	1	0.1		0.99685	1		
15	9	66	0	0.477492	0	[0.00,0.00]	1	1	0.1		1	1		69	2	0.499196	4.98081	[1.02,24.44]	0.0740223	1	0.1		0.989215	1		209	2	1.51206	1.41891	[0.29,6.88]	0.471401	1	0.1		0.629314	1		111	0	0.803055	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.477492	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.282154	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.578778	0	[0.00,0.00]	1	1	0.1		1	1		109	1	0.788585	1.3044	[0.16,10.53]	0.380287	1	0.1		0.817172	1		79	0	0.571543	0	[0.00,0.00]	1	1	0.1		1	1		262	0	1.8955	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.513666	0	[0.00,0.00]	1	1	0.1		1	1		
16	5	66	0	0.265273	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.277331	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.840032	1.23918	[0.14,11.14]	0.801423	1	0.1		0.403414	1		111	0	0.446141	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.265273	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.156752	7.90132	[0.86,72.39]	0.138424	1	0.1		0.990974	1		80	0	0.321543	0	[0.00,0.00]	1	1	0.1		1	1		109	1	0.438103	2.61806	[0.29,23.63]	0.304421	1	0.1		0.936166	1		79	0	0.317524	0	[0.00,0.00]	1	1	0.1		1	1		262	2	1.05305	2.51026	[0.42,15.10]	0.218445	1	0.1		0.933993	1		71	1	0.28537	4.175	[0.46,37.85]	0.226251	1	0.1		0.971285	1		
17	19	66	1	1.00804	0.991453	[0.13,7.54]	0.732948	1	0.1		0.380745	1		69	0	1.05386	0	[0.00,0.00]	1	1	0.1		1	1		209	1	3.19212	0.271635	[0.04,2.05]	0.144776	1	0.1		0.115258	1		111	2	1.69534	1.20453	[0.27,5.28]	0.447373	1	0.1		0.596303	1		66	1	1.00804	0.991453	[0.13,7.54]	0.732948	1	0.1		0.380745	1		39	0	0.595659	0	[0.00,0.00]	1	1	0.1		1	1		80	4	1.22186	4.03158	[1.31,12.44]	0.0237711	1	0.1		0.994476	1		109	1	1.66479	0.574588	[0.08,4.35]	0.49318	1	0.1		0.320382	1		79	1	1.20659	0.816952	[0.11,6.20]	0.657461	1	0.1		0.372677	1		262	5	4.00161	1.34519	[0.48,3.77]	0.378821	1	0.1		0.604853	1		71	2	1.08441	1.97101	[0.45,8.70]	0.206651	1	0.1		0.910495	1		
18	82	66	2	4.35048	0.428906	[0.10,1.78]	0.173818	1	0.1		0.115752	1		69	2	4.54823	0.408582	[0.10,1.70]	0.151133	1	0.1		0.102499	1		209	13	13.7765	0.928571	[0.50,1.71]	0.478118	1	0.1		0.120297	1		111	1	7.31672	0.11807	[0.02,0.86]	0.00344452	1	0.1		0.00308765	1		66	2	4.35048	0.428906	[0.10,1.78]	0.173818	1	0.1		0.115752	1		39	1	2.57074	0.365172	[0.05,2.69]	0.257815	1	0.1		0.190766	1		80	4	5.27331	0.732794	[0.26,2.06]	0.379844	1	0.1		0.170054	1		109	6	7.18489	0.811702	[0.35,1.91]	0.408926	1	0.1		0.152226	1		79	7	5.2074	1.41296	[0.63,3.18]	0.21097	1	0.1		0.765158	1		262	21	17.2701	1.31562	[0.79,2.20]	0.206527	1	0.1		0.736064	1		71	6	4.68006	1.33239	[0.56,3.17]	0.280664	1	0.1		0.681762	1		
19	25	66	0	1.32637	0	[0.00,0.00]	1	1	0.1		1	1		69	0	1.38666	0	[0.00,0.00]	1	1	0.1		1	1		209	3	4.20016	0.670565	[0.20,2.26]	0.372661	1	0.1		0.191384	1		111	3	2.23071	1.40278	[0.41,4.76]	0.30559	1	0.1		0.72817	1		66	0	1.32637	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.783762	0	[0.00,0.00]	1	1	0.1		1	1		80	1	1.60772	0.601266	[0.08,4.50]	0.514094	1	0.1		0.327448	1		109	1	2.19051	0.428627	[0.06,3.20]	0.340685	1	0.1		0.242014	1		79	0	1.58762	0	[0.00,0.00]	1	1	0.1		1	1		262	3	5.26527	0.505441	[0.15,1.70]	0.193977	1	0.1		0.117517	1		71	2	1.42685	1.44928	[0.33,6.27]	0.482576	1	0.1		0.606105	1		
20	3	66	0	0.159164	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.166399	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.504019	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.267685	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.159164	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0940514	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.192926	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.262862	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190514	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.631833	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.171222	0	[0.00,0.00]	1	1	0.1		1	1		
21	32	66	0	1.69775	0	[0.00,0.00]	1	1	0.1		1	1		69	2	1.77492	1.1393	[0.27,4.87]	0.436653	1	0.1		0.582913	1		209	4	5.37621	0.701742	[0.24,2.02]	0.353806	1	0.1		0.166935	1		111	4	2.85531	1.4753	[0.51,4.29]	0.372247	1	0.1		0.646444	1		66	0	1.69775	0	[0.00,0.00]	1	1	0.1		1	1		39	3	1.00322	3.37931	[0.98,11.61]	0.0597103	1	0.1		0.984238	1		80	2	2.05788	0.969231	[0.23,4.13]	0.66062	1	0.1		0.282804	1		109	3	2.80386	1.07938	[0.32,3.60]	0.44944	1	0.1		0.481493	1		79	2	2.03215	0.982684	[0.23,4.19]	0.667908	1	0.1		0.283022	1		262	8	6.73955	1.25722	[0.56,2.83]	0.303688	1	0.1		0.622557	1		71	0	1.82637	0	[0.00,0.00]	1	1	0.1		1	1		
