#faltfile
GO:1905030	voltage-gated_ion_channel_activity_invol...	10021
GO:1905030	voltage-gated_ion_channel_activity_invol...	348980
GO:1905030	voltage-gated_ion_channel_activity_invol...	57657
GO:1905030	voltage-gated_ion_channel_activity_invol...	610
GO:1905030	voltage-gated_ion_channel_activity_invol...	6323
GO:1905030	voltage-gated_ion_channel_activity_invol...	6324
GO:1905030	voltage-gated_ion_channel_activity_invol...	6326
GO:1905030	voltage-gated_ion_channel_activity_invol...	6327
GO:1905030	voltage-gated_ion_channel_activity_invol...	6328
GO:1905030	voltage-gated_ion_channel_activity_invol...	6329
GO:1905030	voltage-gated_ion_channel_activity_invol...	6331
GO:1905030	voltage-gated_ion_channel_activity_invol...	6334
GO:1905030	voltage-gated_ion_channel_activity_invol...	8911
GO:1905030	voltage-gated_ion_channel_activity_invol...	8912
GO:1905030	voltage-gated_ion_channel_activity_invol...	8913
GO:0004930	G-protein_coupled_receptor_activity	10314
GO:0004930	G-protein_coupled_receptor_activity	1128
GO:0004930	G-protein_coupled_receptor_activity	1129
GO:0004930	G-protein_coupled_receptor_activity	1131
GO:0004930	G-protein_coupled_receptor_activity	117
GO:0004930	G-protein_coupled_receptor_activity	1268
GO:0004930	G-protein_coupled_receptor_activity	150
GO:0004930	G-protein_coupled_receptor_activity	1901
GO:0004930	G-protein_coupled_receptor_activity	1951
GO:0004930	G-protein_coupled_receptor_activity	1952
GO:0004930	G-protein_coupled_receptor_activity	2150
GO:0004930	G-protein_coupled_receptor_activity	22859
GO:0004930	G-protein_coupled_receptor_activity	23266
GO:0004930	G-protein_coupled_receptor_activity	2550
GO:0004930	G-protein_coupled_receptor_activity	25960
GO:0004930	G-protein_coupled_receptor_activity	2780
GO:0004930	G-protein_coupled_receptor_activity	2840
GO:0004930	G-protein_coupled_receptor_activity	2899
GO:0004930	G-protein_coupled_receptor_activity	2911
GO:0004930	G-protein_coupled_receptor_activity	2912
GO:0004930	G-protein_coupled_receptor_activity	2913
GO:0004930	G-protein_coupled_receptor_activity	2915
GO:0004930	G-protein_coupled_receptor_activity	2917
GO:0004930	G-protein_coupled_receptor_activity	3269
GO:0004930	G-protein_coupled_receptor_activity	3482
GO:0004930	G-protein_coupled_receptor_activity	4157
GO:0004930	G-protein_coupled_receptor_activity	4881
GO:0004930	G-protein_coupled_receptor_activity	51222
GO:0004930	G-protein_coupled_receptor_activity	56848
GO:0004930	G-protein_coupled_receptor_activity	57337
GO:0004930	G-protein_coupled_receptor_activity	5746
GO:0004930	G-protein_coupled_receptor_activity	575
GO:0004930	G-protein_coupled_receptor_activity	576
GO:0004930	G-protein_coupled_receptor_activity	577
GO:0004930	G-protein_coupled_receptor_activity	64805
GO:0004930	G-protein_coupled_receptor_activity	9294
GO:0004930	G-protein_coupled_receptor_activity	9568
GO:0004930	G-protein_coupled_receptor_activity	9620
GO:0001664	G-protein_coupled_receptor_binding	10015
GO:0001664	G-protein_coupled_receptor_binding	10273
GO:0001664	G-protein_coupled_receptor_binding	10672
GO:0001664	G-protein_coupled_receptor_binding	116985
GO:0001664	G-protein_coupled_receptor_binding	150
GO:0001664	G-protein_coupled_receptor_binding	156
GO:0001664	G-protein_coupled_receptor_binding	1759
GO:0001664	G-protein_coupled_receptor_binding	1785
GO:0001664	G-protein_coupled_receptor_binding	1855
GO:0001664	G-protein_coupled_receptor_binding	1856
GO:0001664	G-protein_coupled_receptor_binding	1857
GO:0001664	G-protein_coupled_receptor_binding	1901
GO:0001664	G-protein_coupled_receptor_binding	2316
GO:0001664	G-protein_coupled_receptor_binding	23322
GO:0001664	G-protein_coupled_receptor_binding	23365
GO:0001664	G-protein_coupled_receptor_binding	2534
GO:0001664	G-protein_coupled_receptor_binding	26052
GO:0001664	G-protein_coupled_receptor_binding	2767
GO:0001664	G-protein_coupled_receptor_binding	2768
GO:0001664	G-protein_coupled_receptor_binding	2770
GO:0001664	G-protein_coupled_receptor_binding	2771
GO:0001664	G-protein_coupled_receptor_binding	2773
GO:0001664	G-protein_coupled_receptor_binding	2774
GO:0001664	G-protein_coupled_receptor_binding	2775
GO:0001664	G-protein_coupled_receptor_binding	2776
GO:0001664	G-protein_coupled_receptor_binding	2778
GO:0001664	G-protein_coupled_receptor_binding	2780
GO:0001664	G-protein_coupled_receptor_binding	2781
GO:0001664	G-protein_coupled_receptor_binding	2782
GO:0001664	G-protein_coupled_receptor_binding	2785
GO:0001664	G-protein_coupled_receptor_binding	2899
GO:0001664	G-protein_coupled_receptor_binding	3301
GO:0001664	G-protein_coupled_receptor_binding	3303
GO:0001664	G-protein_coupled_receptor_binding	3304
GO:0001664	G-protein_coupled_receptor_binding	3312
GO:0001664	G-protein_coupled_receptor_binding	346562
GO:0001664	G-protein_coupled_receptor_binding	3691
GO:0001664	G-protein_coupled_receptor_binding	3716
GO:0001664	G-protein_coupled_receptor_binding	4040
GO:0001664	G-protein_coupled_receptor_binding	408
GO:0001664	G-protein_coupled_receptor_binding	4734
GO:0001664	G-protein_coupled_receptor_binding	478
GO:0001664	G-protein_coupled_receptor_binding	488
GO:0001664	G-protein_coupled_receptor_binding	5064
GO:0001664	G-protein_coupled_receptor_binding	50944
GO:0001664	G-protein_coupled_receptor_binding	5144
GO:0001664	G-protein_coupled_receptor_binding	5245
GO:0001664	G-protein_coupled_receptor_binding	54550
GO:0001664	G-protein_coupled_receptor_binding	55737
GO:0001664	G-protein_coupled_receptor_binding	5621
GO:0001664	G-protein_coupled_receptor_binding	5660
GO:0001664	G-protein_coupled_receptor_binding	5705
