Alg	Psig&ORsig	0.0	0.1	0.1	0.2	0.3	0.3	0.4	0.5	0.5	0.6	0.7	0.7	0.8	0.9	0.9	1.0	1.1	1.1	1.2	1.3	1.3	1.4	1.5	1.5	1.6	1.7	1.7	1.8	1.9	1.9	2.0	2.1	2.1	2.2	2.3	2.3	2.4	2.5	2.5	2.6	2.7	2.7	2.8	2.9	2.9	3.0	3.1	3.1	3.2	3.3	3.4	3.4	3.5	3.6	3.6	3.7	3.8	3.8	3.9	4.0	4.0	4.1	4.2	4.2	4.3	4.4	4.4	4.5	4.6	4.6	4.7	4.8	4.8	4.9	5.0	5.0	5.1	5.2	5.2	5.3	5.4	5.4	5.5	5.6	5.6	5.7	5.8	5.8	5.9	6.0	6.0	6.1	6.2	6.2	6.3	6.4	6.4	6.5	6.6	6.6	6.7	6.8	6.8	6.9	7.0
fc	58	22	19	18	18	18	18	18	18	18	17	16	15	15	15	14	13	13	13	13	13	13	13	13	13	12	12	6	6	6	6	6	6	6	6	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lourvain	76	54	52	52	51	49	48	37	36	31	31	31	30	29	29	29	29	29	28	28	28	25	24	22	21	21	21	18	18	18	18	18	17	15	15	13	13	9	9	5	5	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_12	120	117	116	116	116	114	114	113	113	110	110	108	108	108	108	107	107	106	102	99	99	99	99	99	98	97	94	94	90	90	89	84	84	84	82	82	82	81	80	76	75	70	70	66	61	53	52	51	50	47	41	41	41	40	35	35	30	28	28	26	25	25	25	21	21	14	14	14	9	9	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_3	160	160	159	159	157	157	157	157	156	155	155	153	153	153	149	149	149	149	141	141	141	141	139	139	138	130	130	130	130	125	125	123	123	119	115	115	114	114	112	111	111	105	105	102	99	98	92	92	88	88	86	86	84	84	84	78	78	77	76	76	76	76	76	76	76	74	74	70	70	70	69	66	66	66	66	61	61	61	55	52	52	52	51	51	50	50	30	30	30	30	30	30	30	30	27	18	18	18	18	18	18	12	12	12	12	12
sgG1	83	59	59	55	55	52	50	49	46	42	42	42	42	42	41	36	36	36	35	34	31	28	28	26	26	26	26	25	25	19	17	17	17	16	15	15	10	10	10	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2
fc_2	140	133	131	128	128	128	128	128	128	128	127	126	116	114	114	113	112	112	108	108	108	107	105	97	97	96	96	85	84	84	82	82	76	69	69	69	65	64	64	63	62	61	60	60	58	57	57	53	52	52	51	48	48	41	41	41	37	37	37	34	32	27	27	27	27	25	25	25	21	21	21	21	21	21	15	13	12	12	12	12	11	11	11	11	11	11	9	9	9	8	8	8	8	8	8	8	8	8	8	8	8	3	3	3	3	3
lourvain_2	98	86	84	84	83	81	80	69	68	66	66	66	65	64	64	64	64	64	63	63	63	60	59	57	56	56	56	53	53	53	50	50	49	47	47	41	41	37	37	33	33	32	32	32	27	27	27	27	26	24	20	20	18	17	17	15	15	15	15	15	15	15	15	12	12	12	12	6	6	6	6	6	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgG1_2	106	90	90	86	84	84	84	84	83	78	78	78	78	78	77	77	77	77	73	69	69	69	69	69	69	69	67	66	65	58	57	57	57	56	53	52	52	51	46	46	46	46	43	43	43	43	43	43	40	40	40	40	40	35	35	35	33	32	31	31	30	30	26	26	26	23	23	23	23	23	23	18	18	18	18	18	18	15	15	14	13	13	13	13	13	13	11	11	11	11	11	11	11	11	11	9	9	9	9	9	9	9	9	9	9	9
