C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	multiple_sclerosis	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
12	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
13	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
14	59		3	2.67764	1.12873	[0.35,3.64]	0.470694	1	0.1		0.477671	1			6	6.41846	0.926521	[0.40,2.17]	0.535299	1	0.1		0.167827	1			5	3.67519	1.40101	[0.56,3.53]	0.255505	1	0.1		0.732034	1			3	2.63826	1.14665	[0.36,3.70]	0.476932	1	0.1		0.479095	1			2	1.03693	1.98633	[0.48,8.28]	0.193632	1	0.1		0.915654	1			3	2.76952	1.08894	[0.34,3.51]	0.456281	1	0.1		0.473442	1			3	3.41268	0.871109	[0.27,2.80]	0.552396	1	0.1		0.224931	1			2	2.41513	0.820127	[0.20,3.39]	0.562853	1	0.1		0.266047	1			1	3.7277	0.253016	[0.03,1.83]	0.104327	1	0.1		0.0836056	1			5	8.62358	0.537378	[0.21,1.35]	0.119114	1	0.1		0.0652667	1			0	1.50945	0	[0.00,0.00]	1	1	0.1		1	1		
15	14		1	0.635373	1.62107	[0.21,12.45]	0.348098	1	0.1		0.869515	1			2	1.52303	1.36687	[0.31,6.13]	0.46976	1	0.1		0.611883	1			1	0.87208	1.15853	[0.15,8.89]	0.378613	1	0.1		0.784462	1			1	0.626029	1.64654	[0.21,12.65]	0.346114	1	0.1		0.872665	1			0	0.246051	0	[0.00,0.00]	1	1	0.1		1	1			0	0.657175	0	[0.00,0.00]	1	1	0.1		1	1			0	0.809789	0	[0.00,0.00]	1	1	0.1		1	1			2	0.573081	3.93681	[0.87,17.72]	0.0922947	1	0.1		0.982405	1			0	0.884538	0	[0.00,0.00]	1	1	0.1		1	1			1	2.04627	0.448523	[0.06,3.43]	0.371386	1	0.1		0.262306	1			0	0.358176	0	[0.00,0.00]	1	1	0.1		1	1		
16	315		8	14.2959	0.529682	[0.26,1.08]	0.0441128	1	0.1		0.0232641	1			27	34.2681	0.754464	[0.50,1.13]	0.0993882	1	0.1		0.0306281	1			18	19.6218	0.906315	[0.55,1.48]	0.404176	1	0.1		0.0921156	1			7	14.0857	0.466963	[0.22,1.00]	0.0236961	1	0.1		0.0137517	1			3	5.53615	0.519231	[0.16,1.66]	0.184998	1	0.1		0.108172	1			6	14.7864	0.37651	[0.17,0.85]	0.00616631	1	0.1		0.0040494	1			10	18.2202	0.51541	[0.27,0.98]	0.0204899	1	0.1		0.0108658	1			10	12.8943	0.754852	[0.39,1.44]	0.2463	1	0.1		0.0884183	1			18	19.9021	0.891775	[0.55,1.46]	0.378476	1	0.1		0.0894802	1			42	46.0412	0.891807	[0.64,1.25]	0.282828	1	0.1		0.0542977	1			7	8.05895	0.856902	[0.40,1.86]	0.437562	1	0.1		0.143546	1		
17	2		0	0.0907675	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217575	0	[0.00,0.00]	1	1	0.1		1	1			0	0.124583	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0938821	0	[0.00,0.00]	1	1	0.1		1	1			1	0.115684	16.3475	[1.02,262.11]	0.109017	1	0.1		0.996666	1			0	0.0818687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.126363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.292325	0	[0.00,0.00]	1	1	0.1		1	1			0	0.051168	0	[0.00,0.00]	1	1	0.1		1	1		
18	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			1	0.108788	0	[0.00,0.00]	0.108788	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
19	111		6	5.0376	1.20808	[0.52,2.78]	0.402429	1	0.1		0.512153	1			10	12.0754	0.807168	[0.42,1.56]	0.324217	1	0.1		0.106771	1			2	6.91435	0.271005	[0.07,1.10]	0.0266876	1	0.1		0.0204829	1			6	4.96352	1.22755	[0.53,2.83]	0.410611	1	0.1		0.512675	1			1	1.95083	0.501865	[0.07,3.64]	0.413874	1	0.1		0.277572	1			2	5.21046	0.366534	[0.09,1.49]	0.099497	1	0.1		0.0697788	1			5	6.42047	0.763781	[0.31,1.89]	0.371827	1	0.1		0.150855	1			3	4.54372	0.645028	[0.20,2.05]	0.326428	1	0.1		0.166925	1			6	7.01313	0.843988	[0.37,1.94]	0.440992	1	0.1		0.153503	1			14	16.224	0.839717	[0.48,1.48]	0.328361	1	0.1		0.0947621	1			2	2.83982	0.693513	[0.17,2.84]	0.455017	1	0.1		0.238348	1		
20	167		3	7.57909	0.375592	[0.12,1.19]	0.0492572	1	0.1		0.0334299	1			14	18.1675	0.742236	[0.43,1.29]	0.17736	1	0.1		0.0618213	1			5	10.4027	0.454882	[0.19,1.12]	0.0452032	1	0.1		0.0272007	1			3	7.46763	0.381559	[0.12,1.21]	0.0532783	1	0.1		0.0359323	1			0	2.93504	0	[0.00,0.00]	1	1	0.1		1	1			6	7.83915	0.749523	[0.33,1.71]	0.323381	1	0.1		0.128734	1			1	9.65962	0.0946411	[0.01,0.68]	0.000458557	0.300675	0.1		0.000419267	1			11	6.83604	1.69353	[0.90,3.18]	0.0682469	1	0.1		0.9314	1			9	10.5513	0.839517	[0.42,1.66]	0.381765	1	0.1		0.120599	1			16	24.4091	0.609478	[0.36,1.03]	0.033754	1	0.1		0.0149007	1			7	4.27253	1.70949	[0.78,3.73]	0.139007	1	0.1		0.869698	1		
