C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	multiple_sclerosis	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
21	1		1	0.0453838	0	[0.00,0.00]	0.0453838	1	0.1		1	1			1	0.108788	0	[0.00,0.00]	0.108788	1	0.1		1	1			1	0.0622914	0	[0.00,0.00]	0.0622914	1	0.1		1	1			1	0.0447164	0	[0.00,0.00]	0.0447164	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0409344	0	[0.00,0.00]	0.0409344	1	0.1		1	1			1	0.0631813	0	[0.00,0.00]	0.0631813	1	0.1		1	1			1	0.146162	0	[0.00,0.00]	0.146162	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
22	20		0	0.907675	0	[0.00,0.00]	1	1	0.1		1	1			1	2.17575	0.430004	[0.06,3.22]	0.343218	1	0.1		0.24382	1			1	1.24583	0.791549	[0.11,5.93]	0.643203	1	0.1		0.367694	1			0	0.894327	0	[0.00,0.00]	1	1	0.1		1	1			0	0.351502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.938821	0	[0.00,0.00]	1	1	0.1		1	1			0	1.15684	0	[0.00,0.00]	1	1	0.1		1	1			0	0.818687	0	[0.00,0.00]	1	1	0.1		1	1			0	1.26363	0	[0.00,0.00]	1	1	0.1		1	1			1	2.92325	0.306402	[0.04,2.29]	0.186984	1	0.1		0.144877	1			0	0.51168	0	[0.00,0.00]	1	1	0.1		1	1		
23	3		0	0.136151	0	[0.00,0.00]	1	1	0.1		1	1			0	0.326363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.186874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.134149	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0527253	0	[0.00,0.00]	1	1	0.1		1	1			0	0.140823	0	[0.00,0.00]	1	1	0.1		1	1			0	0.173526	0	[0.00,0.00]	1	1	0.1		1	1			1	0.122803	11.7732	[1.06,130.44]	0.113004	1	0.1		0.995134	1			1	0.189544	7.4364	[0.67,82.26]	0.166421	1	0.1		0.988563	1			0	0.438487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0767519	0	[0.00,0.00]	1	1	0.1		1	1		
24	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
25	60		2	2.72303	0.722602	[0.18,2.98]	0.482773	1	0.1		0.247417	1			4	6.52725	0.581738	[0.21,1.61]	0.202836	1	0.1		0.107662	1			1	3.73749	0.252476	[0.03,1.83]	0.103572	1	0.1		0.0830313	1			2	2.68298	0.734015	[0.18,3.03]	0.492876	1	0.1		0.25018	1			1	1.05451	0.946762	[0.13,6.92]	0.715461	1	0.1		0.372792	1			1	2.81646	0.341001	[0.05,2.47]	0.218958	1	0.1		0.16417	1			2	3.47052	0.558273	[0.14,2.30]	0.316312	1	0.1		0.186831	1			2	2.45606	0.805798	[0.20,3.33]	0.551938	1	0.1		0.263929	1			3	3.79088	0.778048	[0.24,2.50]	0.469016	1	0.1		0.210011	1			6	8.76974	0.645844	[0.28,1.51]	0.205449	1	0.1		0.0959285	1			1	1.53504	0.642432	[0.09,4.68]	0.542727	1	0.1		0.333733	1		
26	35		2	1.58843	1.27753	[0.30,5.36]	0.461376	1	0.1		0.593811	1			4	3.80756	1.05753	[0.37,3.01]	0.457176	1	0.1		0.419132	1			1	2.1802	0.440755	[0.06,3.23]	0.348975	1	0.1		0.244615	1			2	1.56507	1.2977	[0.31,5.45]	0.464502	1	0.1		0.595053	1			0	0.615128	0	[0.00,0.00]	1	1	0.1		1	1			1	1.64294	0.595238	[0.08,4.37]	0.505502	1	0.1		0.320854	1			4	2.02447	2.11895	[0.74,6.05]	0.0923798	1	0.1		0.951243	1			2	1.4327	1.42458	[0.34,5.98]	0.482397	1	0.1		0.598848	1			3	2.21135	1.39424	[0.42,4.58]	0.306243	1	0.1		0.722094	1			7	5.11568	1.46538	[0.64,3.37]	0.210986	1	0.1		0.775994	1			0	0.895439	0	[0.00,0.00]	1	1	0.1		1	1		
27	132		16	5.99066	3.0631	[1.78,5.27]	0.000185388	0.138615	0.1		0.999921	1			30	14.36	2.5016	[1.65,3.80]	6.3845e-05	0.0550809	0.1		0.999949	1			14	8.22247	1.82739	[1.04,3.22]	0.0267246	1	0.1		0.974559	1			16	5.90256	3.115	[1.81,5.36]	0.000157328	0.126037	0.1		0.999934	1			6	2.31991	2.79843	[1.19,6.55]	0.0196077	1	0.1		0.991976	1			18	6.19622	3.41151	[2.03,5.72]	2.54197e-05	0.0316772	0.1	*	0.999991	1			20	7.63515	3.06771	[1.87,5.02]	3.87772e-05	0.0434906	0.1		0.999983	1			10	5.40334	1.97334	[1.02,3.83]	0.0494574	1	0.1		0.956341	1			21	8.33993	2.94934	[1.82,4.78]	4.35853e-05	0.0444391	0.1		0.99998	1			46	19.2934	3.28459	[2.27,4.75]	2.76618e-09	3.1024e-05	0.1	***	1	1			5	3.37709	1.52219	[0.61,3.79]	0.26929	1	0.1		0.737225	1		
28	33		3	1.49766	2.1199	[0.64,7.00]	0.126776	1	0.1		0.939742	1			4	3.58999	1.13103	[0.40,3.23]	0.491158	1	0.1		0.42634	1			3	2.05562	1.51083	[0.46,4.98]	0.310999	1	0.1		0.734623	1			3	1.47564	2.15354	[0.65,7.12]	0.123816	1	0.1		0.942358	1			2	0.579978	3.67407	[0.86,15.63]	0.0940757	1	0.1		0.980478	1			3	1.54905	2.04519	[0.62,6.76]	0.133618	1	0.1		0.933389	1			1	1.90879	0.507119	[0.07,3.73]	0.422677	1	0.1		0.283702	1			1	1.35083	0.730704	[0.10,5.38]	0.605964	1	0.1		0.355464	1			1	2.08498	0.461462	[0.06,3.39]	0.373314	1	0.1		0.258187	1			6	4.82336	1.3009	[0.54,3.16]	0.420134	1	0.1		0.533973	1			0	0.844271	0	[0.00,0.00]	1	1	0.1		1	1		
29	42		1	1.90612	0.510633	[0.07,3.73]	0.424876	1	0.1		0.284002	1			6	4.56908	1.36991	[0.57,3.27]	0.287143	1	0.1		0.685199	1			2	2.61624	0.750899	[0.18,3.12]	0.508734	1	0.1		0.255768	1			1	1.87809	0.518659	[0.07,3.79]	0.433089	1	0.1		0.287998	1			1	0.738154	1.36804	[0.19,10.07]	0.358901	1	0.1		0.832135	1			0	1.97152	0	[0.00,0.00]	1	1	0.1		1	1			2	2.42937	0.812984	[0.20,3.38]	0.558282	1	0.1		0.266669	1			2	1.71924	1.17335	[0.28,4.89]	0.443921	1	0.1		0.582742	1			3	2.65362	1.14208	[0.35,3.72]	0.474043	1	0.1		0.481567	1			4	6.13882	0.612557	[0.22,1.72]	0.244156	1	0.1		0.125954	1			2	1.07453	1.92035	[0.46,8.04]	0.200814	1	0.1		0.90876	1		
30	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			1	0.108788	0	[0.00,0.00]	0.108788	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
31	101		4	4.58376	0.864742	[0.31,2.37]	0.512561	1	0.1		0.193155	1			7	10.9875	0.604397	[0.28,1.31]	0.12658	1	0.1		0.0609644	1			1	6.29143	0.147491	[0.02,1.06]	0.0110165	1	0.1		0.00961714	1			4	4.51635	0.878539	[0.32,2.41]	0.525732	1	0.1		0.194874	1			3	1.77508	1.73926	[0.54,5.61]	0.160637	1	0.1		0.899221	1			6	4.74105	1.29058	[0.56,2.98]	0.281085	1	0.1		0.666456	1			4	5.84205	0.666559	[0.24,1.83]	0.296096	1	0.1		0.141364	1			4	4.13437	0.965407	[0.35,2.65]	0.601874	1	0.1		0.201078	1			5	6.38131	0.768182	[0.31,1.90]	0.377464	1	0.1		0.1524	1			11	14.7624	0.709116	[0.38,1.33]	0.177266	1	0.1		0.0686258	1			3	2.58398	1.17037	[0.37,3.75]	0.485882	1	0.1		0.478766	1		
32	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
33	15		0	0.680756	0	[0.00,0.00]	1	1	0.1		1	1			0	1.63181	0	[0.00,0.00]	1	1	0.1		1	1			0	0.934372	0	[0.00,0.00]	1	1	0.1		1	1			0	0.670745	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263626	0	[0.00,0.00]	1	1	0.1		1	1			1	0.704116	1.45238	[0.19,11.10]	0.359949	1	0.1		0.845569	1			1	0.867631	1.16409	[0.15,8.89]	0.377469	1	0.1		0.786006	1			1	0.614016	1.67721	[0.22,12.82]	0.342795	1	0.1		0.876487	1			0	0.94772	0	[0.00,0.00]	1	1	0.1		1	1			0	2.19244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.38376	0	[0.00,0.00]	1	1	0.1		1	1		
34	103		8	4.67453	1.80279	[0.86,3.76]	0.0989446	1	0.1		0.90953	1			7	11.2051	0.591502	[0.27,1.28]	0.113499	1	0.1		0.0556652	1			4	6.41602	0.602547	[0.22,1.65]	0.221085	1	0.1		0.113842	1			8	4.60578	1.83212	[0.88,3.82]	0.0992044	1	0.1		0.909887	1			1	1.81023	0.542232	[0.07,3.94]	0.454923	1	0.1		0.297302	1			4	4.83493	0.816864	[0.30,2.24]	0.464586	1	0.1		0.185371	1			11	5.95773	1.98939	[1.05,3.77]	0.03452	1	0.1		0.970051	1			4	4.21624	0.945455	[0.34,2.60]	0.585413	1	0.1		0.200265	1			9	6.50768	1.43338	[0.72,2.87]	0.188483	1	0.1		0.785359	1			16	15.0547	1.07619	[0.63,1.85]	0.445615	1	0.1		0.327758	1			5	2.63515	1.98609	[0.79,4.98]	0.142562	1	0.1		0.885535	1		
35	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
36	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			1	0.108788	0	[0.00,0.00]	0.108788	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			1	0.046941	0	[0.00,0.00]	0.046941	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
37	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
38	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
39	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
40	6		0	0.272303	0	[0.00,0.00]	1	1	0.1		1	1			0	0.652725	0	[0.00,0.00]	1	1	0.1		1	1			0	0.373749	0	[0.00,0.00]	1	1	0.1		1	1			0	0.268298	0	[0.00,0.00]	1	1	0.1		1	1			0	0.105451	0	[0.00,0.00]	1	1	0.1		1	1			0	0.281646	0	[0.00,0.00]	1	1	0.1		1	1			0	0.347052	0	[0.00,0.00]	1	1	0.1		1	1			0	0.245606	0	[0.00,0.00]	1	1	0.1		1	1			0	0.379088	0	[0.00,0.00]	1	1	0.1		1	1			1	0.876974	1.1686	[0.14,10.02]	0.785534	1	0.1		0.398273	1			0	0.153504	0	[0.00,0.00]	1	1	0.1		1	1		
41	4		0	0.181535	0	[0.00,0.00]	1	1	0.1		1	1			1	0.43515	2.73429	[0.28,26.34]	0.308203	1	0.1		0.938949	1			1	0.249166	5.03226	[0.52,48.54]	0.205571	1	0.1		0.978667	1			0	0.178865	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0703003	0	[0.00,0.00]	1	1	0.1		1	1			0	0.187764	0	[0.00,0.00]	1	1	0.1		1	1			1	0.231368	5.44659	[0.56,52.55]	0.193619	1	0.1		0.981497	1			0	0.163737	0	[0.00,0.00]	1	1	0.1		1	1			0	0.252725	0	[0.00,0.00]	1	1	0.1		1	1			0	0.58465	0	[0.00,0.00]	1	1	0.1		1	1			0	0.102336	0	[0.00,0.00]	1	1	0.1		1	1		
42	7		0	0.317686	0	[0.00,0.00]	1	1	0.1		1	1			0	0.761513	0	[0.00,0.00]	1	1	0.1		1	1			1	0.43604	2.51434	[0.30,20.96]	0.296768	1	0.1		0.934063	1			0	0.313014	0	[0.00,0.00]	1	1	0.1		1	1			0	0.123026	0	[0.00,0.00]	1	1	0.1		1	1			1	0.328587	3.39524	[0.41,28.33]	0.246535	1	0.1		0.960601	1			0	0.404894	0	[0.00,0.00]	1	1	0.1		1	1			0	0.286541	0	[0.00,0.00]	1	1	0.1		1	1			0	0.442269	0	[0.00,0.00]	1	1	0.1		1	1			1	1.02314	0.973577	[0.12,8.10]	0.727332	1	0.1		0.39675	1			0	0.179088	0	[0.00,0.00]	1	1	0.1		1	1		
43	1		1	0.0453838	0	[0.00,0.00]	0.0453838	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0447164	0	[0.00,0.00]	0.0447164	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			1	0.146162	0	[0.00,0.00]	0.146162	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
44	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
45	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
46	109		4	4.94683	0.797333	[0.29,2.19]	0.443954	1	0.1		0.18125	1			8	11.8578	0.64305	[0.31,1.33]	0.146382	1	0.1		0.0655589	1			4	6.78977	0.567288	[0.21,1.55]	0.180819	1	0.1		0.0970206	1			4	4.87408	0.810056	[0.30,2.22]	0.457384	1	0.1		0.183913	1			2	1.91568	1.046	[0.25,4.31]	0.41752	1	0.1		0.558703	1			11	5.11657	2.34929	[1.24,4.45]	0.0128582	1	0.1		0.990368	1			6	6.30478	0.947634	[0.41,2.18]	0.555552	1	0.1		0.165819	1			6	4.46185	1.37711	[0.60,3.18]	0.298489	1	0.1		0.67386	1			7	6.88676	1.01802	[0.47,2.21]	0.460039	1	0.1		0.312293	1			23	15.9317	1.58272	[0.99,2.53]	0.0495892	1	0.1		0.944754	1			6	2.78865	2.28574	[0.98,5.32]	0.0385208	1	0.1		0.979196	1		
47	53		2	2.40534	0.823141	[0.20,3.41]	0.5653	1	0.1		0.266866	1			5	5.76574	0.851842	[0.34,2.15]	0.475953	1	0.1		0.174505	1			7	3.30145	2.32386	[1.04,5.20]	0.0286979	1	0.1		0.984342	1			2	2.36997	0.836141	[0.20,3.46]	0.574851	1	0.1		0.268512	1			4	0.931479	4.7532	[1.67,13.51]	0.011297	1	0.1		0.99781	1			2	2.48788	0.794258	[0.19,3.28]	0.543231	1	0.1		0.2626	1			2	3.06563	0.635963	[0.15,2.63]	0.400334	1	0.1		0.221187	1			3	2.16952	1.41249	[0.44,4.57]	0.30771	1	0.1		0.722065	1			9	3.34861	3.09942	[1.50,6.41]	0.00384461	1	0.1		0.998515	1			10	7.74661	1.36408	[0.68,2.73]	0.289849	1	0.1		0.666133	1			0	1.35595	0	[0.00,0.00]	1	1	0.1		1	1		
48	27		2	1.22536	1.6895	[0.40,7.18]	0.227119	1	0.1		0.878549	1			3	2.93726	1.02418	[0.31,3.41]	0.662493	1	0.1		0.238091	1			6	1.68187	4.37331	[1.75,10.92]	0.00436706	1	0.1		0.998984	1			1	1.20734	0.820769	[0.11,6.08]	0.658117	1	0.1		0.368396	1			0	0.474527	0	[0.00,0.00]	1	1	0.1		1	1			3	1.26741	2.5601	[0.76,8.57]	0.0953691	1	0.1		0.96454	1			3	1.56174	2.04815	[0.61,6.85]	0.135651	1	0.1		0.932725	1			3	1.10523	2.96064	[0.88,9.92]	0.073411	1	0.1		0.977193	1			2	1.7059	1.18752	[0.28,5.04]	0.445759	1	0.1		0.587881	1			5	3.94638	1.33017	[0.50,3.53]	0.389341	1	0.1		0.585308	1			0	0.690768	0	[0.00,0.00]	1	1	0.1		1	1		
49	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			1	0.046941	0	[0.00,0.00]	0.046941	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			1	0.0631813	0	[0.00,0.00]	0.0631813	1	0.1		1	1			1	0.146162	0	[0.00,0.00]	0.146162	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
50	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
51	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
52	1		0	0.0453838	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108788	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0622914	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0447164	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0175751	0	[0.00,0.00]	1	1	0.1		1	1			0	0.046941	0	[0.00,0.00]	1	1	0.1		1	1			0	0.057842	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0409344	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0631813	0	[0.00,0.00]	1	1	0.1		1	1			0	0.146162	0	[0.00,0.00]	1	1	0.1		1	1			0	0.025584	0	[0.00,0.00]	1	1	0.1		1	1		
53	70		1	3.17686	0.301421	[0.04,2.18]	0.165389	1	0.1		0.127649	1			15	7.61513	2.2733	[1.27,4.06]	0.00717062	1	0.1		0.99434	1			10	4.3604	2.56481	[1.30,5.07]	0.00703929	1	0.1		0.996406	1			1	3.13014	0.306159	[0.04,2.22]	0.171685	1	0.1		0.132036	1			2	1.23026	1.66081	[0.40,6.90]	0.225371	1	0.1		0.87576	1			6	3.28587	1.92988	[0.83,4.51]	0.0979972	1	0.1		0.921908	1			5	4.04894	1.25792	[0.50,3.15]	0.38433	1	0.1		0.56323	1			6	2.86541	2.23683	[0.96,5.23]	0.0419913	1	0.1		0.976647	1			5	4.42269	1.14309	[0.46,2.86]	0.52216	1	0.1		0.374706	1			10	10.2314	0.97321	[0.50,1.91]	0.551911	1	0.1		0.135726	1			3	1.79088	1.72428	[0.53,5.57]	0.323169	1	0.1		0.736156	1		
