C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	4	66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1		209	0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		80	1	0.257442	4.89451	[0.50,47.60]	0.21134	1	0.1		0.977448	1		109	0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.843121	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
12	48	66	1	2.54867	0.369885	[0.05,2.72]	0.263116	1	0.1		0.19394	1		69	3	2.66452	1.1404	[0.35,3.77]	0.471719	1	0.1		0.485424	1		209	11	8.0708	1.497	[0.75,2.99]	0.147816	1	0.1		0.83512	1		111	3	4.2864	0.670988	[0.21,2.20]	0.364254	1	0.1		0.184036	1		66	1	2.54867	0.369885	[0.05,2.72]	0.263116	1	0.1		0.19394	1		39	0	1.50603	0	[0.00,0.00]	1	1	0.1		1	1		80	1	3.0893	0.300566	[0.04,2.21]	0.170936	1	0.1		0.132444	1		109	4	4.20917	0.943723	[0.33,2.68]	0.585794	1	0.1		0.206639	1		79	0	3.05068	0	[0.00,0.00]	1	1	0.1		1	1		262	11	10.1175	1.11812	[0.56,2.22]	0.419365	1	0.1		0.412077	1		71	3	2.74175	1.1049	[0.33,3.65]	0.459574	1	0.1		0.481828	1		
13	23	66	2	1.22124	1.72024	[0.39,7.50]	0.229109	1	0.1		0.881368	1		69	1	1.27675	0.770053	[0.10,5.80]	0.631552	1	0.1		0.365927	1		209	6	3.86726	1.76818	[0.69,4.54]	0.179708	1	0.1		0.844087	1		111	2	2.0539	0.97073	[0.22,4.20]	0.661685	1	0.1		0.28553	1		66	2	1.22124	1.72024	[0.39,7.50]	0.229109	1	0.1		0.881368	1		39	0	0.721641	0	[0.00,0.00]	1	1	0.1		1	1		80	0	1.48029	0	[0.00,0.00]	1	1	0.1		1	1		109	1	2.01689	0.468013	[0.06,3.51]	0.386494	1	0.1		0.267737	1		79	4	1.46179	3.21404	[1.07,9.69]	0.0406704	1	0.1		0.987584	1		262	5	4.84795	1.04086	[0.38,2.83]	0.647482	1	0.1		0.199438	1		71	0	1.31376	0	[0.00,0.00]	1	1	0.1		1	1		
14	92	66	9	4.88496	2.08117	[1.00,4.35]	0.034516	1	0.1		0.974936	1		69	4	5.107	0.759441	[0.27,2.13]	0.409314	1	0.1		0.177773	1		209	17	15.469	1.13215	[0.65,1.96]	0.391706	1	0.1		0.436999	1		111	15	8.21561	2.14083	[1.19,3.87]	0.0149342	1	0.1		0.987222	1		66	9	4.88496	2.08117	[1.00,4.35]	0.034516	1	0.1		0.974936	1		39	7	2.88656	2.87978	[1.23,6.72]	0.0149525	1	0.1		0.993969	1		80	7	5.92116	1.21612	[0.54,2.72]	0.422487	1	0.1		0.489096	1		109	12	8.06758	1.6299	[0.86,3.10]	0.0770404	1	0.1		0.918963	1		79	8	5.84714	1.44869	[0.67,3.11]	0.247793	1	0.1		0.731685	1		262	20	19.3918	1.04339	[0.62,1.75]	0.517645	1	0.1		0.208716	1		71	6	5.25503	1.16565	[0.49,2.77]	0.375676	1	0.1		0.520499	1		
15	86	66	4	4.56637	0.861526	[0.31,2.43]	0.513091	1	0.1		0.198085	1		69	2	4.77393	0.387349	[0.09,1.61]	0.128296	1	0.1		0.0887018	1		209	17	14.4602	1.2383	[0.71,2.15]	0.274698	1	0.1		0.629895	1		111	4	7.67981	0.478687	[0.17,1.33]	0.0999229	1	0.1		0.0598468	1		66	4	4.56637	0.861526	[0.31,2.43]	0.513091	1	0.1		0.198085	1		39	1	2.69831	0.34644	[0.05,2.55]	0.2332	1	0.1		0.174861	1		80	3	5.535	0.506963	[0.16,1.64]	0.178551	1	0.1		0.106386	1		109	6	7.54143	0.767476	[0.33,1.80]	0.355464	1	0.1		0.140725	1		79	8	5.46581	1.5688	[0.73,3.38]	0.160829	1	0.1		0.835684	1		262	13	18.1271	0.649392	[0.35,1.19]	0.0994284	1	0.1		0.0424324	1		71	9	4.91231	2.06431	[0.99,4.31]	0.0648145	1	0.1		0.944645	1		
16	37	66	0	1.9646	0	[0.00,0.00]	1	1	0.1		1	1		69	3	2.0539	1.52406	[0.46,5.09]	0.310508	1	0.1		0.738195	1		209	5	6.22124	0.767463	[0.30,1.99]	0.390585	1	0.1		0.163283	1		111	0	3.3041	0	[0.00,0.00]	1	1	0.1		1	1		66	0	1.9646	0	[0.00,0.00]	1	1	0.1		1	1		39	0	1.1609	0	[0.00,0.00]	1	1	0.1		1	1		80	2	2.38134	0.826374	[0.20,3.50]	0.570005	1	0.1		0.272043	1		109	0	3.24457	0	[0.00,0.00]	1	1	0.1		1	1		79	0	2.35157	0	[0.00,0.00]	1	1	0.1		1	1		262	5	7.79887	0.57697	[0.22,1.50]	0.174347	1	0.1		0.0923062	1		71	3	2.11344	1.47664	[0.44,4.93]	0.308772	1	0.1		0.734167	1		
17	18	66	2	0.955752	2.26758	[0.51,10.08]	0.181271	1	0.1		0.934122	1		69	3	0.999195	3.51212	[0.99,12.43]	0.0586638	1	0.1		0.985264	1		209	4	3.02655	1.4216	[0.46,4.36]	0.353744	1	0.1		0.661899	1		111	0	1.6074	0	[0.00,0.00]	1	1	0.1		1	1		66	2	0.955752	2.26758	[0.51,10.08]	0.181271	1	0.1		0.934122	1		39	0	0.564763	0	[0.00,0.00]	1	1	0.1		1	1		80	2	1.15849	1.83814	[0.42,8.14]	0.220243	1	0.1		0.895836	1		109	1	1.57844	0.608388	[0.08,4.62]	0.522062	1	0.1		0.332668	1		79	3	1.14401	3.02368	[0.86,10.67]	0.0778192	1	0.1		0.976648	1		262	3	3.79405	0.745946	[0.21,2.60]	0.454317	1	0.1		0.220371	1		71	2	1.02816	2.0942	[0.47,9.29]	0.19609	1	0.1		0.921371	1		
18	34	66	0	1.80531	0	[0.00,0.00]	1	1	0.1		1	1		69	1	1.88737	0.508467	[0.07,3.77]	0.426703	1	0.1		0.287079	1		209	1	5.71681	0.145833	[0.02,1.07]	0.0141151	1	0.1		0.0123723	1		111	4	3.0362	1.37321	[0.47,3.97]	0.356765	1	0.1		0.643476	1		66	0	1.80531	0	[0.00,0.00]	1	1	0.1		1	1		39	1	1.06677	0.933812	[0.12,7.01]	0.710684	1	0.1		0.3774	1		80	2	2.18825	0.90625	[0.21,3.85]	0.623781	1	0.1		0.279957	1		109	4	2.9815	1.4019	[0.48,4.06]	0.361366	1	0.1		0.6447	1		79	1	2.1609	0.439394	[0.06,3.26]	0.350822	1	0.1		0.246871	1		262	3	7.16653	0.354963	[0.11,1.17]	0.0501806	1	0.1		0.0351881	1		71	0	1.94208	0	[0.00,0.00]	1	1	0.1		1	1		
19	31	66	0	1.64602	0	[0.00,0.00]	1	1	0.1		1	1		69	1	1.72084	0.560784	[0.08,4.17]	0.477791	1	0.1		0.311299	1		209	7	5.21239	1.45833	[0.62,3.43]	0.205825	1	0.1		0.781152	1		111	5	2.7683	2.00653	[0.75,5.33]	0.137498	1	0.1		0.895743	1		66	0	1.64602	0	[0.00,0.00]	1	1	0.1		1	1		39	1	0.972647	1.02982	[0.14,7.75]	0.746312	1	0.1		0.378637	1		80	2	1.99517	1.00265	[0.23,4.28]	0.678386	1	0.1		0.283351	1		109	4	2.71842	1.5619	[0.54,4.55]	0.213673	1	0.1		0.815798	1		79	1	1.97023	0.484615	[0.07,3.60]	0.402119	1	0.1		0.27485	1		262	11	6.53419	2.10578	[1.00,4.45]	0.0525702	1	0.1		0.955967	1		71	4	1.77072	2.53179	[0.86,7.44]	0.0677233	1	0.1		0.972001	1		
20	32	66	1	1.69912	0.568734	[0.08,4.23]	0.484895	1	0.1		0.314333	1		69	1	1.77635	0.54222	[0.07,4.03]	0.460326	1	0.1		0.303312	1		209	3	5.38053	0.504687	[0.15,1.67]	0.186334	1	0.1		0.112292	1		111	2	2.8576	0.674006	[0.16,2.86]	0.443944	1	0.1		0.240402	1		66	1	1.69912	0.568734	[0.08,4.23]	0.484895	1	0.1		0.314333	1		39	0	1.00402	0	[0.00,0.00]	1	1	0.1		1	1		80	1	2.05953	0.462229	[0.06,3.43]	0.377361	1	0.1		0.261659	1		109	0	2.80611	0	[0.00,0.00]	1	1	0.1		1	1		79	1	2.03379	0.468569	[0.06,3.48]	0.38443	1	0.1		0.265458	1		262	6	6.74497	0.860877	[0.35,2.11]	0.473479	1	0.1		0.170587	1		71	1	1.82784	0.525806	[0.07,3.91]	0.444399	1	0.1		0.295832	1		
