#communities 
1000	140
10005	NA
10006	16
10015	17
10016	NA
1002	NA
1004	NA
10043	16
10048	46
10049	1
10056	NA
10059	12
10067	NA
10075	1
10079	NA
1008	NA
1009	NA
10093	2
10094	2
10096	2
10097	2
10102	NA
10105	NA
10109	2
10113	NA
10120	64
1012	NA
10121	64
10128	104
10129	NA
10130	5
10131	NA
10133	24
10142	77
10152	16
10154	NA
10155	61
10159	30
10160	NA
10163	16
10165	NA
10189	10
1020	27
10211	8
10213	22
10228	34
10236	10
10239	99
10243	182
10273	1
10287	49
10290	NA
10294	NA
10295	NA
10297	NA
10313	53
10314	194
10328	96
10368	NA
10369	114
10376	202
10381	202
10382	132
10383	NA
103910	188
10391	NA
10396	198
10397	7
10399	3
10409	2
10419	4
10423	180
10432	39
10439	199
10449	NA
10452	62
10455	229
10456	12
10458	16
10463	NA
10469	NA
10476	NA
10484	27
10486	NA
10487	NA
10490	34
10492	1
10493	NA
10497	203
10521	NA
10525	NA
10527	NA
10529	6
10540	64
10550	197
10552	2
10564	207
10570	45
10574	29
10575	144
10576	29
10580	NA
10598	1
10606	141
10612	NA
10613	8
1062	189
10632	NA
10634	NA
10636	49
10640	83
10645	133
10651	186
10652	NA
10654	222
10657	17
10659	NA
10672	43
10681	42
10693	124
10694	NA
1072	2
10728	NA
1073	2
10755	178
10768	215
10787	16
10788	NA
10801	73
10808	148
10810	NA
10814	NA
10815	NA
108	NA
10856	7
10857	NA
10890	174
10901	227
10908	61
10910	NA
10923	NA
10935	227
10938	179
10939	NA
10947	NA
10949	NA
10952	207
10963	42
10970	NA
10971	1
10972	48
10982	18
10985	228
10989	74
10994	NA
10999	NA
11004	136
11021	150
11033	NA
11034	NA
11069	155
11076	NA
11080	158
11100	NA
111	NA
11113	176
11122	NA
11127	82
11130	98
11151	192
11160	8
11168	NA
11170	225
11171	191
11178	NA
11194	NA
11198	NA
11217	NA
11221	217
11224	NA
11230	197
112476	102
11258	NA
11273	NA
112755	203
112936	103
113026	NA
11311	NA
11315	NA
113246	NA
11331	8
11332	NA
11336	83
11343	NA
11344	167
11345	24
11346	2
114088	NA
114294	NA
114299	159
114569	NA
114787	NA
