C	Cn	synaptic_vesicle	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_density	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	integral_component_of_synaptic_vesicle_m...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_vesicle_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_cleft	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	dendritic_spine	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_active_zone	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynaptic_active_zone_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	synaptic_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intrinsic_component_of_synaptic_vesicle_...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	presynapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_density_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_endosome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intrinsic_component_of_postsynaptic_memb...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GABA-ergic_synapse	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	anchored_component_of_synaptic_vesicle_m...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	integral_component_of_postsynaptic_membr...	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_specialization	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	postsynaptic_specialization_membrane	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	114		3	4.21883	0.68259	[0.21,2.24]	0.376987	1	0.1		0.188346	1			22	6.51167	5.27063	[3.05,9.10]	5.08351e-08	7.19501e-05	0.1	***	1	1			0	0.275141	0	[0.00,0.00]	1	1	0.1		1	1			0	2.0177	0	[0.00,0.00]	1	1	0.1		1	1			3	1.65084	2.00721	[0.57,7.04]	0.149268	1	0.1		0.925028	1			1	0.183427	9.9823	[0.62,160.68]	0.166739	1	0.1		0.991656	1			10	3.57683	3.64721	[1.73,7.69]	0.00139247	0.716675	0.1		0.99956	1			38	18.251	3.00621	[1.97,4.59]	1.02223e-06	0.000964549	0.1	***	0.999999	1			19	4.31054	7.86429	[4.23,14.61]	3.20593e-09	1.81502e-05	0.1	***	1	1			1	0.641995	1.65634	[0.20,13.88]	0.361776	1	0.1		0.870891	1			0	0.275141	0	[0.00,0.00]	1	1	0.1		1	1			20	6.32824	4.68954	[2.68,8.22]	7.44397e-07	0.000842873	0.1	***	1	1			0	0.733709	0	[0.00,0.00]	1	1	0.1		1	1			8	7.88737	1.01693	[0.48,2.16]	0.61029	1	0.1		0.151825	1			29	10.1802	4.35624	[2.70,7.02]	2.0079e-08	5.68383e-05	0.1	***	1	1			2	0.366854	10.0625	[1.40,72.13]	0.0414335	1	0.1		0.99719	1			0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1			1	0.183427	9.9823	[0.62,160.68]	0.166739	1	0.1		0.991656	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.458568	0	[0.00,0.00]	1	1	0.1		1	1			1	0.183427	9.9823	[0.62,160.68]	0.166739	1	0.1		0.991656	1			22	6.51167	5.27063	[3.05,9.10]	5.08351e-08	7.19501e-05	0.1	***	1	1			2	0.366854	10.0625	[1.40,72.13]	0.0414335	1	0.1		0.99719	1		
12	8		0	0.296058	0	[0.00,0.00]	1	1	0.1		1	1			1	0.456959	2.37755	[0.29,19.59]	0.304144	1	0.1		0.92796	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.141593	0	[0.00,0.00]	1	1	0.1		1	1			0	0.115849	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			1	0.251006	4.5	[0.54,37.49]	0.20183	1	0.1		0.976157	1			2	1.28077	1.75635	[0.35,8.77]	0.499315	1	0.1		0.631286	1			2	0.302494	8.81481	[1.73,44.89]	0.0314036	1	0.1		0.997514	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			2	0.444087	5.81095	[1.15,29.34]	0.0609538	1	0.1		0.992498	1			0	0.0514883	0	[0.00,0.00]	1	1	0.1		1	1			0	0.5535	0	[0.00,0.00]	1	1	0.1		1	1			2	0.714401	3.44343	[0.69,17.27]	0.127415	1	0.1		0.972169	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			1	0.456959	2.37755	[0.29,19.59]	0.304144	1	0.1		0.92796	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1		
13	3		0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.48029	0	[0.00,0.00]	1	1	0.1		1	1			0	0.113435	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0168946	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.207562	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
14	3		0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.48029	0	[0.00,0.00]	1	1	0.1		1	1			0	0.113435	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0168946	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.207562	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
15	15		0	0.555109	0	[0.00,0.00]	1	1	0.1		1	1			1	0.856798	1.18163	[0.15,9.12]	0.378659	1	0.1		0.790383	1			0	0.0362027	0	[0.00,0.00]	1	1	0.1		1	1			0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.470636	0	[0.00,0.00]	1	1	0.1		1	1			2	2.40145	0.805154	[0.18,3.60]	0.559948	1	0.1		0.279898	1			1	0.567176	1.8354	[0.24,14.26]	0.333441	1	0.1		0.892487	1			0	0.084473	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0362027	0	[0.00,0.00]	1	1	0.1		1	1			1	0.832663	1.21849	[0.16,9.40]	0.376932	1	0.1		0.799388	1			0	0.0965406	0	[0.00,0.00]	1	1	0.1		1	1			0	1.03781	0	[0.00,0.00]	1	1	0.1		1	1			2	1.3395	1.57939	[0.35,7.09]	0.493607	1	0.1		0.612882	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0603379	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			1	0.856798	1.18163	[0.15,9.12]	0.378659	1	0.1		0.790383	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1		
16	59		9	2.18343	5.58	[2.55,12.19]	0.000154396	0.109263	0.1		0.999971	1			2	3.37007	0.566997	[0.14,2.37]	0.331285	1	0.1		0.195411	1			1	0.142397	10.1897	[0.91,114.01]	0.129403	1	0.1		0.993554	1			5	1.04425	6.35621	[2.26,17.87]	0.00250551	1	0.1		0.999635	1			5	0.854385	8.34046	[2.87,24.24]	0.000976505	0.614271	0.1		0.999894	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1			1	1.85117	0.519964	[0.07,3.85]	0.437944	1	0.1		0.292343	1			17	9.4457	2.22841	[1.24,4.00]	0.00684521	1	0.1		0.994691	1			2	2.23089	0.888109	[0.21,3.75]	0.61202	1	0.1		0.277658	1			2	0.332261	8.27368	[1.57,43.57]	0.0367822	1	0.1		0.996894	1			2	0.142397	41.5088	[3.71,464.55]	0.00634437	1	0.1		0.999898	1			7	3.27514	2.4361	[1.06,5.58]	0.0267213	1	0.1		0.986446	1			1	0.379726	2.89901	[0.35,23.96]	0.271469	1	0.1		0.948417	1			13	4.08206	4.30107	[2.22,8.32]	7.84177e-05	0.0634226	0.1		0.999979	1			4	5.2687	0.732031	[0.26,2.06]	0.379842	1	0.1		0.17052	1			0	0.189863	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0474658	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.237329	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1			2	3.37007	0.566997	[0.14,2.37]	0.331285	1	0.1		0.195411	1			0	0.189863	0	[0.00,0.00]	1	1	0.1		1	1		
17	137		0	5.06999	0	[0.00,0.00]	1	1	0.1		1	1			11	7.82542	1.52196	[0.78,2.97]	0.157437	1	0.1		0.828899	1			0	0.330652	0	[0.00,0.00]	1	1	0.1		1	1			0	2.42478	0	[0.00,0.00]	1	1	0.1		1	1			3	1.98391	1.62836	[0.47,5.70]	0.311078	1	0.1		0.752263	1			1	0.220434	8.125	[0.51,130.65]	0.196297	1	0.1		0.987931	1			8	4.29847	2.15054	[0.97,4.78]	0.0445689	1	0.1		0.968585	1			27	21.9332	1.33288	[0.85,2.09]	0.129963	1	0.1		0.826378	1			4	5.18021	0.743487	[0.26,2.10]	0.39406	1	0.1		0.175232	1			0	0.771521	0	[0.00,0.00]	1	1	0.1		1	1			0	0.330652	0	[0.00,0.00]	1	1	0.1		1	1			7	7.60499	0.9067	[0.41,2.02]	0.502012	1	0.1		0.156727	1			0	0.881738	0	[0.00,0.00]	1	1	0.1		1	1			11	9.47868	1.20011	[0.62,2.32]	0.362187	1	0.1		0.524032	1			17	12.2341	1.52518	[0.88,2.64]	0.0986621	1	0.1		0.888226	1			0	0.440869	0	[0.00,0.00]	1	1	0.1		1	1			0	0.110217	0	[0.00,0.00]	1	1	0.1		1	1			0	0.220434	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.551086	0	[0.00,0.00]	1	1	0.1		1	1			0	0.220434	0	[0.00,0.00]	1	1	0.1		1	1			11	7.82542	1.52196	[0.78,2.97]	0.157437	1	0.1		0.828899	1			0	0.440869	0	[0.00,0.00]	1	1	0.1		1	1		
18	3		0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.48029	0	[0.00,0.00]	1	1	0.1		1	1			0	0.113435	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0168946	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.207562	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
19	4		1	0.148029	8.84444	[0.90,86.70]	0.132503	1	0.1		0.99233	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0707965	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			1	0.640386	1.75253	[0.18,16.93]	0.380171	1	0.1		0.877355	1			0	0.151247	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			1	0.27675	4.52549	[0.47,43.98]	0.223689	1	0.1		0.974089	1			0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		
20	10		0	0.370072	0	[0.00,0.00]	1	1	0.1		1	1			0	0.571199	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1			0	0.144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1			0	1.60097	0	[0.00,0.00]	1	1	0.1		1	1			0	0.378117	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.555109	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.691874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.893001	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0402253	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.571199	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
21	10		0	0.370072	0	[0.00,0.00]	1	1	0.1		1	1			0	0.571199	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1			0	0.144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.313757	0	[0.00,0.00]	1	1	0.1		1	1			0	1.60097	0	[0.00,0.00]	1	1	0.1		1	1			0	0.378117	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.555109	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.691874	0	[0.00,0.00]	1	1	0.1		1	1			0	0.893001	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0402253	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.571199	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1		
22	54		3	1.99839	1.56772	[0.47,5.22]	0.312357	1	0.1		0.740401	1			3	3.08447	0.969723	[0.30,3.19]	0.627703	1	0.1		0.235238	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			1	0.955752	1.04942	[0.14,7.95]	0.752764	1	0.1		0.379577	1			0	0.781979	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			3	1.69429	1.88399	[0.56,6.32]	0.153081	1	0.1		0.915201	1			8	8.64521	0.908718	[0.42,1.96]	0.493959	1	0.1		0.149731	1			2	2.04183	0.977778	[0.23,4.14]	0.665183	1	0.1		0.281724	1			0	0.304103	0	[0.00,0.00]	1	1	0.1		1	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			2	2.99759	0.644087	[0.15,2.70]	0.412499	1	0.1		0.227904	1			0	0.347546	0	[0.00,0.00]	1	1	0.1		1	1			4	3.73612	1.08	[0.38,3.06]	0.468494	1	0.1		0.420964	1			5	4.8222	1.04255	[0.41,2.67]	0.459843	1	0.1		0.37777	1			1	0.173773	7.45912	[0.76,72.92]	0.152446	1	0.1		0.989489	1			1	0.0434433	0	[0.00,0.00]	0.0434433	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			3	3.08447	0.969723	[0.30,3.19]	0.627703	1	0.1		0.235238	1			1	0.173773	7.45912	[0.76,72.92]	0.152446	1	0.1		0.989489	1		
23	46		2	1.70233	1.19112	[0.28,5.07]	0.446213	1	0.1		0.589113	1			6	2.62751	2.61231	[1.07,6.39]	0.0295213	1	0.1		0.986883	1			0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1			0	0.814159	0	[0.00,0.00]	1	1	0.1		1	1			1	0.66613	1.54248	[0.20,11.85]	0.354233	1	0.1		0.859057	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			2	1.44328	1.42506	[0.33,6.10]	0.480541	1	0.1		0.603518	1			14	7.36444	2.39324	[1.25,4.57]	0.00872673	1	0.1		0.993711	1			3	1.73934	1.82822	[0.55,6.12]	0.158625	1	0.1		0.908381	1			1	0.259051	4.41111	[0.52,37.41]	0.207502	1	0.1		0.975002	1			1	0.111022	13.2778	[1.18,149.15]	0.103119	1	0.1		0.996073	1			4	2.5535	1.65861	[0.58,4.77]	0.211254	1	0.1		0.824833	1			0	0.296058	0	[0.00,0.00]	1	1	0.1		1	1			5	3.18262	1.68022	[0.65,4.37]	0.15048	1	0.1		0.873257	1			11	4.1078	3.44771	[1.70,7.00]	0.00119086	0.674197	0.1		0.99959	1			0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0370072	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.185036	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			6	2.62751	2.61231	[1.07,6.39]	0.0295213	1	0.1		0.986883	1			0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1		
24	76		0	2.81255	0	[0.00,0.00]	1	1	0.1		1	1			2	4.34111	0.430082	[0.10,1.79]	0.175054	1	0.1		0.116445	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			0	1.34513	0	[0.00,0.00]	1	1	0.1		1	1			1	1.10056	0.901961	[0.12,6.87]	0.69765	1	0.1		0.379025	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			2	2.38455	0.82542	[0.20,3.49]	0.569209	1	0.1		0.271695	1			4	12.1673	0.276923	[0.10,0.77]	0.00323788	1	0.1		0.00242795	1			1	2.87369	0.324928	[0.04,2.39]	0.203602	1	0.1		0.154969	1			0	0.427997	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			1	4.21883	0.21549	[0.03,1.57]	0.0653404	1	0.1		0.0540194	1			0	0.489139	0	[0.00,0.00]	1	1	0.1		1	1			1	5.25825	0.169725	[0.02,1.24]	0.0253434	1	0.1		0.0217438	1			4	6.78681	0.550363	[0.20,1.54]	0.171952	1	0.1		0.0949612	1			0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0611424	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.305712	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			2	4.34111	0.430082	[0.10,1.79]	0.175054	1	0.1		0.116445	1			0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1		
25	6		0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			0	0.342719	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.188254	0	[0.00,0.00]	1	1	0.1		1	1			0	0.960579	0	[0.00,0.00]	1	1	0.1		1	1			0	0.22687	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.333065	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1			0	0.415125	0	[0.00,0.00]	1	1	0.1		1	1			0	0.5358	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.342719	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1		
