C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intellectual_disability	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	14		0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.777152	0	[0.00,0.00]	1	1	0.1		1	1			2	2.35398	0.822866	[0.18,3.70]	1	1	0.1		0.283784	1			1	1.2502	0.782517	[0.10,6.04]	1	1	0.1		0.372163	1			0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1			1	0.43926	2.41093	[0.31,18.91]	0.361534	1	0.1		0.931163	1			1	0.901046	1.11977	[0.14,8.67]	0.607972	1	0.1		0.773828	1			1	1.22767	0.798433	[0.10,6.16]	1	1	0.1		0.373987	1			0	0.889783	0	[0.00,0.00]	1	1	0.1		1	1			2	2.95093	0.621154	[0.14,2.79]	0.746339	1	0.1		0.490249	1			0	0.799678	0	[0.00,0.00]	1	1	0.1		1	1		
12	18		1	0.955752	1.04977	[0.14,8.01]	1	1	0.1		0.380915	1			0	0.999195	0	[0.00,0.00]	1	1	0.1		1	1			2	3.02655	0.614734	[0.14,2.69]	0.753056	1	0.1		0.474875	1			4	1.6074	2.98531	[0.97,9.23]	0.0691909	1	0.1		0.982727	1			1	0.955752	1.04977	[0.14,8.01]	1	1	0.1		0.380915	1			1	0.564763	1.83746	[0.24,14.17]	0.43889	1	0.1		0.892955	1			0	1.15849	0	[0.00,0.00]	1	1	0.1		1	1			1	1.57844	0.608388	[0.08,4.62]	1	1	0.1		0.332668	1			0	1.14401	0	[0.00,0.00]	1	1	0.1		1	1			3	3.79405	0.745946	[0.21,2.60]	0.77866	1	0.1		0.441711	1			1	1.02816	0.970588	[0.13,7.40]	1	1	0.1		0.380974	1		
13	15		0	0.79646	0	[0.00,0.00]	1	1	0.1		1	1			1	0.832663	1.21849	[0.16,9.40]	0.577545	1	0.1		0.799388	1			0	2.52212	0	[0.00,0.00]	1	1	0.1		1	1			1	1.3395	0.725974	[0.09,5.57]	1	1	0.1		0.363057	1			0	0.79646	0	[0.00,0.00]	1	1	0.1		1	1			0	0.470636	0	[0.00,0.00]	1	1	0.1		1	1			1	0.965406	1.03888	[0.13,8.00]	1	1	0.1		0.382777	1			0	1.31537	0	[0.00,0.00]	1	1	0.1		1	1			0	0.953339	0	[0.00,0.00]	1	1	0.1		1	1			0	3.16171	0	[0.00,0.00]	1	1	0.1		1	1			0	0.856798	0	[0.00,0.00]	1	1	0.1		1	1		
14	15		2	0.79646	2.79808	[0.62,12.66]	0.187225	1	0.1		0.958865	1			0	0.832663	0	[0.00,0.00]	1	1	0.1		1	1			5	2.52212	2.5098	[0.85,7.42]	0.153405	1	0.1		0.910182	1			6	1.3395	7.13016	[2.49,20.42]	0.00113778	1	0.1		0.999867	1			2	0.79646	2.79808	[0.62,12.66]	0.187225	1	0.1		0.958865	1			5	0.470636	17.5588	[5.69,54.16]	5.59198e-05	0.139687	0.1		0.999997	1			4	0.965406	5.51196	[1.71,17.72]	0.0125956	1	0.1		0.998243	1			4	1.31537	3.88918	[1.22,12.43]	0.0358026	1	0.1		0.993041	1			1	0.953339	1.05311	[0.14,8.11]	1	1	0.1		0.382594	1			3	3.16171	0.935328	[0.26,3.34]	1	1	0.1		0.250256	1			0	0.856798	0	[0.00,0.00]	1	1	0.1		1	1		
15	6		1	0.318584	3.60615	[0.42,31.32]	0.279661	1	0.1		0.963731	1			0	0.333065	0	[0.00,0.00]	1	1	0.1		1	1			0	1.00885	0	[0.00,0.00]	1	1	0.1		1	1			0	0.5358	0	[0.00,0.00]	1	1	0.1		1	1			1	0.318584	3.60615	[0.42,31.32]	0.279661	1	0.1		0.963731	1			0	0.188254	0	[0.00,0.00]	1	1	0.1		1	1			1	0.386163	2.93165	[0.34,25.40]	0.329668	1	0.1		0.94819	1			0	0.526146	0	[0.00,0.00]	1	1	0.1		1	1			0	0.381335	0	[0.00,0.00]	1	1	0.1		1	1			0	1.26468	0	[0.00,0.00]	1	1	0.1		1	1			0	0.342719	0	[0.00,0.00]	1	1	0.1		1	1		
16	16		1	0.849558	1.19179	[0.16,9.16]	0.584555	1	0.1		0.792993	1			2	0.888174	2.47335	[0.55,11.11]	0.221485	1	0.1		0.945495	1			1	2.69027	0.326603	[0.04,2.49]	0.496469	1	0.1		0.672703	1			0	1.4288	0	[0.00,0.00]	1	1	0.1		1	1			1	0.849558	1.19179	[0.16,9.16]	0.584555	1	0.1		0.792993	1			1	0.502011	2.08596	[0.27,16.20]	0.401428	1	0.1		0.912708	1			0	1.02977	0	[0.00,0.00]	1	1	0.1		1	1			2	1.40306	1.49533	[0.34,6.67]	0.644433	1	0.1		0.612719	1			0	1.01689	0	[0.00,0.00]	1	1	0.1		1	1			1	3.37249	0.246743	[0.03,1.88]	0.217153	1	0.1		0.878634	1			0	0.913918	0	[0.00,0.00]	1	1	0.1		1	1		
17	4		0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			1	0.222043	5.7402	[0.59,55.92]	0.204456	1	0.1		0.983051	1			0	0.672566	0	[0.00,0.00]	1	1	0.1		1	1			1	0.3572	3.42121	[0.35,33.17]	0.312464	1	0.1		0.957922	1			0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1			0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1			0	0.843121	0	[0.00,0.00]	1	1	0.1		1	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
18	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			1	0.504425	2.48077	[0.22,27.49]	0.424645	1	0.1		0.924917	1			1	0.2679	5.13636	[0.46,57.10]	0.244868	1	0.1		0.977662	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
19	27		1	1.43363	0.681065	[0.09,5.10]	1	1	0.1		0.349219	1			0	1.49879	0	[0.00,0.00]	1	1	0.1		1	1			4	4.53982	0.857688	[0.29,2.51]	1	1	0.1		0.20514	1			3	2.4111	1.28241	[0.38,4.33]	0.727701	1	0.1		0.495528	1			1	1.43363	0.681065	[0.09,5.10]	1	1	0.1		0.349219	1			1	0.847144	1.19231	[0.16,9.02]	0.581048	1	0.1		0.793447	1			0	1.73773	0	[0.00,0.00]	1	1	0.1		1	1			1	2.36766	0.394587	[0.05,2.94]	0.504983	1	0.1		0.711846	1			0	1.71601	0	[0.00,0.00]	1	1	0.1		1	1			3	5.69107	0.461873	[0.14,1.55]	0.240534	1	0.1		0.851876	1			1	1.54224	0.62967	[0.08,4.71]	1	1	0.1		0.33591	1		
20	10		0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.555109	0	[0.00,0.00]	1	1	0.1		1	1			4	1.68142	3.34309	[0.94,11.95]	0.0708695	1	0.1		0.984355	1			0	0.893001	0	[0.00,0.00]	1	1	0.1		1	1			0	0.530973	0	[0.00,0.00]	1	1	0.1		1	1			1	0.313757	3.49415	[0.43,28.28]	0.273824	1	0.1		0.96317	1			2	0.643604	3.70192	[0.77,17.73]	0.131605	1	0.1		0.977826	1			0	0.876911	0	[0.00,0.00]	1	1	0.1		1	1			1	0.635559	1.6453	[0.21,13.15]	0.482696	1	0.1		0.871131	1			4	2.1078	2.51938	[0.71,8.99]	0.232618	1	0.1		0.867347	1			3	0.571199	7.34244	[1.86,29.02]	0.0160412	1	0.1		0.998418	1		
