ENTREZ.ID	GENE.NAME	DEGREE	Closeness	Bet	CC	Cl	Clnorm	SP	PR	sgG5	BRIDGE_sgG5	PROB_sgG5	MIX_sgG5	BR_CONSENSUS	BR_CONSENSUS_MAD	BR_CONSENSUS_ADJ
9040	9040	6	0.26	924.648484833345	0.133333333333333	7928	0.0362087814070926	2	0.000931356513892999	54	0.220439576344685	0.999999999110522	0.166666666666667	0.220439576344685	0	-0.321894652991581
8650	8650	8	0.314	4848.59114622684	0.142857142857143	43215	0.197615965529386	1	0.00108695899843678	78	0.612077078872874	0.997030737623592	0.75	0.612077078872874	0	1.40520786924146
55754	55754	1	0.249	0	NA	4519	0.0206155858769286	2	0.000242489253233185	35	0	0.990897476844459	0	0	0	-1.29402256680771
4508	4508	1	0.249	0	NA	4519	0.0206155858769286	2	0.000242489253233185	35	0	0.990897476844459	0	0	0	-1.29402256680771
8774	8774	2	0.25	729.803827869769	0	4581	0.0208991816888588	2	0.000435737016838089	89	0.293432358389728	0.996212138458177	0.5	0.293432358389728	0	0
5684	5684	21	0.312	11256.5588554342	0.0476190476190476	39891	0.182411570709127	2	0.00297836683343691	87	0.614307690546463	0.999999999999986	0.619047619047619	0.614307690546463	0	1.41504475928062
1508	1508	4	0.268	347.99154337336	0.166666666666667	10205	0.0466240663065305	3	0.000590451277710168	4	0.458636747533742	0.974423334265065	0.75	0.458636747533742	0	0.728543398762123
10801	10801	7	0.277	673.851354355927	0.285714285714286	15818	0.0722986355382145	3	0.000952318165746245	12	0.240102926856679	0.999999998676435	0.285714285714286	0.240102926856679	0	-0.235180224353907
56904	56904	2	0.235	19.4947933427298	0	2573	0.0117143366831183	3	0.000353761628781293	32	0.293432358389728	0.975179123343781	0.5	0.293432358389728	0	0
2280	2280	4	0.257	340.185350805611	0	5942	0.0271245671733274	3	0.000599211481603333	51	0.426225763812369	0.999959238783361	0.5	0.426225763812369	0	0.585612521683494
5861	5861	5	0.254	1052.05790760085	0	4554	0.0207756802868892	3	0.000840187117028956	16	0.444002681652122	0.999483925920144	0.6	0.444002681652122	0	0.664007873099967
