#communities 
273	5
1759	5
1785	5
26052	24
1020	22
5530	5
8867	5
6455	11
6456	11
30011	11
7534	16
6457	11
7431	11
392	4
5689	9
10570	11
114569	8
23176	2
10015	11
10059	22
192683	8
2885	5
3064	5
274	5
6453	8
51429	5
5303	2
92609	5
10484	3
10574	7
1639	13
26060	15
1398	4
22941	4
2017	18
50944	5
26230	11
5479	5
6386	9
51678	5
6187	14
5837	7
10273	24
2534	4
5708	24
27101	21
23386	24
8079	24
7265	24
1605	14
3688	14
87	14
7414	14
7094	14
7402	2
7846	14
2923	21
2475	22
6786	21
129285	13
811	15
26986	3
6311	11
3190	3
5094	3
5093	3
2935	3
1956	15
2010	11
2947	11
71	17
25930	5
10133	8
7316	6
3315	18
1213	6
7415	10
81631	9
9255	6
667	2
10890	8
9230	12
51552	12
22895	14
8573	3
5864	14
2316	23
10542	7
4830	10
2023	14
4893	2
7529	16
2170	14
26232	14
5162	14
26088	6
9135	9
1457	19
375	8
6272	23
11276	8
9146	6
351	15
3028	16
4747	11
5621	14
1072	17
29979	6
7165	8
6622	15
1509	15
9479	15
10211	4
4137	22
1191	14
22919	13
348	17
11140	23
5599	22
847	15
1410	15
9217	14
5354	16
10675	15
7532	16
321	14
9040	17
8650	22
55754	15
4508	15
8774	15
5684	18
1508	10
10801	2
56904	8
2280	22
5861	12
2932	22
6772	23
5578	21
5170	21
2782	24
4735	23
253260	22
84335	16
7249	16
5300	6
6009	24
5066	16
53616	16
23513	21
1739	2
10971	16
7164	12
5058	20
10987	21
11345	14
10419	17
5127	16
10458	4
5566	22
3984	22
7001	14
5581	23
7531	16
4627	19
23108	16
2037	16
11346	16
5906	15
5573	22
6854	16
8745	16
7163	8
2752	16
5160	7
226	14
8050	16
3032	16
498	19
1431	12
10452	16
2746	16
9804	16
4190	16
3030	7
4967	14
5825	13
5682	13
7536	3
5129	3
56947	16
8803	3
9632	3
50855	4
5879	4
998	4
10152	4
3708	24
6262	22
5799	5
3309	5
8027	12
9793	5
1937	19
2549	14
5786	14
2597	19
6616	17
7336	14
10540	5
3320	23
6853	16
1173	22
11047	24
5052	19
5335	4
10963	24
408	22
1445	14
1399	23
382	8
5910	14
3326	23
3312	17
1845	20
509	22
3313	24
7430	14
10454	20
7295	14
10092	15
1778	13
10439	14
1465	14
5516	20
53358	14
6642	8
7389	15
4915	23
5494	20
2288	23
3308	19
23770	24
1500	19
79026	14
51286	16
2824	15
9218	14
4035	14
81	14
5781	17
5579	22
5730	15
873	15
10457	14
966	15
7345	24
8874	22
5921	14
9253	14
9590	14
5532	15
2934	15
6900	14
7167	16
471	16
2805	15
7184	5
8404	15
9049	19
54187	16
815	23
2904	4
3927	4
816	23
817	23
5705	23
818	23
6635	18
6636	18
529	14
230	14
534	14
10006	4
10580	4
6708	2
23114	4
55740	4
7408	4
3895	4
56243	4
9456	4
5869	9
8411	9
9610	9
7905	8
7879	9
5868	9
