alg	a	sd_a	b	sd_b	c	sd_c	d	sd_d
fc	0.0545068099165901	0.0625830374321406	0.369486343697152	0.176395826016642	16.9853102298489	94.4293740657675	9.58701324164408	0.370621763458642
lourvain	-0.0251989115710955	0.0855767611483938	0.290045707524711	0.0728606983592571	-15.8491026633857	78.0700963038383	6.31559801526118	0.352572984885469
lec	-0.00556556392506404	0.0575719395655145	0.335174463128335	0.09482750011373	-12.8376362837663	46.6080846443331	3.06348679353901	0.323257975194803
infomap	-0.0315579601557661	0.0810568427123189	1.03560403545326	0.129318182363251	-1.42008941533409	0.753350629896047	4.13237470614213	0.41900363260167
sgG1	0.129618724022087	0.0591060072751925	0.618214997261219	0.0982384639175042	-36.8502238209948	180.537382456871	2.92780157165438	0.170348619416303
sgG2	-0.410671485995177	3.169017179819	40.8970832810145	9050.36418019396	-0.123059647125115	1.04810052743879	-27.4897527096939	2054.37475751174
sgG5	0.0621446706978964	0.106678179694282	1.17833960360608	0.238635952056431	-0.798676357652628	0.452374553526561	3.92755830606288	0.784685740763395
wt	-55.2082192761807	7932.01916086253	0.595709405211156	0.124285493025274	-0.476062604332775	0.738471606181901	19.3086822491607	315.947512223689
fc_2	0.0263137701228979	0.0499130117031413	0.877369750533814	0.10308620440923	-39.1199069324278	71.0951809162794	2.14832187504816	0.0913766419306772
lourvain_2	0.0935071202322422	0.0532820806559055	0.939902477457632	0.116365018171555	-5.86753190430343	5.84553673347135	2.25928742040597	0.193827741068035
sgG1_2	0.0963135297506241	0.0748700765055709	1.20764699612296	0.246846608790407	-1.28066306258055	0.77693964259233	2.77580934912388	0.586421693898227
Geodesicdiff	-0.0828989452656931	0.0576911008570359	0.708617670287581	0.0726229468289147	-162.612568340855	47349770.7091643	4.20079301858594	230.912410536156
Spectral	0.0140215972214376	0.16721283317432	0.843833374909478	0.127347242979791	-0.896868898226223	0.677491631688639	6.04639941653743	0.876254236873999
Spectral_1.5	-0.0733089567268488	0.0622467319694948	1.20603803071894	0.637308498106283	-1.23054946311315	0.838329733796604	1.51079001777132	1.03978034766994
Spectral_1.25	0.0395151269236441	0.0659298287444402	1.21999445187176	0.734609792392789	-1.08792821568384	0.841685703615559	1.52577976504358	1.41362713850719
Spectral_1	0.674827277124441	0.0872212618754859	-0.108521341584456	0.0684219852977096	127.666129097596	15504.6116117548	4.16016424004874	4.85539778462498
