alg	a	sd_a	b	sd_b	c	sd_c	d	sd_d
fc	0.000598701233662482	0.00582606595339456	0.320711826976348	0.0246563793118197	-2.37218823634476	0.555489939905184	1.74498328214474	0.127967958906203
lourvain	0.00851307385200499	0.0072126113415207	0.905875818734101	0.166337074164591	-1.2513242147046	0.201462568795833	0.851833230210739	0.332808116559915
lec	-0.00868584993164866	0.0105057430131669	0.687506529828738	0.07332849607095	-0.813240452851041	0.123312902715551	2.24462115730399	0.317382091529192
infomap	-0.0423704591445033	0.0133866902915143	1.01836232440169	0.0183324343604809	-0.848315280912475	0.0517143751482502	4.81604473771344	0.0747958293880214
sgG1	0.001048587885205	0.0168663629157706	29.566007403351	583.897312273136	-0.429833299983806	0.121980253629746	-8.74766265662444	49.2898488733747
sgG2	0.0184805046144725	0.00922143413063337	1.05857019635341	0.0561143513375799	-1.02416392260784	0.0953415225147599	2.22027891133642	0.141828258838913
sgG5	-0.00444386106772262	0.00831649696616121	1.00581038747874	0.0146608087182107	-1.43968021098991	0.0869684523293823	3.86856726474094	0.047276866400844
wt	-0.18834597615627	0.0780301261687872	0.935827891424181	0.0590518415764837	-0.408192776847214	0.0680387479227586	5.95470549223883	0.288627244815045
fc_2	0.000138999606563156	0.0104582268141155	1.16820073656898	0.0918511368897593	-0.744899103511186	0.0713257282303674	2.00844391314916	0.245348333759674
lourvain_2	-0.00107327091693726	0.00823798422012951	0.832351129310661	0.0397225990112604	-1.17987636558356	0.11833848003151	2.35329123668292	0.119384662601027
sgG1_2	-0.0668514971411845	0.0357244438276776	4.41911156260788	5.69579647000454	-0.302364654231701	0.0733923397168312	-4.23768716278443	6.19105172705304
Geodesicdiff	-0.00391993068650609	0.00941411817147866	0.875102926880409	0.0291497156542271	-0.877382775410868	0.0682916934537283	3.30813148439141	0.108429496630588
Spectral	-0.194516799475087	0.0619885280988105	0.916266228474595	0.0392448315635153	-0.442749437632227	0.0564378248449375	6.25643440984274	0.230579540304047
Spectral_5	0.00263121591139479	0.00555204806334544	0.198840962559223	0.0271355397546894	-5.07719058234037	2.66575104253023	1.01851804753814	0.122837323282607
Spectral_2.5	-0.00392854596918267	0.00654374545909404	0.848720000241454	0.216188725326703	-1.47275815121591	0.284375745880037	0.581004835199743	0.373682438890254
Spectral_1.5	-0.000232460899414014	0.00813709465701599	0.90418524955646	0.0239919209694124	-1.83635091956193	0.168602380964334	2.50815161992566	0.0594264082468963
Spectral_1.25	0.00204767650276091	0.0068878530700189	0.889832040856473	0.0188094760691191	-1.77930312081915	0.134276837085893	2.67430691384047	0.0499585610686685
Spectral_1	-0.0113598407070705	0.00731053223110147	0.919985612988604	0.0176133677417926	-1.56883180870652	0.106873628311455	3.06328502196016	0.0505958947630603
Spectral_0.5	-0.00937691488407154	0.0104152225627569	1.07661516728835	0.0569037593369711	-0.870824837701565	0.0778063929488051	2.50342624695541	0.155886367752458
Spectral_5_2	0.00132517166779467	0.00571031073524459	0.326462036096877	0.0154296933869637	-20.4646887792591	11.0774232302582	1.38071592743805	0.0295681999775175
Spectral_2.5_2	0.00829630362273854	0.00682435318131155	1.06680919362725	0.149094716607116	-1.63836458242947	0.230316782820013	0.781856617283359	0.201373106270522
