alg	Rate_-10.0	Rate_-5.0	Rate_-2.0	Rate_-1.0	Rate_-0.5
fc	1.48769885299771e-14	4.88498130835069e-15	1.55431223447522e-15	0	0
lourvain	1.48769885299771e-14	4.88498130835069e-15	1.11022302462516e-16	0	0
lec	0	0	0	0	0
infomap	6.25545630850155e-08	6.25545630850155e-08	6.25545630850155e-08	2.77422098626801e-08	2.11817230422184e-11
sgG1	4.44089209850063e-14	4.44089209850063e-14	3.73701070088828e-13	2.92077473318386e-12	0
sgG2	3.73701070088828e-13	7.93931587139696e-12	5.15884168716951e-09	1.09847528400042e-05	0.00131495133260573
sgG5	5.15884168716951e-09	6.25545630850155e-08	2.13288284861557e-05	0.0142531347353866	0.00918640609116927
wt	4.44089209850063e-14	4.44089209850063e-14	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11
fc_2	1.30007116183606e-13	1.05460085109144e-12	2.92077473318386e-12	0	0
lourvain_2	3.73701070088828e-13	7.93931587139696e-12	5.15884168716951e-09	5.54652990203408e-11	0
sgG1_2	5.15884168716951e-09	2.77422098626801e-08	5.55259405110586e-06	0.000771892008096575	6.25545630850155e-08
Geodesicdiff	0	0	0	0	0
Spectral	1.30007116183606e-13	1.05460085109144e-12	5.54652990203408e-11	6.25545630850155e-08	0.00360797056650741
Spectral_1.5	0	0	0	0	0
Spectral_1.25	2.11817230422184e-11	3.59572593922053e-10	6.25545630850155e-08	3.00705879863195e-07	1.55431223447522e-15
Spectral_1	0	0	0	0	0
