Alg	FacComsEnriched_log2(FE)>0.5_log2(FE)<4.8	FacComsEnriched_log2(FE)>4.8_log2(FE)<8.0
fc	1	0
sgG1	1	0
sgG2	1	0
sgG5	1	0
sgG1_2	1	0
Spectral_1.5	1	0
Spectral_1.25	1	0
Spectral_1	1	0
Spectral_0.5	1	0
Spectral_5_2	1	0
lourvain_2	0.95	0
lourvain	0.941176470588235	0
fc_2	0.941176470588235	0.0588235294117647
Geodesicdiff	0.933333333333333	0
infomap	0.8	0.2
wt	0.222222222222222	0.777777777777778
Spectral	0.2	0.6
lec	0	0
Spectral_5	0	0
Spectral_2.5	0	0
Spectral_2.5_2	0	0
