Alg	Psig&ORsig	0.0	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1.0	1.1	1.2	1.3	1.4	1.5	1.6	1.8	1.9	2.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9	3.0	3.1	3.2	3.3	3.4	3.5	3.6	3.7	3.8	3.9	4.0	4.1	4.2	4.3	4.4	4.5	4.6	4.7	4.8	4.9	5.0	5.1	5.3	5.4	5.5	5.6	5.7	5.8	5.9	6.0	6.1	6.2	6.3	6.4	6.5	6.6	6.7	6.8	6.9	7.0	7.1	7.2	7.3	7.4	7.5	7.6	7.7	7.8	7.9	8.0	8.1	8.2	8.3	8.4	8.5	8.7	8.8	8.9	9.0	9.1	9.2	9.3	9.4	9.5	9.6	9.7	9.8	9.9	10.0	10.1	10.2	10.3	10.4	10.5	10.6	10.7	10.8	10.9
lourvain_2	98	86	84	83	80	69	67	66	65	64	64	64	63	63	60	58	56	56	53	53	50	49	47	41	37	37	33	32	32	27	27	27	26	20	18	17	15	15	15	15	15	12	12	12	6	6	6	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgG1_2	107	93	89	89	88	88	86	80	80	80	78	78	72	72	67	66	66	66	64	64	53	53	52	52	50	46	43	41	41	40	40	40	40	39	39	38	37	33	30	29	29	23	23	23	23	23	23	23	23	23	23	22	22	22	17	17	17	17	17	17	17	17	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geodesicdiff	136	115	114	113	113	113	113	111	110	110	107	106	101	98	98	98	94	94	94	94	92	90	87	83	79	78	76	76	76	73	66	66	60	58	53	53	43	41	41	40	37	34	34	34	34	27	27	23	23	22	22	19	16	16	16	16	16	16	16	16	16	10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral	145	126	126	126	125	124	124	124	123	123	122	121	118	118	118	118	116	116	113	113	108	105	105	105	104	104	104	103	103	101	100	99	99	97	97	93	92	84	84	84	84	81	81	79	78	78	78	76	76	76	76	76	76	76	76	76	64	59	59	59	59	59	56	56	56	56	53	53	53	50	50	34	27	27	27	27	27	27	27	27	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_5	45	12	11	10	9	6	6	6	6	6	6	6	6	5	4	4	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_2.5	63	35	35	33	32	31	30	27	26	21	20	17	15	14	13	13	13	9	9	9	9	4	4	4	4	4	4	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_1.5	111	108	107	107	102	102	97	97	95	95	94	94	89	86	86	86	74	73	69	68	68	63	62	61	60	59	52	49	47	33	21	16	14	12	12	11	6	5	5	5	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_1.25	113	110	109	109	104	103	100	100	98	98	97	97	95	91	91	91	83	82	79	75	74	69	69	66	65	64	60	56	52	41	28	27	23	17	17	16	11	10	10	9	8	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_1	120	117	116	116	114	113	110	110	108	108	107	107	102	99	99	99	98	97	94	90	88	84	84	82	81	80	75	70	66	61	52	51	47	41	41	40	35	28	28	26	25	21	21	14	9	9	9	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_0.5	128	123	122	122	122	122	122	120	117	114	114	112	105	105	101	101	101	96	92	89	89	85	66	65	65	62	62	59	57	57	55	55	54	48	45	45	41	40	38	37	20	20	20	18	18	18	18	18	18	15	15	10	10	6	6	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_5_2	51	23	21	19	17	15	15	15	15	15	15	15	15	13	12	9	6	5	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spectral_2.5_2	77	62	62	60	59	57	51	48	46	41	39	34	29	28	25	23	23	18	18	18	15	9	9	8	7	7	6	6	6	6	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
