ENTREZ.ID,GENE.NAME,DEGREE,Closeness,Bet,CC,Cl,Clnorm,SP,PR,sgG5,BRIDGE_sgG5,PROB_sgG5,MIX_sgG5,BR_CONSENSUS,BR_CONSENSUS_MAD,BR_CONSENSUS_ADJ,DE,sub
3306,3306,3,0.226,113.20721685199,0,3026,0.0137864157606085,3,5.03638462016424e-4,37,0.284179436498786,0.9995496278918641,0.33333333333333304,0.284179436498786,0,-0.0408049398556283,1,48.8144047613264
11188,11188,1,0.226,0,NA,1748,0.00794068273404659,2,2.3210400036164503e-4,37,0,0.987430623571662,0,0,0,-1.2940225668077099,0,34.67949863750969
7385,7385,2,0.22,141.94030126108498,0,1907,0.008667968767867679,3,4.01017124171926e-4,30,0.29343235838972803,0.9974755500086991,0.5,0.29343235838972803,0,0,0,21.45853409760131
1762,1762,1,0.196,0,NA,627,0.00281308748930798,4,2.4743378122238e-4,37,0,0.987430623571662,0,0,0,-1.2940225668077099,0,3.80010649115559
55466,55466,1,0.21600000000000003,0,NA,749,0.0033711308611707,4,2.59852363842258e-4,84,0,0.995549197265935,0,0,0,-1.2940225668077099,0,5.27140006865629
10056,10056,1,0.203,0,NA,528,0.00236024901541938,4,2.54799051923439e-4,72,0,0.9988945041061279,0,0,0,-1.2940225668077099,0,3.6080757750761565
51699,51699,2,0.19699999999999998,0,1,356,0.00157349934361292,3,5.293164230340691e-4,27,0,0.999999950266846,0,0,0,-1.2940225668077099,0,3.402655697932776
9559,9559,2,0.19699999999999998,0,1,356,0.00157349934361292,3,5.293164230338331e-4,27,0,0.999999950266846,0,0,0,-1.2940225668077099,0,3.4026556979327753
112936,112936,1,0.19699999999999998,0,NA,330,0.0014545720676421802,3,3.0435694324468997e-4,27,0,0.999684691786221,0,0,0,-1.2940225668077099,0,2.163387505568056
4355,4355,1,0.2,0,NA,438,0.00194857767552065,4,2.63495736748906e-4,10,0,0.997149643705463,0,0,0,-1.2940225668077099,0,2.4475061060736265
1159,1159,2,0.19899999999999998,34.1399829733349,0,407,0.00180677976955553,4,4.4666931809072196e-4,30,0.29343235838972803,0.9974755500086991,0.5,0.29343235838972803,0,0,0,2.964462887785973
10587,10587,1,0.19399999999999998,0,NA,268,0.0011709762557119401,4,2.74705162186909e-4,85,0,0.997148740693806,0,0,0,-1.2940225668077099,0,2.0137045478679
112755,112755,6,0.22699999999999998,742.785820248343,0.2,2706,0.0123226954409686,3,9.88018892049478e-4,44,0,0.9999999999999221,0,0,0,-1.2940225668077099,2,37.9804514222246
5878,5878,1,0.203,0,NA,512,0.00228706299943738,3,2.70122268953017e-4,65,0,0.996194704296813,0,0,0,-1.2940225668077099,0,2.7478576792292886
3382,3382,1,0.201,0,NA,322,0.00141797905965118,4,2.99769313558302e-4,61,0,0.995388040712468,0,0,0,-1.2940225668077099,0,2.6423487931699796
11112,11112,5,0.223,1534.43750025947,0,1365,0.00618879247647756,3,9.66269585387676e-4,44,0.22424448141544503,0.999999990913253,0.2,0.22424448141544503,0,-0.305115204899543,0,11.483477690679493
