V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102
AD	AD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AD	BI	-0.0943126331413813	-0.0952678002025457	-0.10313673320668	-0.102017004393798	-0.0854061244760023	-0.0930769786049432	-0.101407623022149	-0.103893653211834	-0.091358227003095	-0.0685354933116142	-0.0878703924069369	-0.109434380378238	-0.11481013021262	-0.0963643009994347	-0.111501617035251	-0.0840947241804954	-0.101011902880789	-0.105020548560919	-0.10018523994319	-0.0978902856133895	-0.121028789166749	-0.100427753715165	-0.108112914651497	-0.101709755410868	-0.0918277730157142	-0.107275866866202	-0.0849665438791375	-0.0885776253597354	-0.0922208645375116	-0.0982862616268229	-0.0870171319062055	-0.111355432744492	-0.0943067476600626	-0.100062989434771	-0.116203953935232	-0.103892622945472	-0.0968213164821522	-0.0999940077641078	-0.0946887282336107	-0.0910781313848872	-0.0907270350789597	-0.0885979633769115	-0.0869091521966914	-0.0885299247049825	-0.0902955589334812	-0.0969498121331319	-0.102847518545006	-0.0849936243796267	-0.0796274494137946	-0.0984905475179434	-0.0920313480569354	-0.11263554039377	-0.098575066639001	-0.112525308671106	-0.0672906566109507	-0.0936646887981325	-0.103104814436404	-0.0982749841922741	-0.0941313562499254	-0.108077522121285	-0.0969902411916251	-0.082556289949828	-0.0970902939504131	-0.0926025561959041	-0.0962615179500614	-0.0952115778215848	-0.0969207520131073	-0.0904118438946509	-0.0775436361438114	-0.0724235791877045	-0.113846631211157	-0.0921024631245556	-0.11563549218476	-0.101539828818194	-0.084178102467954	-0.0919172494463801	-0.0929023912431425	-0.103925083961201	-0.0970998455193538	-0.0890020980662763	-0.083694779608148	-0.094084954866115	-0.093765567633979	-0.0911808619042322	-0.0874917919712597	-0.0965999718879624	-0.0788165814931796	-0.108392323990303	-0.109144082072916	-0.0826491770196716	-0.0777004475982042	-0.0787817456118151	-0.101706771789985	-0.101918461026066	-0.111961301382311	-0.0828781338080467	-0.0967620846389234	-0.0992496182888547	-0.0802459578778648	-0.0892543104065461
AD	AUT	-0.0352563023519199	-0.0434882691456396	-0.0510243240601806	-0.0523383694658595	-0.031364786165583	-0.0538776150808023	-0.0269296378698769	-0.0254656985334276	-0.0407024312562161	-0.0322122534393451	-0.0485039811892402	-0.0374891085010606	-0.0545146283552658	-0.026805470757662	-0.0522882266029676	-0.0499580034838999	-0.0507151825598041	-0.0382752223429514	-0.0702204055351466	-0.03505255169797	-0.0488147726554101	-0.0456783486544442	-0.027982597747538	-0.037065107535227	-0.0527807270197709	-0.0344776794697114	-0.0271752815577517	-0.036431681642837	-0.0470733113721162	-0.0444220807965828	-0.0610192016925085	-0.0385997711894126	-0.0358325830875631	-0.0405523821021829	-0.0624057593579505	-0.0494923566915599	-0.0522643394675267	-0.017890975779422	-0.0402469199680356	-0.0423993032200204	-0.0477374369764808	-0.0450266466601128	-0.0531456454125777	-0.0350185750504476	-0.0386596183807339	-0.0268264546431877	-0.0380804746382435	-0.056991577700741	-0.0491983753298495	-0.0404599322766653	-0.0321236152072806	-0.0516691674859006	-0.0507871486636427	-0.0237288939480174	-0.0274734596965672	-0.0396384160328384	-0.047165519739225	-0.0208625641733211	-0.0502758834790708	-0.0360748118636565	-0.0424504061675376	-0.0571910913345176	-0.0457186894557413	-0.0453795093795094	-0.0422113910878851	-0.0272930730181726	-0.0466421471401551	-0.0264909539331849	-0.0227005915731016	-0.0339211408334914	-0.0383108432072576	-0.0359865530662344	-0.0524653018517561	-0.0529105971496409	-0.0119956250035932	-0.0160905526523057	-0.0519243832749809	-0.0584621398964028	-0.0541062761939256	-0.0604404603806994	-0.0442807931333828	-0.0383265552508581	-0.0408386655398608	-0.0394643417671306	-0.0370902709508286	-0.0330014315034236	-0.0360088477259792	-0.0578232984368442	-0.0404991060289866	-0.0399878006013464	-0.0366879954927764	-0.0643681090932088	-0.0423728347792093	-0.0478607072431774	-0.019148117486763	-0.0440596804700391	-0.0420133836946586	-0.0413648436556803	-0.049384062595218	-0.0287217306818901
AD	SCH	-0.142730795665116	-0.169273290374705	-0.158726105087311	-0.164900640881035	-0.15366296476622	-0.15198179103767	-0.144510721521753	-0.167011182746356	-0.152963675687448	-0.165894583920319	-0.163448059836795	-0.1669748919701	-0.15145294998371	-0.16910561995141	-0.165041614964877	-0.165680950877047	-0.152787970023859	-0.156076363714886	-0.163692425437434	-0.159691058732831	-0.158023026085368	-0.168562378194684	-0.153551789330294	-0.157709497905349	-0.16863018967148	-0.159857715829188	-0.147101799507797	-0.154839309670219	-0.154587129991912	-0.156582287294432	-0.148934360058705	-0.168334545505577	-0.16522034553001	-0.148264387091212	-0.169502781783502	-0.160099424462468	-0.16596976011254	-0.136846058306993	-0.15699571965876	-0.152755150495537	-0.167158117162952	-0.166320801494963	-0.155650747300469	-0.152307716388126	-0.152936796386187	-0.165464116002129	-0.17270843350995	-0.162942667047549	-0.158085768916904	-0.173673052395678	-0.15779000813798	-0.164891839613829	-0.172447924042943	-0.150042000793129	-0.151954343750576	-0.154457754882487	-0.162202412618848	-0.146225418477888	-0.154282755934014	-0.161724912457801	-0.165592773338307	-0.151222876515095	-0.175444663542885	-0.157675518278528	-0.13835054621941	-0.159204546194801	-0.161651319588921	-0.153789880949365	-0.170229004448907	-0.166543636914021	-0.168950483417266	-0.162101297066523	-0.171611237683152	-0.185075313715163	-0.153925616494839	-0.161819751012704	-0.18508102875846	-0.161370350568497	-0.168116176566268	-0.146201813388767	-0.153099767103692	-0.152360754201547	-0.157656001682123	-0.165854223751756	-0.163433466119374	-0.15132507274843	-0.14812396088751	-0.158809743765807	-0.158322567739901	-0.161216181118197	-0.157144273588944	-0.162935697408995	-0.155954185438347	-0.159641919413326	-0.162451248720373	-0.147371514366443	-0.154902054512325	-0.182296942149245	-0.156635117013928	-0.159841123605861
AD	ASD	-0.0453144941601117	-0.0166876993450698	-0.0379187722046288	-0.0249990976265876	-0.0511697682205651	-0.0474148278680151	-0.0334981526883917	-0.0424773072950364	-0.0607033007570856	-0.0455392135163052	-0.051376738061997	-0.0349774349893872	-0.0399936493342868	-0.0430019409541322	-0.0346845154992566	-0.0461446039205003	-0.045359584454206	-0.0295563671240962	-0.0317742590890002	-0.0350934552388736	-0.0490378088784462	-0.0532353009613966	-0.0280245002894405	-0.0434089766290962	-0.0518172183062621	-0.049357161099193	-0.0392202273526975	-0.0414259003870558	-0.0412563875551924	-0.0495880722125742	-0.0164320666053734	-0.0299326142722556	-0.0410850898400699	-0.0426870807368815	-0.0393274395296308	-0.0338893485885518	-0.0169077053608926	-0.0564788878673341	-0.0399244276455432	-0.0349374780081952	-0.0498628023518462	-0.0297755644090306	-0.0585760575929899	-0.0379894467713193	-0.0462349689560845	-0.0381819417486748	-0.038228780036549	-0.048481180690344	-0.0479455170769913	-0.0572588648255979	-0.0539681133017787	-0.0424582950250281	-0.0436225354990295	-0.0616114743305978	-0.0432117399348475	-0.0440801409745633	-0.0376704407441459	-0.0520087513195084	-0.0449112666144539	-0.0320057235445682	-0.0451574953746268	-0.0354941771376034	-0.0271602478972997	-0.052252849002849	-0.0233184044448985	-0.0399890807141803	-0.0408430295910375	-0.0216366045788357	-0.0472131530856631	-0.0447628176751683	-0.0552912424376569	-0.0336627194924008	-0.0346345955210498	-0.0443585288475727	-0.0400965426045107	-0.0352563960681491	-0.0475555669061645	-0.0543826545669175	-0.0371153874530369	-0.0361804888707279	-0.031726782329372	-0.0330436714679743	-0.0396702506214459	-0.0423438326466216	-0.039165205275763	-0.0319546912066832	-0.0273576378247694	-0.0344551480686938	-0.0570454393253198	-0.0439900483535942	-0.0429694640242449	-0.0548644368395364	-0.0255518779582525	-0.0398135321960023	-0.0452170208056662	-0.0359876136479722	-0.035045703226978	-0.0348998734407102	-0.0477891482503036	-0.0478100220201814
AD	Epi	-0.0882918706851982	-0.0989388180710836	-0.0879681360569976	-0.0879465740949759	-0.0685406387209646	-0.105528805824617	-0.0912676713138129	-0.0830068483547086	-0.0941556409919224	-0.0904048323067976	-0.0832086269836612	-0.0979909555770395	-0.100158999168006	-0.0958739549917737	-0.0849323435213024	-0.0926197674984754	-0.0952996546944858	-0.0962419843615895	-0.102988645711031	-0.0888389494739387	-0.0922749902800724	-0.0789464119652987	-0.0786143798814704	-0.101936921346617	-0.0847541543677279	-0.0847079374149462	-0.0919030129705169	-0.071525541742288	-0.084758030916152	-0.0739598017634511	-0.102624401865712	-0.0982806419021616	-0.0994255640592132	-0.0852776633137021	-0.105210764653817	-0.0922350843195687	-0.0798451875756838	-0.0772655480647028	-0.104297305634645	-0.0901569902163912	-0.0882779690113145	-0.0955240143964871	-0.0866560279328516	-0.0924431132581812	-0.091091288360517	-0.0881344581891764	-0.0775493517454392	-0.0927813706647088	-0.103614592270633	-0.0890967203115288	-0.0827788744673673	-0.11951280460354	-0.101667793935536	-0.0839930872503249	-0.0827588010142707	-0.0918283483633468	-0.0961661257346702	-0.0867364609583028	-0.0971358910842672	-0.080928943438517	-0.0892515323788885	-0.103361183442412	-0.110974503234241	-0.0980472529835502	-0.0966696754536526	-0.104041408819083	-0.0879874527621515	-0.0971961953283521	-0.0855674745736261	-0.0918037076508502	-0.0888124936372491	-0.0945071040070089	-0.0888584375182495	-0.0828789079784506	-0.0982065341472514	-0.0954474168694537	-0.101079797214397	-0.078961796793759	-0.103444563144405	-0.0966868914693518	-0.0890689419507221	-0.107437927393033	-0.0934427897841312	-0.112849892406149	-0.0764132928201897	-0.0882789881223412	-0.0854723688480855	-0.0981183212532088	-0.0999369811011482	-0.0977075231311431	-0.087009878987437	-0.072792976750847	-0.0843427422803499	-0.093601755041262	-0.077369384948112	-0.0758417642907209	-0.0917369317840275	-0.09646620128096	-0.0878602548555732	-0.0882061207915355
AD	ID	-0.073034125082176	-0.058914631425118	-0.0709197338450421	-0.055411769823118	-0.0779551442280837	-0.074385865253884	-0.0575670581216993	-0.0534436244710541	-0.0506786933654886	-0.049525152485783	-0.0636603277177515	-0.0638426604031702	-0.0830403190877392	-0.0593174706860901	-0.0770205908645105	-0.0735404369793481	-0.0709841552372772	-0.0568462410866194	-0.0591898860045169	-0.0609006882930787	-0.0667017175146077	-0.0593109355248642	-0.0740126378095094	-0.0762773743112464	-0.0775934719835839	-0.0927675713781895	-0.0824362761603011	-0.0583211549872762	-0.069600522129012	-0.0921169865172538	-0.0576477510530552	-0.0700433647878179	-0.0900545065065797	-0.0634172439036225	-0.0858766268642729	-0.0686618609498111	-0.0790301602527265	-0.0753874540741826	-0.0687106890649251	-0.0772109400893537	-0.0717346020859561	-0.0751095696829169	-0.0629790928381855	-0.0595683685733748	-0.0810845590472513	-0.0780883282267966	-0.0615541948547517	-0.0607102412095389	-0.0658850951284389	-0.0727904439925547	-0.0810140046142963	-0.0746521145835801	-0.0697201645087926	-0.0677183332688816	-0.0551936461630651	-0.0587016492834753	-0.0658680913363131	-0.0735670680425465	-0.079372624072398	-0.0731800110272129	-0.0726050338198531	-0.0782517449386639	-0.0526619635102243	-0.0623205099972332	-0.0638197924005366	-0.084027632911288	-0.0585535761403311	-0.0793174362668244	-0.0697543801833755	-0.0693529345652191	-0.0758001095747446	-0.0623209829809329	-0.0729913636438386	-0.0770299453685268	-0.0637790494384159	-0.0605359250635447	-0.0620714039364257	-0.0787465359427456	-0.0665476069398148	-0.053680672540753	-0.0535964561339169	-0.0736424636689466	-0.0666046512485903	-0.0804580957925958	-0.056761668114188	-0.0811102559535825	-0.0584779071844683	-0.0723987853688606	-0.0811808834993569	-0.0669035538881634	-0.0597354786074252	-0.0725501542129328	-0.0710042106459959	-0.0779003950994255	-0.0728824682860773	-0.0626751994050912	-0.0558931159421512	-0.0738419019420319	-0.067052994241027	-0.0846025139471701
AD	HTN	-0.0958138793349976	-0.110025123161732	-0.0875006705980808	-0.107699946064368	-0.0955010225612234	-0.0914041294934917	-0.0830348762237719	-0.10318216027285	-0.094795634475946	-0.099941668571789	-0.0984330250054359	-0.100482845589571	-0.114134691676844	-0.107688073255311	-0.125875218452783	-0.0856807568202341	-0.0995608187669448	-0.077464307588705	-0.108147378253033	-0.0937346959121124	-0.104760122263193	-0.124191616367028	-0.106335418080329	-0.109780718960658	-0.0936253208453124	-0.0973660891114186	-0.0836559365484214	-0.0824304762586322	-0.0954261850630456	-0.102411885325225	-0.0980389062999024	-0.108812699714505	-0.0991844799558255	-0.102939209138253	-0.101806629073916	-0.0887288698391625	-0.0947118677303945	-0.0914741133171272	-0.10397907366355	-0.110824197437782	-0.0951140535748854	-0.0992391404573649	-0.106807021327007	-0.0997436360720401	-0.0830967317748576	-0.0956966937239788	-0.0937045944797548	-0.0967930685618313	-0.0914642708087396	-0.111449995407911	-0.101901416085228	-0.108861258085417	-0.101522209401635	-0.0979300984863009	-0.0811786590729929	-0.100496261709932	-0.0974885896021092	-0.0879217321670275	-0.0967014376242145	-0.0936522004957594	-0.105809678334333	-0.0833861203189947	-0.107987495610234	-0.106657439070727	-0.0816227526189339	-0.109547456044905	-0.0920306618984793	-0.0959710409091195	-0.0766732663498799	-0.104217515467922	-0.110785442483029	-0.0829622054331909	-0.0913362275389983	-0.0987794133467425	-0.106432256601925	-0.0873221962732995	-0.107526804086	-0.0965768095181559	-0.106931591626471	-0.104887681454691	-0.0955915705609164	-0.110300593208775	-0.115356532192559	-0.105463897170203	-0.0996507483608421	-0.085899204196995	-0.0959605766679377	-0.118733960645504	-0.0965362176445057	-0.0911833236908607	-0.0879102685787524	-0.0867788849861537	-0.103855737264554	-0.100645986611261	-0.101528695384683	-0.0934381447566616	-0.0864468705248233	-0.110021991208773	-0.095431365615164	-0.0949599158262795
AD	HD	0.118535206254022	0.0836451787352308	0.111881973822921	0.12085765186676	0.108756836913514	0.0981008012623049	0.12961824523213	0.113656739023288	0.122021843895894	0.10549018701825	0.099844522254624	0.133212519338454	0.11514249702222	0.110835489656494	0.0867233471611836	0.116810472885092	0.124085616297696	0.118001670294766	0.111620254377678	0.115557229843513	0.110221964376172	0.107483896030996	0.107650206733205	0.110848641516408	0.10993552422612	0.0972769916895988	0.13272974254186	0.113293740844183	0.108603361468217	0.0945449644720089	0.114971779548473	0.104739298818472	0.0884915064826604	0.10432228132145	0.105650781752714	0.107228987828754	0.111752004011445	0.126390340699059	0.107991530441807	0.120508515765118	0.121542053435742	0.133611892635643	0.128052823071973	0.10865191296669	0.105848059651428	0.104391856970742	0.129382059391301	0.0872210214126313	0.141439516846703	0.101848901644282	0.105322686915568	0.0992307744965157	0.101644316205967	0.106152058432935	0.106340882175764	0.11578332717241	0.112974553675333	0.0998163103599347	0.143777347654057	0.0987251594994591	0.115072895702414	0.113318273298558	0.110044076272231	0.115734536082474	0.126798955381224	0.115106900576388	0.10076147300831	0.104430225832067	0.114664255349735	0.081032733327857	0.117201836981969	0.114798811626347	0.0993124666283321	0.116144716665982	0.107768111403184	0.0950498350241645	0.108485046070015	0.103442612710669	0.0959518027546174	0.114624688531099	0.125558624608097	0.12193640386906	0.105853253652058	0.117647425760874	0.109074158691694	0.142009145548391	0.111776074396572	0.111568117564108	0.116724382538574	0.0975560900726988	0.125833547254282	0.124204838720718	0.0919898327651592	0.113228024328802	0.110405688243589	0.119506835202147	0.128205956243753	0.102736023260908	0.104238758026314	0.123614339891294
AD	PD	-0.0615991910750904	-0.0526000806518174	-0.0444452349177112	-0.0462561043131718	-0.0419880986903039	-0.0436613806110467	-0.0569953921468988	-0.0403372510810366	-0.0607362722196345	-0.0569643432900265	-0.052451600080521	-0.053127563942333	-0.0447481991663014	-0.04972881970918	-0.0521939890721104	-0.0472191695478829	-0.0597776646786242	-0.048215054029262	-0.054550599597735	-0.0456201249697687	-0.0598721362620695	-0.0552642916629225	-0.0475596075921534	-0.0341261638498045	-0.055212561226253	-0.0622407176834538	-0.0475911567623594	-0.045839389740686	-0.0637805493610442	-0.0506112828308553	-0.0386923673375051	-0.0341801610655772	-0.0516298749975311	-0.0415947216093111	-0.063277852835678	-0.0599605864273953	-0.0601963948925399	-0.0417425154760322	-0.0255609408454367	-0.0392748595885345	-0.0440427920283148	-0.0516343581974018	-0.0416270013023843	-0.0284275557411184	-0.0411218588007208	-0.0503792133086225	-0.0351926722997369	-0.0530279466526029	-0.0499371998855754	-0.047163743332589	-0.0637347677480106	-0.0452943451251627	-0.0557478186665662	-0.0450509521714841	-0.0351851486336083	-0.0494061365752067	-0.0517918699148709	-0.0449307010442749	-0.062340917037062	-0.0440048270753618	-0.0486459899265017	-0.0411096766615536	-0.047784091971848	-0.0687304245050723	-0.0415438067160754	-0.0607463536968054	-0.0629462968245865	-0.041746327667432	-0.0514279956244493	-0.0507554489354052	-0.0390433126157833	-0.0420278013328348	-0.0518464668526393	-0.0382980203680501	-0.0460258045267304	-0.0462610754002932	-0.060291674825371	-0.0512709351699869	-0.0735352369045765	-0.0601420811386582	-0.0367142016653828	-0.0615047338797409	-0.0496460240655292	-0.0527201892060767	-0.0560562673956984	-0.0488319953058184	-0.0469000363495622	-0.0652256628955468	-0.0595420458747432	-0.0540128850630506	-0.0619330243293545	-0.0392922678765224	-0.042512688665542	-0.0591348712638202	-0.050284042594519	-0.049415984572822	-0.0462609014351341	-0.0610788854823983	-0.0501478043307906	-0.040916317003237
