C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	7	66	1	0.371681	3.00256	[0.36,25.31]	0.269035	1	0.1		0.950941	1		69	1	0.388576	2.86275	[0.34,24.12]	0.276981	1	0.1		0.946782	1		209	0	1.17699	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.625101	0	[0.00,0.00]	1	1	0.1		1	1		66	1	0.371681	3.00256	[0.36,25.31]	0.269035	1	0.1		0.950941	1		39	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.450523	0	[0.00,0.00]	1	1	0.1		1	1		109	1	0.613837	1.74074	[0.21,14.59]	0.355223	1	0.1		0.880376	1		79	0	0.444891	0	[0.00,0.00]	1	1	0.1		1	1		262	1	1.47546	0.622605	[0.07,5.19]	0.546972	1	0.1		0.357119	1		71	1	0.399839	2.77619	[0.33,23.38]	0.282103	1	0.1		0.943937	1		
12	31	66	1	1.64602	0.588205	[0.08,4.38]	0.502151	1	0.1		0.321767	1		69	2	1.72084	1.17859	[0.28,5.04]	0.443807	1	0.1		0.588614	1		209	5	5.21239	0.950226	[0.36,2.50]	0.575545	1	0.1		0.192807	1		111	6	2.7683	2.53029	[1.02,6.31]	0.0350536	1	0.1		0.983815	1		66	1	1.64602	0.588205	[0.08,4.38]	0.502151	1	0.1		0.321767	1		39	2	0.972647	2.19012	[0.50,9.52]	0.183679	1	0.1		0.929991	1		80	1	1.99517	0.478059	[0.06,3.55]	0.395035	1	0.1		0.271156	1		109	5	2.71842	2.04882	[0.77,5.45]	0.136707	1	0.1		0.896464	1		79	1	1.97023	0.484615	[0.07,3.60]	0.402119	1	0.1		0.27485	1		262	7	6.53419	1.09461	[0.47,2.57]	0.502751	1	0.1		0.34359	1		71	2	1.77072	1.14243	[0.27,4.89]	0.437218	1	0.1		0.583561	1		
13	193	66	16	10.2478	1.80791	[1.01,3.25]	0.0350324	1	0.1		0.965987	1		69	14	10.7136	1.41493	[0.77,2.60]	0.201878	1	0.1		0.765557	1		209	50	32.4513	1.95936	[1.36,2.82]	0.000345882	1	0.1		0.999663	1		111	30	17.2349	2.20177	[1.40,3.46]	0.00103198	1	0.1		0.999085	1		66	16	10.2478	1.80791	[1.01,3.25]	0.0350324	1	0.1		0.965987	1		39	11	6.05551	2.20604	[1.08,4.51]	0.0283318	1	0.1		0.978164	1		80	18	12.4216	1.63908	[0.95,2.84]	0.0491348	1	0.1		0.946525	1		109	18	16.9244	1.08396	[0.64,1.84]	0.458026	1	0.1		0.321134	1		79	19	12.2663	1.80172	[1.05,3.09]	0.0232767	1	0.1		0.976938	1		262	57	40.6806	1.72758	[1.22,2.44]	0.00191567	1	0.1		0.997928	1		71	12	11.0241	1.11359	[0.59,2.11]	0.435598	1	0.1		0.38688	1		
14	40	66	2	2.12389	0.936678	[0.22,3.97]	0.64202	1	0.1		0.280851	1		69	2	2.22043	0.89238	[0.21,3.78]	0.614867	1	0.1		0.278344	1		209	4	6.72566	0.540921	[0.19,1.54]	0.17	1	0.1		0.0956334	1		111	4	3.572	1.13811	[0.40,3.26]	0.49392	1	0.1		0.427465	1		66	2	2.12389	0.936678	[0.22,3.97]	0.64202	1	0.1		0.280851	1		39	3	1.25503	2.62838	[0.77,8.92]	0.0935198	1	0.1		0.966465	1		80	1	2.57442	0.364817	[0.05,2.69]	0.257214	1	0.1		0.190353	1		109	6	3.50764	1.88464	[0.77,4.59]	0.100552	1	0.1		0.922043	1		79	1	2.54224	0.369822	[0.05,2.73]	0.263731	1	0.1		0.19449	1		262	8	8.43121	0.934055	[0.43,2.05]	0.525171	1	0.1		0.156154	1		71	1	2.28479	0.415018	[0.06,3.07]	0.320825	1	0.1		0.229334	1		
15	43	66	1	2.28319	0.415751	[0.06,3.07]	0.321466	1	0.1		0.22963	1		69	2	2.38697	0.8249	[0.20,3.48]	0.568679	1	0.1		0.2713	1		209	3	7.23009	0.361893	[0.11,1.18]	0.0512587	1	0.1		0.035595	1		111	2	3.8399	0.488252	[0.12,2.05]	0.243945	1	0.1		0.154381	1		66	1	2.28319	0.415751	[0.06,3.07]	0.321466	1	0.1		0.22963	1		39	0	1.34916	0	[0.00,0.00]	1	1	0.1		1	1		80	2	2.7675	0.701689	[0.17,2.96]	0.468001	1	0.1		0.246744	1		109	4	3.77072	1.0696	[0.37,3.05]	0.462753	1	0.1		0.421492	1		79	1	2.7329	0.342491	[0.05,2.52]	0.227425	1	0.1		0.170959	1		262	4	9.06356	0.374478	[0.13,1.06]	0.033403	1	0.1		0.0226014	1		71	1	2.45615	0.384354	[0.05,2.83]	0.28214	1	0.1		0.205922	1		
16	3	66	1	0.159292	9.03846	[0.81,100.98]	0.143049	1	0.1		0.99195	1		69	0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.504425	2.48077	[0.22,27.49]	0.349562	1	0.1		0.924917	1		111	2	0.2679	20.7523	[1.87,230.72]	0.0216431	1	0.1		0.999305	1		66	1	0.159292	9.03846	[0.81,100.98]	0.143049	1	0.1		0.99195	1		39	2	0.0941271	65.027	[5.77,733.25]	0.00279403	1	0.1		0.999971	1		80	2	0.193081	29.7949	[2.67,332.21]	0.0115094	1	0.1		0.999743	1		109	1	0.263073	5.24074	[0.47,58.27]	0.219294	1	0.1		0.978439	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	1	0.632341	1.87548	[0.17,20.76]	0.394415	1	0.1		0.885677	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
17	5	66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.277554	0	[0.00,0.00]	1	1	0.1		1	1		209	1	0.840708	1.23798	[0.14,11.13]	0.801161	1	0.1		0.403476	1		111	0	0.4465	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.156879	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.321802	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.438455	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.31778	0	[0.00,0.00]	1	1	0.1		1	1		262	1	1.0539	0.935824	[0.10,8.41]	0.715196	1	0.1		0.409666	1		71	0	0.285599	0	[0.00,0.00]	1	1	0.1		1	1		
18	5	66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.277554	0	[0.00,0.00]	1	1	0.1		1	1		209	2	0.840708	3.32045	[0.55,20.00]	0.162799	1	0.1		0.96396	1		111	0	0.4465	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.156879	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.321802	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.438455	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.31778	3.71795	[0.41,33.67]	0.245082	1	0.1		0.964815	1		262	3	1.0539	5.66988	[0.94,34.11]	0.0580701	1	0.1		0.991923	1		71	1	0.285599	4.17143	[0.46,37.82]	0.226389	1	0.1		0.971242	1		
19	37	66	2	1.9646	1.01964	[0.24,4.33]	0.686983	1	0.1		0.282462	1		69	0	2.0539	0	[0.00,0.00]	1	1	0.1		1	1		209	1	6.22124	0.13328	[0.02,0.98]	0.0086236	1	0.1		0.00763787	1		111	3	3.3041	0.897059	[0.27,2.97]	0.575621	1	0.1		0.233095	1		66	2	1.9646	1.01964	[0.24,4.33]	0.686983	1	0.1		0.282462	1		39	2	1.1609	1.80541	[0.42,7.79]	0.218335	1	0.1		0.893517	1		80	2	2.38134	0.826374	[0.20,3.50]	0.570005	1	0.1		0.272043	1		109	0	3.24457	0	[0.00,0.00]	1	1	0.1		1	1		79	1	2.35157	0.401709	[0.05,2.97]	0.304763	1	0.1		0.219902	1		262	5	7.79887	0.57697	[0.22,1.50]	0.174347	1	0.1		0.0923062	1		71	3	2.11344	1.47664	[0.44,4.93]	0.308772	1	0.1		0.734167	1		
20	5	66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.277554	0	[0.00,0.00]	1	1	0.1		1	1		209	2	0.840708	3.32045	[0.55,20.00]	0.162799	1	0.1		0.96396	1		111	2	0.4465	6.9052	[1.14,41.77]	0.060013	1	0.1		0.99393	1		66	0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.156879	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.321802	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.438455	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.31778	0	[0.00,0.00]	1	1	0.1		1	1		262	0	1.0539	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.285599	0	[0.00,0.00]	1	1	0.1		1	1		
