C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	7	26	0	0.14642	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.247788	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.163315	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.07321	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.14642	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.118262	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.213998	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.247788	0	[0.00,0.00]	1	1	0.1		1	1		103	1	0.580048	1.85294	[0.22,15.54]	0.346492	1	0.1		0.891459	1		11	0	0.0619469	0	[0.00,0.00]	1	1	0.1		1	1		
12	31	26	0	0.648431	0	[0.00,0.00]	1	1	0.1		1	1		44	2	1.09735	1.92118	[0.44,8.32]	0.207539	1	0.1		0.906652	1		29	0	0.72325	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.324216	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.648431	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0498793	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.523733	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.947707	1.05856	[0.14,7.97]	0.755731	1	0.1		0.378347	1		44	1	1.09735	0.906202	[0.12,6.80]	0.699112	1	0.1		0.376466	1		103	4	2.56879	1.66554	[0.57,4.86]	0.210844	1	0.1		0.82708	1		11	1	0.274336	4.00667	[0.50,32.31]	0.214636	1	0.1		0.971211	1		
13	193	26	3	4.03701	0.705034	[0.21,2.37]	0.407248	1	0.1		0.201793	1		44	9	6.83186	1.41848	[0.67,3.00]	0.263269	1	0.1		0.708148	1		29	5	4.50282	1.13697	[0.43,3.02]	0.506547	1	0.1		0.394299	1		13	2	2.0185	0.989053	[0.22,4.50]	0.672077	1	0.1		0.295413	1		26	3	4.03701	0.705034	[0.21,2.37]	0.407248	1	0.1		0.201793	1		2	1	0.310539	5.46354	[0.34,87.73]	0.262533	1	0.1		0.975997	1		21	3	3.26066	0.905263	[0.26,3.10]	0.584234	1	0.1		0.240657	1		38	5	5.90024	0.819632	[0.32,2.13]	0.44727	1	0.1		0.174807	1		44	8	6.83186	1.21802	[0.56,2.66]	0.437577	1	0.1		0.469702	1		103	20	15.9928	1.34689	[0.81,2.25]	0.153741	1	0.1		0.800091	1		11	1	1.70796	0.541667	[0.07,4.26]	0.471424	1	0.1		0.316419	1		
14	40	26	0	0.836685	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.41593	0.691711	[0.09,5.15]	0.581601	1	0.1		0.350554	1		29	0	0.933226	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.418343	2.54487	[0.32,20.06]	0.284779	1	0.1		0.937032	1		26	0	0.836685	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.675784	1.51667	[0.20,11.59]	0.355232	1	0.1		0.855516	1		38	2	1.22285	1.70614	[0.40,7.35]	0.22812	1	0.1		0.880139	1		44	0	1.41593	0	[0.00,0.00]	1	1	0.1		1	1		103	4	3.31456	1.23906	[0.43,3.55]	0.335323	1	0.1		0.627345	1		11	1	0.353982	3.05897	[0.38,24.49]	0.256986	1	0.1		0.953768	1		
15	43	26	3	0.899437	3.83804	[1.11,13.31]	0.0469451	1	0.1		0.989335	1		44	2	1.52212	1.34495	[0.31,5.75]	0.47003	1	0.1		0.60127	1		29	0	1.00322	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.449718	2.35714	[0.30,18.55]	0.29706	1	0.1		0.928378	1		26	3	0.899437	3.83804	[1.11,13.31]	0.0469451	1	0.1		0.989335	1		2	0	0.0691874	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.726468	1.40476	[0.18,10.72]	0.363128	1	0.1		0.837646	1		38	2	1.31456	1.57724	[0.37,6.78]	0.241068	1	0.1		0.859242	1		44	1	1.52212	0.640642	[0.09,4.76]	0.544423	1	0.1		0.337831	1		103	3	3.56315	0.825	[0.25,2.71]	0.515986	1	0.1		0.223647	1		11	0	0.380531	0	[0.00,0.00]	1	1	0.1		1	1		
16	3	26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.069992	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0313757	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.0506838	30.5	[2.66,350.22]	0.049064	1	0.1		0.999192	1		38	0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.248592	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0265487	0	[0.00,0.00]	1	1	0.1		1	1		
17	5	26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.116653	10.8036	[1.17,99.79]	0.106472	1	0.1		0.994966	1		13	0	0.0522928	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.084473	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.152856	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.41432	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0442478	0	[0.00,0.00]	1	1	0.1		1	1		
18	5	26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.116653	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0522928	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.084473	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.152856	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.41432	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0442478	0	[0.00,0.00]	1	1	0.1		1	1		
19	37	26	1	0.773934	1.31222	[0.17,9.95]	0.368276	1	0.1		0.820389	1		44	0	1.30973	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.863234	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.386967	2.76389	[0.35,21.83]	0.27145	1	0.1		0.945277	1		26	1	0.773934	1.31222	[0.17,9.95]	0.368276	1	0.1		0.820389	1		2	0	0.0595334	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.625101	1.64722	[0.22,12.61]	0.345509	1	0.1		0.872889	1		38	1	1.13113	0.877628	[0.12,6.58]	0.68638	1	0.1		0.374777	1		44	1	1.30973	0.751292	[0.10,5.61]	0.619933	1	0.1		0.361609	1		103	5	3.06597	1.76658	[0.67,4.64]	0.146075	1	0.1		0.882481	1		11	1	0.327434	3.32222	[0.41,26.65]	0.24373	1	0.1		0.959947	1		
20	5	26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.116653	10.8036	[1.17,99.79]	0.106472	1	0.1		0.994966	1		13	0	0.0522928	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.104586	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.084473	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.152856	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.176991	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.41432	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0442478	0	[0.00,0.00]	1	1	0.1		1	1		
