V1	V2	V3
AD	AD	0
AD	BI	0.0423311475427089
AD	AUT	0.0463859461289948
AD	SCH	0.0323650553778096
AD	ASD	0.0448623996942659
AD	Epi	0.0414617873542401
AD	ID	0.0462183750797888
AD	HTN	0.043361502095957
AD	HD	0.0543111349309817
AD	PD	0.0446123836466894
AD	FTD	0.0464455685340613
BI	BI	0
BI	AUT	0.0515391552074071
BI	SCH	0.0386811783554309
BI	ASD	0.0517604993023306
BI	Epi	0.0468286169936266
BI	ID	0.051154463436584
BI	HTN	0.0493782509474367
BI	HD	0.0634958238260544
BI	PD	0.0521716608225723
BI	FTD	0.0542784977963169
AUT	AUT	0
AUT	SCH	0.0399981364259869
AUT	ASD	0.0547624212794731
AUT	Epi	0.0499424944563182
AUT	ID	0.05650134273882
AUT	HTN	0.0520576664999893
AUT	HD	0.0676152834980708
AUT	PD	0.0538818289159638
AUT	FTD	0.0577989732959894
SCH	SCH	0
SCH	ASD	0.0412764523473362
SCH	Epi	0.0364471893916689
SCH	ID	0.0417914450721584
SCH	HTN	0.0373285815765394
SCH	HD	0.0504777027113039
SCH	PD	0.0403881920415796
SCH	FTD	0.0424132859954158
ASD	ASD	0
ASD	Epi	0.0497041255459508
ASD	ID	0.053115488702097
ASD	HTN	0.0542071332696988
ASD	HD	0.0662625697441526
ASD	PD	0.0568865244528976
ASD	FTD	0.0566102737336313
Epi	Epi	0
Epi	ID	0.0517245897247814
Epi	HTN	0.0489799817576359
Epi	HD	0.0600064815732886
Epi	PD	0.0506464340820394
Epi	FTD	0.0516689569748579
ID	ID	0
ID	HTN	0.0525296244409019
ID	HD	0.0653161217787342
ID	PD	0.053055183636512
ID	FTD	0.0597009453490793
HTN	HTN	0
HTN	HD	0.0627089021209157
HTN	PD	0.050290206484955
HTN	FTD	0.0552709533525299
HD	HD	0
HD	PD	0.0669451743527645
HD	FTD	0.0697564927339889
PD	PD	0
PD	FTD	0.0588167210538482
FTD	FTD	0
