alg	a	sd_a	b	sd_b	c	sd_c	d	sd_d
fc	-0.00477966332744046	0.0172024102431226	0.48502758175977	0.498805550946309	-0.734793088778663	0.472835528401344	0.709088936337715	2.79181585391246
lourvain	-0.00954905768255072	0.0153435572042083	1.34061851888409	1.02602457408993	-0.998546898998447	0.342063707327538	0.125586258958623	1.42717058164975
lec	-0.0217240988488942	0.0152812831232922	0.714511803635924	0.107469212799363	-0.840293126959984	0.178487678381729	2.21350647553818	0.429812525538805
infomap	-0.0199168191121111	0.0219659130439943	0.95088325273986	0.0275668449088999	-1.04121482260354	0.12239245481167	4.92053028332711	0.12378350404868
sgG1	-0.0113115511693171	0.0395767261207517	64.7165415533341	5475.71596472528	-0.395795964990278	0.234319246247644	-11.4096001814284	222.330338383831
sgG2	-0.0476882357489849	0.0277593868771063	3.09940360182674	2.28244780473445	-0.458313290661133	0.102162228240319	-1.1860966770035	2.61857413088219
sgG5	0.00268954396545424	0.0149539243948986	1.01293064911261	0.0251004945666581	-1.64644629812741	0.187581300404565	3.87422695212321	0.0783760716782099
wt	-0.152410273932166	0.0870425829019836	0.847269798046225	0.0466259915133456	-0.522235256094456	0.104179441939198	6.5261367279001	0.354142988955099
fc_2	0.00740199981592866	0.0197926775990694	1.2078578428041	0.183234092222127	-0.724104456779176	0.12908021872843	1.95382872812087	0.483223649150802
lourvain_2	0.00206294178538132	0.0140989354375206	0.890639357255203	0.0935910696933302	-1.00509413789802	0.172269017158878	2.1359016968643	0.276414695658351
sgG1_2	-0.120947815565212	0.121563042820262	34.9485796917213	1016.78441487544	-0.2295686036863	0.16387452320519	-15.3537837569909	140.170683908007
Geodesicdiff	-0.0264161208143367	0.0233103855956927	0.867149382024878	0.0635869068639442	-0.853216415801043	0.1503266052744	3.53814009097073	0.242518689624299
Spectral	-0.240226409423971	0.163821907877232	0.962780441512955	0.105744632047185	-0.382272601532128	0.112012686333784	6.25602041872313	0.564093292997529
Spectral_5	-0.00988931908651584	0.0126223350208017	22.5521866267924	3194.06517833401	-1.11874611550591	1.13959753490447	-3.83801218101749	131.812708658151
Spectral_2.5	-0.00360490992052324	0.0124992428964362	0.74130526612291	0.27227554691007	-1.24973438474601	0.409226587150287	0.89262686574559	0.662825526164171
Spectral_1.5	-0.00683372006714198	0.0136818957305218	0.935977270164797	0.0466435726611672	-1.68323549764012	0.253557348696697	2.39086934124985	0.110027799110008
Spectral_1.25	-0.0217454043966755	0.0125181488675787	0.904869324797683	0.0330490432141967	-1.72561295060943	0.220172707346812	2.77154222756418	0.0868657220908683
Spectral_1	0.00298109029256076	0.0149176300742601	0.95714837093639	0.0457798570155515	-1.29874773643173	0.178599348853481	2.87035583710463	0.128726068711903
Spectral_0.5	-0.0211919028409389	0.0202344145009297	1.23665035858757	0.158421330023331	-0.770894207581788	0.127947888709673	2.1336772708787	0.388444596660627
Spectral_5_2	0.0119340758617879	0.0118040180894319	0.412869826451741	0.0720353755547316	-2.65330302985724	1.22622071660968	1.28859277111651	0.229553631550536
Spectral_2.5_2	0.0175010975015875	0.011975656515539	0.988196140813944	0.205436529951629	-1.71498756938558	0.422437918973069	0.902333263476243	0.302446380224335
