entA,interaction,entB,directed
396,pp,6457,FALSE
25978,pp,509,FALSE
1956,pp,509,FALSE
56005,pp,7917,FALSE
25874,pp,6176,FALSE
8655,pp,8655,FALSE
1759,pp,5303,FALSE
10570,pp,6457,FALSE
2026,pp,374291,FALSE
23474,pp,84966,FALSE
2286,pp,7917,FALSE
55262,pp,55262,FALSE
11345,pp,23192,FALSE
3735,pp,5048,FALSE
293,pp,3735,FALSE
3857,pp,6457,FALSE
3897,pp,8682,FALSE
56267,pp,5877,FALSE
4140,pp,527,FALSE
4140,pp,55823,FALSE
4673,pp,4673,FALSE
4700,pp,7917,FALSE
3991,pp,55968,FALSE
5049,pp,7203,FALSE
5049,pp,92609,FALSE
79885,pp,9796,FALSE
4731,pp,9796,FALSE
10419,pp,9796,FALSE
5621,pp,7917,FALSE
10419,pp,29789,FALSE
5861,pp,6624,FALSE
11021,pp,874,FALSE
10542,pp,5877,FALSE
5217,pp,5909,FALSE
1400,pp,57142,FALSE
1743,pp,23256,FALSE
51155,pp,6421,FALSE
1314,pp,8402,FALSE
112476,pp,6616,FALSE
5303,pp,6709,FALSE
10273,pp,4354,FALSE
1639,pp,5223,FALSE
51412,pp,57017,FALSE
1759,pp,92609,FALSE
1785,pp,5479,FALSE
3309,pp,56896,FALSE
23136,pp,84966,FALSE
23474,pp,51606,FALSE
10236,pp,2193,FALSE
4673,pp,79187,FALSE
3039,pp,4673,FALSE
55229,pp,8682,FALSE
5127,pp,7917,FALSE
2632,pp,5226,FALSE
3178,pp,9796,FALSE
9796,pp,9796,FALSE
22924,pp,5861,FALSE
5713,pp,5861,FALSE
11021,pp,3420,FALSE
11021,pp,5802,FALSE
4747,pp,5901,FALSE
23558,pp,55964,FALSE
10382,pp,57662,FALSE
3688,pp,3688,FALSE
2534,pp,2534,FALSE
613,pp,9414,FALSE
1072,pp,60,FALSE
11235,pp,8428,FALSE
23265,pp,9146,FALSE
2947,pp,2947,FALSE
56474,pp,56474,FALSE
26060,pp,55198,FALSE
1073,pp,60,FALSE
3983,pp,7431,FALSE
60491,pp,7431,FALSE
60,pp,60,FALSE
5049,pp,5050,FALSE
1073,pp,71,FALSE
10313,pp,5780,FALSE
10152,pp,7414,FALSE
327,pp,327,FALSE
80318,pp,9146,FALSE
5704,pp,5705,FALSE
3190,pp,3190,FALSE
1072,pp,71,FALSE
71,pp,71,FALSE
60491,pp,60491,FALSE
10458,pp,51517,FALSE
11034,pp,60,FALSE
3735,pp,7965,FALSE
11135,pp,998,FALSE
23265,pp,84816,FALSE
149371,pp,9146,FALSE
2670,pp,7431,FALSE
5372,pp,5870,FALSE
5050,pp,5050,FALSE
84245,pp,84245,FALSE
11345,pp,23786,FALSE
327,pp,79876,FALSE
10313,pp,57142,FALSE
23157,pp,4735,FALSE
29979,pp,29979,FALSE
60,pp,71,FALSE
10982,pp,60491,FALSE
11345,pp,79876,FALSE
5050,pp,91782,FALSE
5682,pp,7431,FALSE
10982,pp,10982,FALSE
57142,pp,8775,FALSE
1398,pp,5706,FALSE
55577,pp,55577,FALSE
140885,pp,23321,FALSE
6652,pp,6652,FALSE
7360,pp,7360,FALSE
11034,pp,71,FALSE
443,pp,443,FALSE
5631,pp,5631,FALSE
10016,pp,10016,FALSE
10982,pp,22924,FALSE
29979,pp,6782,FALSE
27316,pp,3190,FALSE
2752,pp,2752,FALSE
3190,pp,9444,FALSE
29979,pp,9146,FALSE
10313,pp,10313,FALSE
5700,pp,5708,FALSE
5701,pp,5711,FALSE
216,pp,216,FALSE
8027,pp,9146,FALSE
387,pp,392,FALSE
4830,pp,4830,FALSE
3612,pp,3612,FALSE
6717,pp,6717,FALSE
1173,pp,163,FALSE
1956,pp,2885,FALSE
1956,pp,7094,FALSE
1956,pp,53358,FALSE
1956,pp,5921,FALSE
1956,pp,5781,FALSE
1956,pp,5335,FALSE
1956,pp,8650,FALSE
1956,pp,9479,FALSE
1398,pp,1956,FALSE
1956,pp,26060,FALSE
1956,pp,9253,FALSE
5566,pp,7534,FALSE
7163,pp,7163,FALSE
7163,pp,7164,FALSE
7163,pp,7165,FALSE
7164,pp,7164,FALSE
7164,pp,7165,FALSE
7165,pp,7165,FALSE
6093,pp,6093,FALSE
2697,pp,7082,FALSE
1973,pp,1982,FALSE
114569,pp,7163,FALSE
1742,pp,2904,FALSE
1742,pp,2903,FALSE
1742,pp,2902,FALSE
1742,pp,3739,FALSE
5094,pp,9444,FALSE
11047,pp,29979,FALSE
1155,pp,7874,FALSE
3420,pp,6311,FALSE
29979,pp,80318,FALSE
9444,pp,9491,FALSE
6311,pp,87,FALSE
26128,pp,6311,FALSE
6311,pp,7917,FALSE
5093,pp,5094,FALSE
5093,pp,7360,FALSE
3190,pp,5093,FALSE
5093,pp,9444,FALSE
5621,pp,5684,FALSE
5576,pp,9590,FALSE
6285,pp,6285,FALSE
5413,pp,55752,FALSE
23176,pp,5413,FALSE
1956,pp,1956,FALSE
6513,pp,6513,FALSE
2534,pp,5062,FALSE
2885,pp,5062,FALSE
5062,pp,8874,FALSE
10580,pp,5062,FALSE
4905,pp,9568,FALSE
5527,pp,5594,FALSE
5621,pp,5621,FALSE
351,pp,5621,FALSE
1499,pp,2010,FALSE
6622,pp,6622,FALSE
10492,pp,3184,FALSE
3184,pp,3184,FALSE
387,pp,396,FALSE
7334,pp,7336,FALSE
396,pp,5879,FALSE
5160,pp,5162,FALSE
387,pp,6093,FALSE
5868,pp,9135,FALSE
11315,pp,11315,FALSE
5605,pp,5605,FALSE
506,pp,64756,FALSE
9131,pp,9131,FALSE
1739,pp,491,FALSE
491,pp,9351,FALSE
6993,pp,6993,FALSE
6708,pp,6711,FALSE
6708,pp,6710,FALSE
6709,pp,6710,FALSE
6709,pp,6711,FALSE
2932,pp,4137,FALSE
1020,pp,4137,FALSE
1509,pp,3039,FALSE
1509,pp,351,FALSE
10987,pp,7345,FALSE
3984,pp,5062,FALSE
5062,pp,5062,FALSE
6857,pp,785,FALSE
4130,pp,785,FALSE
1457,pp,6711,FALSE
5499,pp,9212,FALSE
4155,pp,5594,FALSE
53616,pp,7529,FALSE
10971,pp,53616,FALSE
2534,pp,9743,FALSE
10484,pp,5129,FALSE
10484,pp,5127,FALSE
10015,pp,6456,FALSE
10015,pp,6455,FALSE
10049,pp,3312,FALSE
5518,pp,5527,FALSE
5515,pp,5518,FALSE
7001,pp,7295,FALSE
5052,pp,7295,FALSE
1499,pp,81,FALSE
26060,pp,26060,FALSE
26060,pp,5868,FALSE
22941,pp,5335,FALSE
5335,pp,85358,FALSE
1398,pp,23114,FALSE
1398,pp,8506,FALSE
1398,pp,1795,FALSE
1398,pp,18,FALSE
10236,pp,1398,FALSE
1398,pp,2316,FALSE
1398,pp,9826,FALSE
1398,pp,1785,FALSE
1398,pp,8724,FALSE
1398,pp,2550,FALSE
1398,pp,58512,FALSE
1398,pp,85358,FALSE
1398,pp,6000,FALSE
