#communities 
1000	1
10006	1
10015	1
100287171	60
10053	13
10056	99
10058	49
10059	20
10067	13
10072	1
10092	2
10093	2
10094	2
10096	2
10097	2
10102	1
10109	2
10120	1
10121	1
1012	100
10128	1
10130	51
10131	1
10134	1
10188	8
1020	1
1021	1
10211	20
10213	65
10228	15
10236	1
10239	7
10240	51
10243	57
10247	101
10254	67
10294	1
10313	16
10314	91
10342	1
10369	40
10376	1
10380	102
10381	1
10382	51
10383	1
103910	2
10396	103
10399	1
10409	2
10426	1
10434	104
10439	1
10449	105
10452	56
10455	106
10458	1
10469	31
10476	1
10486	2
10487	2
10492	1
10493	107
10497	108
10498	1
10514	1
10525	1
10540	1
10549	1
10550	26
10552	2
10570	6
10574	17
10575	17
10576	17
10612	8
10632	1
10651	20
10652	15
10656	1
10657	8
10672	1
10681	22
10693	17
1072	2
10724	1
10726	1
10728	1
10768	109
10776	1
10787	1
10801	66
10808	1
10814	55
10815	55
10844	1
10857	1
10890	13
10900	75
10908	13
10910	1
10920	1
10935	1
10938	8
10947	110
10953	1
10961	111
10963	1
10971	1
10972	1
10982	9
10989	20
11004	1
11021	1
11031	5
11034	2
11069	33
11075	112
11076	1
11091	1
11099	113
111	114
11113	58
11130	1
11140	1
1114	1
11151	77
11159	53
11165	1
11214	1
11228	1
11234	80
112401	50
112476	48
112755	55
1129	6
11311	15
11315	1
113246	115
11331	20
11332	61
11333	51
11343	116
11345	1
113457	1
11346	2
114294	17
114569	7
114876	117
114971	9
1152	2
115704	13
1159	1
115992	11
116143	2
116841	15
116986	118
1173	8
1175	8
118	2
1182	119
1185	120
1186	121
118881	61
1191	1
119	90
120	2
1211	8
1212	8
1213	8
121457	1
125	1
126003	25
126328	48
1267	2
1271	8
1272	10
127281	122
127829	71
127833	123
128	1
1314	1
1315	1
1327	1
1329	20
133121	55
1337	124
1340	20
1345	20
1347	125
134957	15
135114	126
136319	1
1376	127
1397	70
1398	8
1399	1
1400	1
1404	128
140606	129
140735	8
140885	130
1410	1
1431	1
143187	15
144501	131
1459	1
1460	1
1462	132
146330	133
1463	10
1465	1
146691	49
146705	13
1471	62
1476	62
148252	134
1487	1
149371	46
1496	1
1499	1
1500	1
150	6
1501	135
1503	1
1508	136
1509	43
152789	6
1528	47
153364	137
1537	41
1540	1
156	1
1565	47
1576	32
157922	2
158358	138
160	8
161	8
16	1
1620	1
1622	17
162	8
1627	2
163	8
1632	139
1639	1
1641	1
164592	140
1650	1
1653	1
166614	1
1666	1
1678	67
1727	43
1737	30
1738	30
1739	42
1740	42
1741	42
1742	42
1743	30
1759	8
1767	141
1778	1
1780	1
1781	1
1783	1
1785	8
1786	1
1803	142
1804	143
1808	79
1828	1
1832	1
1891	88
1892	1
1901	144
1915	1
1917	1
192111	17
19	11
1936	1
1937	1
1938	1
1968	1
1974	1
1984	1
2011	1
201475	145
2023	1
202333	65
202559	1
2026	1
2029	33
203068	1
203	1
2036	34
2047	1
205	146
2054	55
2081	1
2098	8
2108	21
2109	21
2110	147
213	3
2171	52
217	12
2181	29
2194	1
219	148
221692	2
221955	149
2	1
2232	85
223	150
22	151
224	1
225689	1
2257	89
226	9
2266	12
2271	1
2272	85
2273	1
2280	34
22808	152
22832	1
22839	8
22848	8
22852	153
22859	154
22866	28
22872	44
22884	17
22895	90
22902	17
22908	1
22919	2
22924	9
229	9
22931	17
22933	20
22941	8
22948	17
22987	155
22999	13
23011	156
23025	23
23036	3
230	68
23085	2
23095	1
23114	8
23122	1
2312	39
23136	1
23154	1
23157	66
23168	1
23176	66
23191	1
2319	20
23205	1
23207	157
23230	8
23236	27
23265	42
23281	9
23285	29
23	1
23322	1
23325	60
23331	1
23335	73
23347	1
23396	8
23406	2
23408	21
23499	29
23513	1
23526	8
23530	1
23564	34
23576	34
23603	2
23623	1
23647	7
23673	15
23770	65
23788	40
2395	82
25	8
2550	6
2554	1
2555	158
2561	159
2562	18
2571	7
257194	98
257218	14
2572	7
25813	56
25824	37
25828	9
25843	17
25851	160
25874	20
25879	161
25885	2
25921	2
259217	63
259266	1
259282	38
25932	162
2596	83
2597	1
25977	13
25979	163
26034	164
26052	8
26059	23
26071	61
26086	22
26135	1
26153	17
2617	1
26227	1
26275	57
2631	1
26355	1
26517	1
26521	1
2653	165
2664	13
2665	13
2670	8
2697	1
26985	1
26986	1
26993	1
27044	51
27063	44
27089	64
27095	25
271	1
27130	166
27154	24
27165	167
27229	1
273	8
27347	1
274	8
27430	168
2744	21
27445	23
2745	39
2746	50
2747	50
2752	1
2764	169
2767	27
2768	1
2770	22
2771	22
2773	22
2775	22
2776	3
2781	20
2782	22
2783	22
2784	22
2785	22
2786	22
2788	22
2799	1
2801	1
2805	170
2806	1
2812	31
2821	2
2823	31
286887	8
2869	1
287	171
2879	93
2885	8
2890	40
2891	40
28952	80
2895	172
2896	3
28964	94
28976	48
28985	173
28988	174
2902	42
2904	42
29066	175
2906	42
29078	48
2912	176
2915	2
291	1
2923	4
292	1
2931	1
2932	1
2934	2
293	1
2938	86
2940	86
2950	36
2954	2
29767	2
29789	1
29796	41
29920	30
29922	1
29924	8
29966	17
29979	61
29993	8
3006	1
3007	51
3008	51
3021	51
302	2
3028	30
3029	177
3030	1
3032	1
3033	1
3039	43
3040	43
3045	51
3047	1
3064	1
308	1
30845	15
30849	1
3094	178
309	1
30968	20
3098	1
3107	74
3146	1
3155	57
3156	26
3161	1
3184	1
3190	1
319101	8
322	1
3251	1
3265	1
326624	7
3295	1
3301	1
3303	1
3304	1
3305	51
3306	1
3308	1
3309	1
3310	1
3312	1
3313	1
3320	1
3326	1
3329	1
3336	1
3337	1
3339	3
338	1
338785	8
3418	179
3419	59
3420	180
347733	17
348	3
351	1
3556	49
3612	181
361	182
3631	183
3692	1
3708	34
3710	2
3728	1
373156	1
3737	16
37	57
374291	48
374454	8
3746	42
375	7
375686	184
376267	185
3766	1
377	7
3778	3
378	1
3791	1
3796	1
3798	1
3799	1
3800	1
381	7
382	1
3831	1
3837	1
38	97
3845	1
3848	8
3849	8
3852	8
3853	8
3854	8
3856	8
3858	8
3860	8
3866	8
3868	8
3872	8
387	1
3880	8
388	58
3897	4
3916	20
3920	1
3921	51
392	8
3925	1
3927	1
3939	1
39	97
3945	1
3954	92
3959	1
396	58
4000	1
4018	186
4043	187
4045	98
4047	13
4048	2
4082	1
4099	1
4130	42
4131	1
4133	2
4134	1
4137	1
4140	1
4147	188
4155	1
4191	1
4218	13
4259	189
4282	8
4299	37
4301	1
43	1
4355	11
448834	52
4509	1
4513	190
4522	1
4625	37
4627	2
4628	1
4637	2
4644	8
4645	13
4649	64
4656	1
4676	1
4684	1
4695	48
4697	1
4698	48
4700	48
4702	48
4704	48
4705	48
4706	21
4710	48
4711	48
4712	48
4713	48
4714	48
471	1
4715	48
4716	48
4718	48
4719	48
4720	48
4722	48
4723	48
4724	48
4725	48
4726	48
4728	48
4729	48
4731	48
4735	66
4736	51
4738	1
4741	3
4744	52
4747	1
47	1
4763	1
476	1
477	73
478	191
479	26
4796	1
480	192
481	70
4830	8
4831	1
483	26
4860	1
4884	193
488	20
4900	194
490	20
4905	15
4915	8
491	42
492	195
493	42
4942	1
495	13
4967	30
4976	1
4978	196
498	1
501	1
5034	1
5037	1
5048	1
50488	33
5049	1
5050	1
5052	1
5058	8
5063	8
506	1
50807	8
50863	197
5091	198
50944	8
509	1
5095	76
5096	76
51024	84
51025	31
51056	1
51067	199
51079	48
51081	51
51097	1
51100	36
5110	1
51112	25
51127	14
51138	1
51143	1
51144	1
51164	1
51209	200
51255	14
51263	51
51283	14
51350	8
51382	1
513	201
51400	1
51466	1
51495	20
51547	1
51552	13
51569	58
515	1
5160	30
51606	68
5162	30
51633	18
5163	30
5164	30
51660	202
51663	1
51699	20
51706	61
51726	1
51727	1
51747	8
51761	203
51762	1
51807	51
5187	54
5202	1
5205	204
5211	1
5213	1
5214	1
5217	1
5223	1
522	46
5226	1
5230	1
523	20
5236	8
5245	20
5250	1
52	1
525	20
526	20
527	1
528	20
5286	8
5289	1
529	68
5306	19
5315	1
5333	83
5339	2
5354	4
535	20
5357	18
537	43
53822	3
53826	205
53904	206
53916	207
539	1
54106	49
5413	66
5414	66
54205	32
5426	87
54331	22
54413	81
54472	49
54539	48
54550	9
54734	1
54737	1
5478	1
5479	1
5481	1
548596	1
54927	20
54940	91
5499	2
5500	2
5501	2
55082	51
55083	11
55117	208
5515	17
55161	1
5516	17
55170	54
55177	1
5518	17
55187	209
5519	17
5520	17
55207	20
55210	1
55245	210
55275	15
55296	2
5530	1
55326	61
55327	11
5532	1
5534	1
55364	29
5536	1
5538	1
55423	211
55466	1
55611	1
5566	18
5567	18
55689	54
55690	15
55697	1
5573	1
55735	20
55738	3
55739	1
55752	66
55754	212
55755	1
5575	18
5576	18
55770	46
5577	18
5578	1
5579	1
5581	1
5582	1
55832	1
55917	17
5594	1
5595	1
55964	66
55967	48
55968	17
55970	22
5601	1
5602	17
5604	1
5621	1
5631	18
5645	213
5660	43
56683	39
5682	65
5683	65
5684	1
56850	214
5685	65
5686	65
5687	65
5689	65
56899	1
56904	36
5690	65
5691	65
5692	65
5693	65
5694	65
56993	56
5700	65
5701	65
5702	65
5704	65
5705	65
5707	65
5708	1
5709	65
57109	51
57142	16
57144	8
5714	65
57175	2
5717	65
57180	2
57448	1
57460	215
5746	216
57482	2
57486	1
57510	1
57524	217
57555	81
5756	2
5780	29
5781	1
5792	94
5799	218
5802	1
5803	10
5813	51
5814	51
58155	1
5832	1
5834	69
5836	69
5837	1
58512	8
5860	1
5861	13
5862	20
5864	13
5865	13
58	2
5867	45
5868	13
5869	29
5870	2
5872	77
5875	5
5878	20
5879	8
5898	46
5901	1
5906	1
5908	1
5912	75
5924	219
5930	1
5955	1
59	1
60	2
60684	25
6122	51
6124	51
6125	51
6128	51
6129	51
6130	8
6132	51
6133	1
6134	51
6136	51
6137	51
6138	51
6141	51
6142	51
6143	51
6146	51
6152	51
6156	51
6160	51
6175	51
6176	1
617	92
6181	51
6184	1
6185	1
6187	51
6188	51
6189	51
6191	51
6194	51
6201	51
6202	51
6203	51
6204	51
6206	51
6207	51
6208	51
6217	51
6222	51
6223	51
6228	51
6230	51
6231	51
6237	8
6285	220
629	221
6301	222
6327	46
6331	89
6342	19
63893	1
6389	82
63908	15
6405	1
64377	95
64423	2
6449	1
6453	8
645455	18
6455	6
6456	6
6457	6
64837	1
6487	51
6494	2
6500	1
6513	4
6520	1
6529	223
6531	8
6548	78
6566	1
6576	1
6612	1
6616	55
6620	1
6622	1
6624	1
6645	11
6647	1
6648	45
6697	1
670	96
6708	1
6709	2
6711	2
6712	2
6714	8
6720	1
6742	1
6748	1
675	53
6767	1
6801	17
6804	55
6812	1
682	1
6843	55
6844	55
6845	15
6853	8
6854	8
6855	72
6857	35
6861	35
6923	1
6950	17
7001	1
70	224
7086	1
708	1
7102	225
7153	1
7155	1
7165	36
7167	1
7168	2
7170	2
71	2
7178	1
7184	1
7203	17
7251	1
7267	1
7277	1
7278	1
7280	1
7283	1
7284	1
7295	1
729873	1
7316	1
7317	1
7323	14
7334	14
7343	1
7345	1
7381	41
7384	1
7385	1
7386	48
7402	1
7415	51
7416	1
7417	20
7430	1
7529	1
7531	1
7532	1
7533	1
7534	1
762	226
773	1
775	8
7781	227
7846	1
7879	20
7905	29
79165	9
79594	20
79659	228
79751	229
79869	1
79871	1
80007	20
80086	8
801	1
80184	1
80273	230
80342	17
8050	30
8065	1
811	4
8140	1
81488	64
81555	20
81565	1
815	1
816	1
817	1
81	2
81873	2
81876	13
818	1
821	4
824	20
8266	51
826	20
8289	1
829	1
8301	8
830	2
832	2
83658	1
83851	231
83872	232
8396	1
8402	1
8417	15
8428	17
84303	20
8447	233
84617	1
8470	2
8473	1
84790	1
84833	1
8495	1
8499	94
8508	17
8514	234
8522	1
85358	8
8537	235
85379	1
8541	94
8546	7
8573	11
8574	38
8604	18
8613	1
8615	1
8623	236
8655	1
8659	237
8671	238
8674	15
8675	15
875	1
8766	13
8773	15
8774	15
8777	11
8780	1
87	2
8848	1
8996	239
8997	1
90550	20
90799	9
908	17
9093	1
9098	8
9114	20
9126	1
9131	1
9172	44
9181	1
9217	1
92840	29
928	51
93185	51
9342	15
9349	51
9352	65
9361	1
9368	27
9377	1
9454	65
9475	1
9522	55
9559	20
9588	93
9648	240
9659	1
9662	2
975	51
9782	1
9796	48
988	1
989	66
9927	14
