key list
1 0 1
2 18 2
3 37 3
4 38 4
5 47 5
6 48 6
7 60 7
8 71 7
9 81 8
10 87 8
11 98 9
12 118 10
13 119 11
14 120 10
15 128 12
16 160 13
17 161 6
18 162 14
19 163 6
20 164 6
21 178 15
22 213 16
23 214 17
24 216 18
25 217 18
26 226 4
27 230 4
28 273 2
29 274 15
30 286 19
31 287 13
32 288 9
33 293 18
34 302 4
35 309 20
36 310 21
37 311 18
38 321 22
39 327 23
40 347 24
41 348 8
42 351 22
43 361 14
44 375 25
45 382 6
46 387 25
47 388 26
48 391 25
49 392 25
50 396 25
51 408 27
52 427 28
53 471 29
54 476 8
55 477 30
56 479 31
57 481 12
58 483 32
59 488 33
60 490 33
61 491 33
62 492 34
63 493 35
64 498 4
65 501 8
66 506 4
67 509 36
68 523 21
69 527 3
70 529 4
71 534 4
72 535 37
73 537 38
74 539 4
75 547 3
76 613 2
77 644 8
78 663 25
79 667 30
80 682 11
81 738 21
82 760 18
83 785 13
84 811 22
85 813 39
86 814 8
87 815 8
88 816 8
89 817 8
90 818 8
91 821 40
92 822 34
93 829 7
94 832 7
95 833 18
96 847 22
97 873 29
98 874 9
99 883 5
100 950 13
101 966 29
102 989 11
103 997 28
104 998 25
105 1020 8
106 1072 7
107 1073 7
108 1113 8
109 1152 5
110 1155 8
111 1159 35
112 1173 14
113 1191 22
114 1211 6
115 1213 6
116 1267 41
117 1272 41
118 1312 13
119 1327 9
120 1329 35
121 1374 42
122 1384 43
123 1397 3
124 1398 2
125 1399 2
126 1400 18
127 1410 22
128 1428 8
129 1431 18
130 1445 44
131 1453 8
132 1457 45
133 1459 45
134 1465 29
135 1499 8
136 1500 29
137 1501 33
138 1508 31
139 1509 8
140 1537 46
141 1605 47
142 1627 21
143 1639 48
144 1646 12
145 1654 45
146 1728 47
147 1737 4
148 1738 4
149 1739 33
150 1740 2
151 1741 2
152 1742 2
153 1743 38
154 1759 2
155 1762 43
156 1778 18
157 1781 48
158 1783 10
159 1785 2
160 1795 2
161 1808 18
162 1809 18
163 1845 8
164 1854 26
165 1891 18
166 1915 18
167 1917 45
168 1933 18
169 1936 18
170 1937 18
171 1938 44
172 1956 29
173 1962 30
174 1973 19
175 1974 19
176 1982 19
177 1983 19
178 2010 17
179 2011 8
180 2017 2
181 2023 47
182 2026 18
183 2036 25
184 2037 8
185 2039 10
186 2043 8
187 2048 2
188 2051 39
189 2058 34
190 2098 2
191 2109 10
192 2170 47
193 2185 8
194 2193 43
195 2235 5
196 2271 2
197 2273 21
198 2280 8
199 2286 31
200 2288 8
201 2314 38
202 2316 8
203 2319 35
204 2475 8
205 2512 9
206 2521 44
207 2534 2
208 2539 2
209 2549 2
210 2550 2
211 2554 31
212 2571 8
213 2597 12
214 2617 27
215 2631 49
216 2664 43
217 2665 19
218 2670 8
219 2697 32
220 2744 18
221 2745 12
222 2746 4
223 2752 4
224 2769 43
225 2770 43
226 2771 43
227 2773 43
228 2775 2
229 2776 27
230 2778 27
231 2781 43
232 2782 43
233 2783 43
234 2785 43
235 2794 43
236 2805 29
237 2806 12
238 2824 13
239 2861 50
240 2885 2
241 2890 41
242 2902 8
243 2903 2
244 2904 2
245 2912 13
246 2913 8
247 2915 8
248 2923 18
249 2931 8
250 2932 21
251 2934 29
252 2935 44
253 2944 51
254 2946 51
255 2947 51
256 2949 51
257 2977 33
258 2982 27
259 2983 27
260 2987 44
261 3006 2
262 3028 4
263 3030 4
264 3032 4
265 3033 2
266 3039 38
267 3043 38
268 3045 38
269 3064 2
270 3069 19
271 3094 8
272 3098 18
273 3151 34
274 3178 44
275 3181 44
276 3184 44
277 3187 44
278 3188 44
279 3190 44
280 3208 9
281 3251 9
282 3267 48
283 3268 6
284 3295 44
285 3300 43
286 3306 43
287 3308 47
288 3309 42
289 3312 47
290 3313 7
291 3315 19
292 3320 8
293 3326 8
294 3329 18
295 3336 18
296 3337 32
297 3382 48
298 3420 18
299 3476 5
300 3612 9
301 3628 52
302 3685 8
303 3688 47
304 3708 18
305 3735 18
306 3739 33
307 3785 31
308 3796 48
309 3799 23
310 3800 45
311 3831 19
312 3837 25
313 3840 25
314 3857 17
315 3895 25
316 3897 32
317 3925 11
318 3927 2
319 3939 37
320 3945 37
321 3956 17
322 3958 17
323 3959 8
324 3983 18
325 3984 8
326 3991 53
327 3996 11
328 4035 22
329 4054 25
330 4082 8
331 4130 26
332 4131 44
333 4133 31
334 4134 25
335 4137 8
336 4139 8
337 4140 11
338 4155 8
339 4172 45
