#communities 
1000	143
10005	NA
10006	6
10007	NA
10014	1
10015	37
10016	233
10021	372
1002	NA
10026	432
100271715	NA
100287932	NA
1004	NA
10043	311
10044	NA
10048	85
10049	1
1005	NA
10055	520
10056	503
10058	NA
10059	263
10061	462
1006	NA
10067	449
1007	NA
10072	NA
10075	2
10076	NA
10079	NA
1008	NA
10082	NA
1009	NA
10092	137
10093	137
10094	137
10096	137
10097	3
10100	NA
10102	NA
10105	NA
10109	137
10111	466
10113	NA
10120	236
1012	NA
10121	407
10125	NA
10127	NA
10128	200
10129	NA
10130	89
10131	375
1013	388
10133	31
10135	NA
10142	112
10146	44
10147	NA
10152	26
10154	NA
10155	29
10156	NA
10159	49
10160	NA
10163	472
10165	451
10178	NA
10188	250
10189	153
1020	108
10207	97
10209	NA
10211	20
10213	17
102	NA
10228	43
10235	NA
10236	503
10238	30
10239	NA
10240	100
10242	370
10243	356
10247	434
10250	32
1025	52
10270	NA
10273	11
10276	438
10287	78
10290	NA
10294	NA
10295	278
10296	85
10297	NA
103	505
10313	442
10314	376
10319	294
10320	192
10328	247
10330	NA
10347	NA
10367	NA
10368	NA
10369	45
10376	2
10381	2
10382	41
10383	2
103910	NA
10391	NA
10395	235
10396	NA
10397	75
10398	NA
10399	40
10409	3
10411	NA
104	371
10419	60
10423	373
10424	NA
10426	36
10427	230
10428	NA
10432	440
10434	NA
10439	NA
10440	458
10447	NA
10449	NA
10452	167
10455	343
10456	10
10458	99
10460	130
10463	NA
10466	379
10469	458
10471	421
10476	NA
10479	NA
10482	1
10484	230
10486	528
10487	528
10490	43
10492	1
10493	NA
10497	515
10498	60
10499	246
10507	NA
10514	8
10517	NA
10521	1
10525	355
10527	NA
10528	8
10529	350
10531	NA
10534	183
10536	NA
10539	27
10540	23
10541	NA
10549	280
10550	314
10552	137
10554	NA
10564	399
10565	202
10570	463
10574	24
10575	24
10576	70
10579	NA
10580	321
10587	NA
10592	413
10594	32
10598	29
10605	188
10606	NA
10611	485
10612	NA
10613	149
10615	223
10617	42
10620	NA
1062	464
10627	265
1063	464
10632	NA
10634	415
10636	NA
10640	143
10645	383
10651	337
10652	NA
10654	511
10657	6
10658	NA
10659	NA
10664	159
10672	56
10675	NA
10681	238
10690	NA
1069	208
10693	163
10694	70
1072	3
10724	435
10726	7
10728	11
10730	165
