C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	58	26	0	1.21319	0	[0.00,0.00]	1	1	0.1		1	1		44	1	2.0531	0.465932	[0.06,3.44]	0.380306	1	0.1		0.262735	1		29	1	1.35318	0.724937	[0.10,5.42]	0.603876	1	0.1		0.357774	1		13	0	0.606597	0	[0.00,0.00]	1	1	0.1		1	1		26	0	1.21319	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0933226	0	[0.00,0.00]	1	1	0.1		1	1		21	3	0.979887	3.53636	[1.01,12.37]	0.0564686	1	0.1		0.985905	1		38	3	1.77313	1.79221	[0.53,6.01]	0.321018	1	0.1		0.745196	1		44	2	2.0531	0.971939	[0.23,4.12]	0.662005	1	0.1		0.281698	1		103	3	4.80611	0.591818	[0.18,1.93]	0.275076	1	0.1		0.150397	1		11	0	0.513274	0	[0.00,0.00]	1	1	0.1		1	1		
12	40	26	1	0.836685	1.20821	[0.16,9.15]	0.373866	1	0.1		0.797341	1		44	1	1.41593	0.691711	[0.09,5.15]	0.581601	1	0.1		0.350554	1		29	2	0.933226	2.2924	[0.53,9.99]	0.175572	1	0.1		0.936771	1		13	0	0.418343	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.836685	1.20821	[0.16,9.15]	0.373866	1	0.1		0.797341	1		2	0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.675784	3.27978	[0.74,14.59]	0.11701	1	0.1		0.972527	1		38	2	1.22285	1.70614	[0.40,7.35]	0.22812	1	0.1		0.880139	1		44	0	1.41593	0	[0.00,0.00]	1	1	0.1		1	1		103	2	3.31456	0.574257	[0.14,2.42]	0.34097	1	0.1		0.200323	1		11	1	0.353982	3.05897	[0.38,24.49]	0.256986	1	0.1		0.953768	1		
13	35	26	3	0.7321	4.83016	[1.38,16.92]	0.0290492	1	0.1		0.994926	1		44	1	1.23894	0.796854	[0.11,5.96]	0.646022	1	0.1		0.367791	1		29	1	0.816573	1.2395	[0.16,9.38]	0.372124	1	0.1		0.804741	1		13	1	0.36605	2.93137	[0.37,23.19]	0.261957	1	0.1		0.950531	1		26	3	0.7321	4.83016	[1.38,16.92]	0.0290492	1	0.1		0.994926	1		2	0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.591311	0	[0.00,0.00]	1	1	0.1		1	1		38	1	1.06999	0.930843	[0.12,6.98]	0.709467	1	0.1		0.377286	1		44	2	1.23894	1.68254	[0.39,7.25]	0.230579	1	0.1		0.876601	1		103	2	2.90024	0.664266	[0.16,2.81]	0.434051	1	0.1		0.236634	1		11	0	0.309735	0	[0.00,0.00]	1	1	0.1		1	1		
14	75	26	2	1.56879	1.30594	[0.30,5.63]	0.463814	1	0.1		0.601439	1		44	1	2.65487	0.353551	[0.05,2.60]	0.241973	1	0.1		0.180455	1		29	4	1.7498	2.57577	[0.87,7.60]	0.0657131	1	0.1		0.97345	1		13	1	0.784393	1.3018	[0.17,10.15]	0.374039	1	0.1		0.817515	1		26	2	1.56879	1.30594	[0.30,5.63]	0.463814	1	0.1		0.601439	1		2	1	0.120676	15.7703	[0.98,254.66]	0.113486	1	0.1		0.996405	1		21	1	1.2671	0.775676	[0.10,5.86]	0.63496	1	0.1		0.367265	1		38	1	2.29284	0.413075	[0.06,3.05]	0.318675	1	0.1		0.228139	1		44	5	2.65487	2.06777	[0.79,5.41]	0.137626	1	0.1		0.894036	1		103	7	6.2148	1.14951	[0.51,2.57]	0.390263	1	0.1		0.485979	1		11	0	0.663717	0	[0.00,0.00]	1	1	0.1		1	1		
15	35	26	0	0.7321	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.23894	0.796854	[0.11,5.96]	0.646022	1	0.1		0.367791	1		29	1	0.816573	1.2395	[0.16,9.38]	0.372124	1	0.1		0.804741	1		13	0	0.36605	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.7321	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0563154	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.591311	1.74706	[0.23,13.40]	0.337935	1	0.1		0.884148	1		38	0	1.06999	0	[0.00,0.00]	1	1	0.1		1	1		44	3	1.23894	2.66845	[0.78,9.07]	0.0912832	1	0.1		0.967884	1		103	2	2.90024	0.664266	[0.16,2.81]	0.434051	1	0.1		0.236634	1		11	0	0.309735	0	[0.00,0.00]	1	1	0.1		1	1		
16	49	26	1	1.02494	0.974167	[0.13,7.34]	0.726517	1	0.1		0.378872	1		44	3	1.73451	1.83404	[0.55,6.14]	0.158038	1	0.1		0.909124	1		29	1	1.1432	0.86756	[0.12,6.51]	0.681784	1	0.1		0.374494	1		13	0	0.51247	0	[0.00,0.00]	1	1	0.1		1	1		26	1	1.02494	0.974167	[0.13,7.34]	0.726517	1	0.1		0.378872	1		2	0	0.0788415	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.827836	0	[0.00,0.00]	1	1	0.1		1	1		38	4	1.49799	3.03268	[1.03,8.91]	0.0441392	1	0.1		0.985469	1		44	0	1.73451	0	[0.00,0.00]	1	1	0.1		1	1		103	2	4.06034	0.460501	[0.11,1.92]	0.211096	1	0.1		0.136801	1		11	0	0.433628	0	[0.00,0.00]	1	1	0.1		1	1		
17	56	26	2	1.17136	1.79475	[0.41,7.79]	0.22064	1	0.1		0.891759	1		44	2	1.9823	1.0097	[0.24,4.28]	0.68197	1	0.1		0.282057	1		29	2	1.30652	1.59122	[0.37,6.87]	0.240516	1	0.1		0.861441	1		13	1	0.58568	1.7803	[0.23,13.94]	0.339261	1	0.1		0.886831	1		26	2	1.17136	1.79475	[0.41,7.79]	0.22064	1	0.1		0.891759	1		2	0	0.0901046	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.946098	0	[0.00,0.00]	1	1	0.1		1	1		38	3	1.71199	1.86307	[0.56,6.25]	0.155327	1	0.1		0.91264	1		44	1	1.9823	0.483721	[0.07,3.58]	0.399914	1	0.1		0.273112	1		103	7	4.64039	1.62351	[0.72,3.68]	0.134355	1	0.1		0.871035	1		11	0	0.495575	0	[0.00,0.00]	1	1	0.1		1	1		
18	58	26	0	1.21319	0	[0.00,0.00]	1	1	0.1		1	1		44	6	2.0531	3.48279	[1.41,8.61]	0.0107617	1	0.1		0.9967	1		29	0	1.35318	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.606597	0	[0.00,0.00]	1	1	0.1		1	1		26	0	1.21319	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0933226	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.979887	0	[0.00,0.00]	1	1	0.1		1	1		38	2	1.77313	1.13988	[0.27,4.85]	0.436854	1	0.1		0.582347	1		44	2	2.0531	0.971939	[0.23,4.12]	0.662005	1	0.1		0.281698	1		103	7	4.80611	1.55699	[0.69,3.52]	0.223287	1	0.1		0.775754	1		11	1	0.513274	2.0614	[0.26,16.38]	0.320299	1	0.1		0.910193	1		
19	72	26	1	1.50603	0.645634	[0.09,4.83]	0.549139	1	0.1		0.340619	1		44	1	2.54867	0.369473	[0.05,2.72]	0.262848	1	0.1		0.193832	1		29	2	1.67981	1.21058	[0.28,5.19]	0.449224	1	0.1		0.592777	1		13	1	0.753017	1.36033	[0.17,10.61]	0.370357	1	0.1		0.82895	1		26	1	1.50603	0.645634	[0.09,4.83]	0.549139	1	0.1		0.340619	1		2	0	0.115849	0	[0.00,0.00]	1	1	0.1		1	1		21	1	1.21641	0.810563	[0.11,6.13]	0.653934	1	0.1		0.371291	1		38	0	2.20113	0	[0.00,0.00]	1	1	0.1		1	1		44	1	2.54867	0.369473	[0.05,2.72]	0.262848	1	0.1		0.193832	1		103	6	5.96621	1.00656	[0.43,2.38]	0.612704	1	0.1		0.172827	1		11	0	0.637168	0	[0.00,0.00]	1	1	0.1		1	1		
20	53	26	1	1.10861	0.896154	[0.12,6.74]	0.694805	1	0.1		0.376501	1		44	3	1.87611	1.68146	[0.50,5.62]	0.316691	1	0.1		0.744523	1		29	1	1.23652	0.798077	[0.11,5.98]	0.646811	1	0.1		0.36834	1		13	0	0.554304	0	[0.00,0.00]	1	1	0.1		1	1		26	1	1.10861	0.896154	[0.12,6.74]	0.694805	1	0.1		0.376501	1		2	0	0.0852776	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.895414	0	[0.00,0.00]	1	1	0.1		1	1		38	1	1.62027	0.599272	[0.08,4.45]	0.511129	1	0.1		0.325044	1		44	1	1.87611	0.51297	[0.07,3.80]	0.430671	1	0.1		0.288682	1		103	3	4.39179	0.654	[0.20,2.13]	0.345148	1	0.1		0.17723	1		11	0	0.469027	0	[0.00,0.00]	1	1	0.1		1	1		
21	32	26	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		44	2	1.13274	1.85556	[0.43,8.02]	0.213704	1	0.1		0.89946	1		29	0	0.746581	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.334674	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.669348	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0514883	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.540628	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.978278	1.02354	[0.14,7.70]	0.744181	1	0.1		0.378629	1		44	2	1.13274	1.85556	[0.43,8.02]	0.213704	1	0.1		0.89946	1		103	4	2.65165	1.60462	[0.55,4.67]	0.212386	1	0.1		0.820882	1		11	0	0.283186	0	[0.00,0.00]	1	1	0.1		1	1		
22	52	26	0	1.08769	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.84071	0.523484	[0.07,3.88]	0.44128	1	0.1		0.293844	1		29	0	1.21319	0	[0.00,0.00]	1	1	0.1		1	1		13	2	0.543846	4.29091	[0.93,19.88]	0.0850751	1	0.1		0.985319	1		26	0	1.08769	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0836685	0	[0.00,0.00]	1	1	0.1		1	1		21	2	0.87852	2.46737	[0.56,10.89]	0.164181	1	0.1		0.946062	1		38	1	1.5897	0.611553	[0.08,4.55]	0.521354	1	0.1		0.329136	1		44	3	1.84071	1.71727	[0.51,5.74]	0.318125	1	0.1		0.744952	1		103	4	4.30893	0.919192	[0.32,2.60]	0.565227	1	0.1		0.204753	1		11	1	0.460177	2.31569	[0.29,18.44]	0.302099	1	0.1		0.925838	1		
23	43	26	1	0.899437	1.11905	[0.15,8.46]	0.377347	1	0.1		0.773932	1		44	2	1.52212	1.34495	[0.31,5.75]	0.47003	1	0.1		0.60127	1		29	4	1.00322	4.82051	[1.60,14.52]	0.0132051	1	0.1		0.997496	1		13	1	0.449718	2.35714	[0.30,18.55]	0.29706	1	0.1		0.928378	1		26	1	0.899437	1.11905	[0.15,8.46]	0.377347	1	0.1		0.773932	1		2	0	0.0691874	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.726468	0	[0.00,0.00]	1	1	0.1		1	1		38	2	1.31456	1.57724	[0.37,6.78]	0.241068	1	0.1		0.859242	1		44	1	1.52212	0.640642	[0.09,4.76]	0.544423	1	0.1		0.337831	1		103	6	3.56315	1.84397	[0.76,4.48]	0.102765	1	0.1		0.918881	1		11	0	0.380531	0	[0.00,0.00]	1	1	0.1		1	1		
24	63	26	0	1.31778	0	[0.00,0.00]	1	1	0.1		1	1		44	2	2.23009	0.888368	[0.21,3.76]	0.612219	1	0.1		0.277791	1		29	0	1.46983	0	[0.00,0.00]	1	1	0.1		1	1		13	1	0.65889	1.56989	[0.20,12.27]	0.3554	1	0.1		0.862246	1		26	0	1.31778	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.101368	0	[0.00,0.00]	1	1	0.1		1	1		21	2	1.06436	2.00345	[0.46,8.80]	0.202455	1	0.1		0.913971	1		38	1	1.92599	0.498256	[0.07,3.69]	0.41573	1	0.1		0.281385	1		44	2	2.23009	0.888368	[0.21,3.76]	0.612219	1	0.1		0.277791	1		103	6	5.22043	1.17526	[0.49,2.80]	0.379059	1	0.1		0.522262	1		11	2	0.557522	4.26594	[0.90,20.17]	0.0882754	1	0.1		0.984702	1		
