C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
1	13	26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.460177	2.30039	[0.29,18.10]	0.300928	1	0.1		0.925407	1		29	0	0.303298	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.135961	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.271923	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0209171	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.21963	0	[0.00,0.00]	1	1	0.1		1	1		38	1	0.397426	2.68694	[0.34,21.21]	0.276012	1	0.1		0.942576	1		44	0	0.460177	0	[0.00,0.00]	1	1	0.1		1	1		103	1	1.07723	0.921569	[0.12,7.16]	0.706348	1	0.1		0.383381	1		11	0	0.115044	0	[0.00,0.00]	1	1	0.1		1	1		
2	51	26	0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1		44	1	1.80531	0.534419	[0.07,3.96]	0.452066	1	0.1		0.298979	1		29	1	1.18986	0.831429	[0.11,6.23]	0.664243	1	0.1		0.371705	1		13	1	0.533387	1.96667	[0.25,15.42]	0.32503	1	0.1		0.903516	1		26	0	1.06677	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0820595	0	[0.00,0.00]	1	1	0.1		1	1		21	3	0.861625	4.07639	[1.16,14.31]	0.042406	1	0.1		0.991025	1		38	5	1.55913	3.81752	[1.42,10.23]	0.0135497	1	0.1		0.996434	1		44	1	1.80531	0.534419	[0.07,3.96]	0.452066	1	0.1		0.298979	1		103	3	4.22607	0.6825	[0.21,2.23]	0.376224	1	0.1		0.187743	1		11	0	0.451327	0	[0.00,0.00]	1	1	0.1		1	1		
3	24	26	0	0.502011	0	[0.00,0.00]	1	1	0.1		1	1		44	1	0.849558	1.18908	[0.16,9.01]	0.374995	1	0.1		0.792602	1		29	0	0.559936	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.502011	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1		21	1	0.405471	2.60652	[0.34,20.25]	0.278186	1	0.1		0.93998	1		38	0	0.733709	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.849558	0	[0.00,0.00]	1	1	0.1		1	1		103	1	1.98874	0.47613	[0.06,3.56]	0.394912	1	0.1		0.272004	1		11	0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1		
4	3	26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		29	1	0.069992	21.6429	[1.91,245.73]	0.0668704	1	0.1		0.998445	1		13	1	0.0313757	51.1667	[4.34,603.05]	0.0307721	1	0.1		0.999699	1		26	0	0.0627514	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.0506838	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1		103	0	0.248592	0	[0.00,0.00]	1	1	0.1		1	1		11	0	0.0265487	0	[0.00,0.00]	1	1	0.1		1	1		
5	73	26	2	1.52695	1.34507	[0.31,5.81]	0.469317	1	0.1		0.603404	1		44	4	2.58407	1.63768	[0.57,4.71]	0.211656	1	0.1		0.823064	1		29	2	1.70314	1.19249	[0.28,5.12]	0.446154	1	0.1		0.590722	1		13	0	0.763475	0	[0.00,0.00]	1	1	0.1		1	1		26	2	1.52695	1.34507	[0.31,5.81]	0.469317	1	0.1		0.603404	1		2	0	0.117458	0	[0.00,0.00]	1	1	0.1		1	1		21	0	1.23331	0	[0.00,0.00]	1	1	0.1		1	1		38	1	2.2317	0.4253	[0.06,3.14]	0.333521	1	0.1		0.236802	1		44	3	2.58407	1.18014	[0.36,3.91]	0.484459	1	0.1		0.488523	1		103	4	6.04907	0.627141	[0.22,1.75]	0.258833	1	0.1		0.13092	1		11	0	0.646018	0	[0.00,0.00]	1	1	0.1		1	1		
6	9	26	0	0.188254	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.318584	0	[0.00,0.00]	1	1	0.1		1	1		29	0	0.209976	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		26	0	0.188254	0	[0.00,0.00]	1	1	0.1		1	1		2	0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.152051	0	[0.00,0.00]	1	1	0.1		1	1		38	0	0.275141	0	[0.00,0.00]	1	1	0.1		1	1		44	0	0.318584	0	[0.00,0.00]	1	1	0.1		1	1		103	1	0.745776	1.38725	[0.17,11.20]	0.374969	1	0.1		0.832859	1		11	0	0.079646	0	[0.00,0.00]	1	1	0.1		1	1		
7	58	26	2	1.21319	1.72768	[0.40,7.49]	0.227346	1	0.1		0.882764	1		44	2	2.0531	0.971939	[0.23,4.12]	0.662005	1	0.1		0.281698	1		29	1	1.35318	0.724937	[0.10,5.42]	0.603876	1	0.1		0.357774	1		13	0	0.606597	0	[0.00,0.00]	1	1	0.1		1	1		26	2	1.21319	1.72768	[0.40,7.49]	0.227346	1	0.1		0.882764	1		2	0	0.0933226	0	[0.00,0.00]	1	1	0.1		1	1		21	3	0.979887	3.53636	[1.01,12.37]	0.0564686	1	0.1		0.985905	1		38	1	1.77313	0.544334	[0.07,4.04]	0.461829	1	0.1		0.303661	1		44	3	2.0531	1.52195	[0.46,5.07]	0.310624	1	0.1		0.737485	1		103	5	4.80611	1.0464	[0.41,2.68]	0.462378	1	0.1		0.377722	1		11	2	0.513274	4.66667	[0.99,22.11]	0.0776236	1	0.1		0.987816	1		
8	109	26	0	2.27997	0	[0.00,0.00]	1	1	0.1		1	1		44	2	3.85841	0.485981	[0.12,2.04]	0.241143	1	0.1		0.152887	1		29	0	2.54304	0	[0.00,0.00]	1	1	0.1		1	1		13	0	1.13998	0	[0.00,0.00]	1	1	0.1		1	1		26	0	2.27997	0	[0.00,0.00]	1	1	0.1		1	1		2	1	0.175382	10.4907	[0.65,168.91]	0.160132	1	0.1		0.992375	1		21	2	1.84151	1.0969	[0.25,4.77]	0.428109	1	0.1		0.579116	1		38	3	3.33226	0.888679	[0.27,2.94]	0.569059	1	0.1		0.232187	1		44	3	3.85841	0.754487	[0.23,2.48]	0.45068	1	0.1		0.209537	1		103	7	9.03218	0.742034	[0.34,1.64]	0.299071	1	0.1		0.119211	1		11	1	0.964602	1.04074	[0.13,8.21]	0.74987	1	0.1		0.38704	1		
9	34	26	1	0.711183	1.43515	[0.19,10.91]	0.360327	1	0.1		0.842937	1		44	3	1.20354	2.75688	[0.81,9.39]	0.0863886	1	0.1		0.970814	1		29	2	0.793242	2.73611	[0.62,12.00]	0.144644	1	0.1		0.957955	1		13	0	0.355591	0	[0.00,0.00]	1	1	0.1		1	1		26	1	0.711183	1.43515	[0.19,10.91]	0.360327	1	0.1		0.842937	1		2	0	0.0547064	0	[0.00,0.00]	1	1	0.1		1	1		21	0	0.574417	0	[0.00,0.00]	1	1	0.1		1	1		38	1	1.03942	0.959869	[0.13,7.21]	0.721038	1	0.1		0.378077	1		44	1	1.20354	0.821705	[0.11,6.15]	0.659198	1	0.1		0.370458	1		103	3	2.81738	1.07323	[0.32,3.57]	0.447437	1	0.1		0.479949	1		11	0	0.300885	0	[0.00,0.00]	1	1	0.1		1	1		
10	69	26	1	1.44328	0.675882	[0.09,5.06]	0.571245	1	0.1		0.34822	1		44	1	2.44248	0.386799	[0.05,2.85]	0.285182	1	0.1		0.207778	1		29	0	1.60981	0	[0.00,0.00]	1	1	0.1		1	1		13	0	0.721641	0	[0.00,0.00]	1	1	0.1		1	1		26	1	1.44328	0.675882	[0.09,5.06]	0.571245	1	0.1		0.34822	1		2	0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1		21	0	1.16573	0	[0.00,0.00]	1	1	0.1		1	1		38	3	2.10941	1.47922	[0.44,4.94]	0.3089	1	0.1		0.734304	1		44	0	2.44248	0	[0.00,0.00]	1	1	0.1		1	1		103	6	5.71762	1.05744	[0.45,2.51]	0.478446	1	0.1		0.348801	1		11	1	0.610619	1.71176	[0.22,13.57]	0.346992	1	0.1		0.879138	1		
