C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	24	66	5	1.27434	4.99569	[1.80,13.83]	0.00588656	1	0.1		0.998873	1		69	1	1.33226	0.735934	[0.10,5.53]	0.611156	1	0.1		0.360554	1		209	12	4.0354	5.18782	[2.30,11.72]	0.000128889	0.0649813	0.1		0.999973	1		111	5	2.1432	2.76316	[1.01,7.55]	0.0400162	1	0.1		0.984335	1		66	5	1.27434	4.99569	[1.80,13.83]	0.00588656	1	0.1		0.998873	1		39	2	0.753017	2.90418	[0.66,12.81]	0.135349	1	0.1		0.963358	1		80	3	1.54465	2.11874	[0.62,7.26]	0.133983	1	0.1		0.93691	1		109	4	2.10459	2.1219	[0.71,6.32]	0.100167	1	0.1		0.947888	1		79	2	1.52534	1.34829	[0.31,5.84]	0.469508	1	0.1		0.604278	1		262	10	5.05873	2.74093	[1.20,6.24]	0.0150323	1	0.1		0.991449	1		71	2	1.37088	1.51515	[0.35,6.58]	0.490079	1	0.1		0.606227	1		
12	28	66	2	1.48673	1.38341	[0.32,5.96]	0.474658	1	0.1		0.604134	1		69	2	1.5543	1.31803	[0.31,5.67]	0.465729	1	0.1		0.601541	1		209	6	4.70796	1.35961	[0.54,3.40]	0.274384	1	0.1		0.6984	1		111	5	2.5004	2.27441	[0.85,6.11]	0.0642736	1	0.1		0.967343	1		66	2	1.48673	1.38341	[0.32,5.96]	0.474658	1	0.1		0.604134	1		39	0	0.87852	0	[0.00,0.00]	1	1	0.1		1	1		80	3	1.80209	1.77351	[0.52,6.00]	0.318979	1	0.1		0.747803	1		109	0	2.45535	0	[0.00,0.00]	1	1	0.1		1	1		79	1	1.77957	0.539886	[0.07,4.03]	0.458716	1	0.1		0.30298	1		262	7	5.90185	1.2549	[0.53,2.98]	0.41772	1	0.1		0.514416	1		71	2	1.59936	1.27759	[0.30,5.49]	0.459802	1	0.1		0.599014	1		
13	8	66	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		69	0	0.444087	0	[0.00,0.00]	1	1	0.1		1	1		209	1	1.34513	0.705357	[0.09,5.76]	0.599848	1	0.1		0.371599	1		111	0	0.714401	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.701529	0	[0.00,0.00]	1	1	0.1		1	1		79	1	0.508447	2.11905	[0.26,17.44]	0.322531	1	0.1		0.912988	1		262	2	1.68624	1.25	[0.25,6.23]	0.451253	1	0.1		0.623595	1		71	1	0.456959	2.37755	[0.29,19.59]	0.304144	1	0.1		0.92796	1		
14	40	66	2	2.12389	0.936678	[0.22,3.97]	0.64202	1	0.1		0.280851	1		69	4	2.22043	1.9453	[0.67,5.63]	0.209518	1	0.1		0.836018	1		209	6	6.72566	0.869313	[0.36,2.10]	0.479439	1	0.1		0.168142	1		111	2	3.572	0.528247	[0.13,2.22]	0.290084	1	0.1		0.177359	1		66	2	2.12389	0.936678	[0.22,3.97]	0.64202	1	0.1		0.280851	1		39	1	1.25503	0.7861	[0.11,5.87]	0.640077	1	0.1		0.36643	1		80	1	2.57442	0.364817	[0.05,2.69]	0.257214	1	0.1		0.190353	1		109	6	3.50764	1.88464	[0.77,4.59]	0.100552	1	0.1		0.922043	1		79	2	2.54224	0.769651	[0.18,3.25]	0.526448	1	0.1		0.262717	1		262	5	8.43121	0.525848	[0.20,1.36]	0.120726	1	0.1		0.0678488	1		71	0	2.28479	0	[0.00,0.00]	1	1	0.1		1	1		
15	45	66	2	2.38938	0.824128	[0.20,3.48]	0.568063	1	0.1		0.271084	1		69	2	2.49799	0.785144	[0.19,3.31]	0.538536	1	0.1		0.265138	1		209	3	7.56637	0.343967	[0.11,1.12]	0.0397119	1	0.1		0.0280774	1		111	5	4.0185	1.28774	[0.50,3.33]	0.384011	1	0.1		0.576381	1		66	2	2.38938	0.824128	[0.20,3.48]	0.568063	1	0.1		0.271084	1		39	3	1.41191	2.30556	[0.68,7.79]	0.115357	1	0.1		0.951138	1		80	2	2.89622	0.667859	[0.16,2.81]	0.436239	1	0.1		0.236479	1		109	3	3.9461	0.735849	[0.22,2.41]	0.432156	1	0.1		0.204657	1		79	1	2.86002	0.32634	[0.04,2.40]	0.205672	1	0.1		0.156399	1		262	7	9.48512	0.681218	[0.30,1.54]	0.234858	1	0.1		0.103974	1		71	1	2.57039	0.366234	[0.05,2.70]	0.258543	1	0.1		0.191082	1		
16	26	66	0	1.38053	0	[0.00,0.00]	1	1	0.1		1	1		69	1	1.44328	0.675882	[0.09,5.06]	0.571245	1	0.1		0.34822	1		209	0	4.37168	0	[0.00,0.00]	1	1	0.1		1	1		111	2	2.3218	0.847095	[0.20,3.63]	0.585686	1	0.1		0.276932	1		66	0	1.38053	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.815768	0	[0.00,0.00]	1	1	0.1		1	1		80	0	1.67337	0	[0.00,0.00]	1	1	0.1		1	1		109	3	2.27997	1.3671	[0.40,4.63]	0.304375	1	0.1		0.722516	1		79	1	1.65245	0.584103	[0.08,4.37]	0.499328	1	0.1		0.321209	1		262	0	5.48029	0	[0.00,0.00]	1	1	0.1		1	1		71	0	1.48512	0	[0.00,0.00]	1	1	0.1		1	1		
17	36	66	2	1.9115	1.05055	[0.25,4.47]	0.418425	1	0.1		0.565674	1		69	2	1.99839	1.00088	[0.24,4.26]	0.677451	1	0.1		0.282595	1		209	5	6.0531	0.793011	[0.30,2.06]	0.419307	1	0.1		0.16994	1		111	3	3.2148	0.925084	[0.28,3.07]	0.59667	1	0.1		0.235245	1		66	2	1.9115	1.05055	[0.25,4.47]	0.418425	1	0.1		0.565674	1		39	0	1.12953	0	[0.00,0.00]	1	1	0.1		1	1		80	1	2.31698	0.407957	[0.06,3.02]	0.312667	1	0.1		0.224671	1		109	3	3.15688	0.944254	[0.28,3.13]	0.61041	1	0.1		0.236197	1		79	0	2.28801	0	[0.00,0.00]	1	1	0.1		1	1		262	7	7.58809	0.901149	[0.39,2.08]	0.500776	1	0.1		0.163212	1		71	2	2.05632	0.970162	[0.23,4.12]	0.661079	1	0.1		0.282244	1		
18	55	66	2	2.92035	0.662736	[0.16,2.78]	0.430841	1	0.1		0.234332	1		69	4	3.0531	1.35505	[0.48,3.86]	0.356364	1	0.1		0.638505	1		209	3	9.24779	0.275019	[0.09,0.89]	0.0102987	1	0.1		0.00780541	1		111	1	4.9115	0.181481	[0.02,1.32]	0.034422	1	0.1		0.0292561	1		66	2	2.92035	0.662736	[0.16,2.78]	0.430841	1	0.1		0.234332	1		39	0	1.72566	0	[0.00,0.00]	1	1	0.1		1	1		80	2	3.53982	0.53701	[0.13,2.24]	0.298021	1	0.1		0.180449	1		109	5	4.82301	1.04231	[0.41,2.67]	0.459761	1	0.1		0.377597	1		79	1	3.49558	0.263533	[0.04,1.93]	0.122084	1	0.1		0.0972418	1		262	5	11.5929	0.362257	[0.14,0.92]	0.0140356	1	0.1		0.00952193	1		71	2	3.14159	0.611977	[0.15,2.56]	0.37967	1	0.1		0.215529	1		
19	3	66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		69	1	0.166533	8.61765	[0.77,96.23]	0.148789	1	0.1		0.99121	1		209	0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1		111	0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1		66	0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1		39	0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1		80	0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1		109	0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1		79	0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1		262	0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1		71	0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
20	4	66	1	0.212389	6.02051	[0.62,58.68]	0.180734	1	0.1		0.984452	1		69	0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1		209	2	0.672566	4.98551	[0.70,35.60]	0.117272	1	0.1		0.983553	1		111	2	0.3572	10.367	[1.45,74.33]	0.0394811	1	0.1		0.997403	1		66	1	0.212389	6.02051	[0.62,58.68]	0.180734	1	0.1		0.984452	1		39	0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1		80	1	0.257442	4.89451	[0.50,47.60]	0.21134	1	0.1		0.977448	1		109	1	0.350764	3.49074	[0.36,33.85]	0.266925	1	0.1		0.959339	1		79	1	0.254224	4.96154	[0.51,48.26]	0.209238	1	0.1		0.977987	1		262	1	0.843121	1.24904	[0.13,12.06]	0.802659	1	0.1		0.415196	1		71	1	0.228479	5.56667	[0.57,54.21]	0.191956	1	0.1		0.982087	1		
