				Communities	1			2			3			4			5			6			7			8			9			10			11			12			13			14			15			16			17			18			19			20			21			22			23			24			25			26			27			28			29			30			31			32			33			34			35			36			37			38			39			40			41			42			43			44			45			46			47			48			49			50			51			52			53			54			55			56			57			58			59			60			61			62			63			64			65			66			67			68			69			70			71			72			73			74			75			76			77			78			79			80			81			82			83			84			85			86			87			88			89			90			91			
annotation 1	n1	annotation 2	n2	actual overlap	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	{a.overlap,e.overlap,OR,95% CI}	{p.value,p.adjusted,BC}	{p.value(ALT),p.adjusted(ALT),BC(ALT)}	
autism_spectrum_disorder	66	MAPK_cascade	122	13	0.0, 0.18, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.03, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.18, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	3.0, 0.23, 19.12, [4.87,75.06]	5.61276E-07, 0.00137595, *	0.142396, 1, 	0.0, 0.17, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.07, 17.00, [1.90,152.21]	2.8472E-06, 0.00495669, 	0.00563652, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.15, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.19, 5.95, [0.73,48.34]	0.00216476, 0.848863, 	0.100806, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.06, 20.42, [2.22,188.19]	0.00313076, 1, 	1, 1, 	0.0, 0.17, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.04, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.03, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.28, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.17, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.07, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.20, 5.61, [0.69,45.48]	2.58442E-05, 0.0242015, 	0.113444, 1, 	0.0, 0.19, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.15, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.08, 14.56, [1.66,127.66]	8.53015E-06, 0.010438, 	0.00930106, 1, 	0.0, 0.04, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.05, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.19, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.23, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.28, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.15, 7.80, [0.94,64.47]	0.000582771, 0.275244, 	0.060455, 1, 	0.0, 0.26, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.35, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.07, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.18, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.04, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.25, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.09, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.38, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.03, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.03, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.19, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.04, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.09, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.15, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.29, 3.71, [0.47,29.58]	0.00045942, 0.220599, 	0.177226, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.22, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.25, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.15, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.13, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.14, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.28, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.19, 5.95, [0.73,48.34]	0.00216476, 0.848863, 	0.100806, 1, 	0.0, 0.24, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.06, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.07, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.23, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.18, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.13, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.03, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.19, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.16, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.15, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.13, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.12, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.23, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.19, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.18, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	2.0, 0.10, 27.77, [5.28,145.97]	5.11957E-05, 0.0387182, 	0.0209349, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.10, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.08, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	
autism_spectrum_disorder	66	neurotransmitter_uptake	8	1	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.03, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	1.0, 0.03, 0.00, [0.00,0.00]	1, 1, 	0.0210497, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.00, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.02, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	0.0, 0.01, 0.00, [0.00,0.00]	1, 1, 	1, 1, 	
