ENTREZ.ID,GENE.NAME,DEGREE,Closeness,Bet,CC,Cl,Clnorm,SP,PR,sgG5,BRIDGE_sgG5,PROB_sgG5,MIX_sgG5,BR_CONSENSUS,BR_CONSENSUS_MAD,BR_CONSENSUS_ADJ,DE
273,273,6,0.266,227.12063171216,0.133333333333333,10583,0.0483530859341051,3,0.000773825007651173,32,0.156948948010426,0.9999996783371541,0.33333333333333304,0.156948948010426,0,-0.601885265806723,0
1759,1759,12,0.301,2139.7885479044603,0.166666666666667,35962,0.164439829659548,2,0.00152351449150101,32,0.460561461540143,0.9999999981406701,0.5,0.460561461540143,0,0.73703129482308,1
1785,1785,22,0.327,13990.861533290501,0.0606060606060606,60298,0.275755759968164,2,0.00272012289539241,32,0.591987135166745,0.999999948193378,0.7272727272727271,0.591987135166745,0,1.3166121851652801,0
26052,26052,9,0.281,1343.3415613589698,0.0833333333333333,22045,0.100781718133208,2,0.0011199971191559,37,0.36491344394318,0.999999999793506,0.33333333333333304,0.36491344394318,0,0.31522814427721196,0
1020,1020,10,0.3,1659.94263923737,0.0444444444444444,28617,0.130842874197813,2,0.0012364314354783301,32,0.5893447843447329,0.9947850774360071,0.8,0.5893447843447329,0,1.30495954531373,0
5530,5530,7,0.28800000000000003,812.636574633038,0.0476190476190476,23157,0.10586814624395599,2,0.0008966885621102779,40,0.595372488243307,0.9981867026824671,0.7142857142857142,0.595372488243307,0,1.33154142917137,0
8867,8867,4,0.249,33.1741847779889,0.166666666666667,7185,0.0328102057899287,2,0.000566494904913462,32,0.0,0.9999999756197,0.0,0.0,0,-1.2940225668077099,0
6455,6455,17,0.304,5183.686706954601,0.0955882352941176,31281,0.143028345858815,2,0.0020954640451280398,32,0.4144035653967679,0.9999999997333751,0.588235294117647,0.4144035653967679,0,0.533477196107889,0
6456,6456,17,0.314,9461.39174708828,0.139705882352941,44514,0.203557755201925,1,0.00226115548804662,32,0.30513528059032896,1.0,0.411764705882353,0.30513528059032896,0,0.0516093232126061,0
30011,30011,9,0.29100000000000004,2353.86549734181,0.138888888888889,20990,0.0959560152043948,2,0.00119513408287241,32,0.45054570035985403,0.9999977884733849,0.555555555555556,0.45054570035985403,0,0.692862270444942,0
7534,7534,30,0.335,14075.7709165695,0.0597701149425287,84239,0.38526491050722494,1,0.0037211399960487704,79,0.6214629732797479,0.999999999999997,0.666666666666667,0.6214629732797479,0,1.4465992114875001,0
6457,6457,17,0.318,10224.9573232565,0.0808823529411765,47258,0.21610915694283703,1,0.00230140779196657,32,0.44315964396477797,0.9999999997333751,0.588235294117647,0.44315964396477797,0,0.660290117505188,0
7431,7431,28,0.335,21260.6600366355,0.0238095238095238,65885,0.301311401923877,2,0.00372687602135119,63,0.560321391909448,1.0,0.6071428571428571,0.560321391909448,0,1.1769677826373899,1
392,392,5,0.262,226.43385152202302,0.1,10995,0.0502376258456415,3,0.0007047275189032441,74,0.255395578027955,0.999999966302832,0.2,0.255395578027955,0,-0.16774036928629998,0
5689,5689,12,0.272,3999.5310277125,0.0303030303030303,11695,0.0534395140448539,3,0.0016526265436658302,87,0.55121061704107,0.9999999968965709,0.583333333333333,0.55121061704107,0,1.13678970430451,0
