C	Cn	DOID:0060041	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1059	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10652	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:10763	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12849	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:12858	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:14330	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:1826	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:3312	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:5419	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	DOID:9255	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	58	66	0	3.07965	0	[0.00,0.00]	1	1	0.1		1	1		69	1	3.21963	0.288184	[0.04,2.11]	0.153991	1	0.1		0.120389	1		209	9	9.75221	0.904592	[0.44,1.87]	0.478416	1	0.1		0.141181	1		111	3	5.1794	0.543939	[0.17,1.77]	0.220883	1	0.1		0.126847	1		66	0	3.07965	0	[0.00,0.00]	1	1	0.1		1	1		39	1	1.81979	0.529548	[0.07,3.93]	0.447465	1	0.1		0.29691	1		80	6	3.7329	1.73233	[0.72,4.16]	0.190357	1	0.1		0.827159	1		109	5	5.08608	0.980588	[0.38,2.51]	0.600307	1	0.1		0.187735	1		79	3	3.68624	0.795933	[0.24,2.60]	0.489086	1	0.1		0.217463	1		262	12	12.2253	0.975652	[0.51,1.87]	0.547484	1	0.1		0.131069	1		71	5	3.31295	1.59949	[0.62,4.14]	0.267503	1	0.1		0.749922	1		
12	40	66	0	2.12389	0	[0.00,0.00]	1	1	0.1		1	1		69	3	2.22043	1.39681	[0.42,4.65]	0.305821	1	0.1		0.724563	1		209	4	6.72566	0.540921	[0.19,1.54]	0.17	1	0.1		0.0956334	1		111	1	3.572	0.254779	[0.03,1.87]	0.112725	1	0.1		0.0904571	1		66	0	2.12389	0	[0.00,0.00]	1	1	0.1		1	1		39	1	1.25503	0.7861	[0.11,5.87]	0.640077	1	0.1		0.36643	1		80	2	2.57442	0.759109	[0.18,3.21]	0.517871	1	0.1		0.260657	1		109	3	3.50764	0.839113	[0.25,2.77]	0.528437	1	0.1		0.226175	1		79	1	2.54224	0.369822	[0.05,2.73]	0.263731	1	0.1		0.19449	1		262	6	8.43121	0.652803	[0.27,1.57]	0.228136	1	0.1		0.107409	1		71	2	2.28479	0.864989	[0.20,3.66]	0.596876	1	0.1		0.27605	1		
13	35	66	2	1.85841	1.08333	[0.25,4.62]	0.425534	1	0.1		0.572706	1		69	1	1.94288	0.49308	[0.07,3.66]	0.410556	1	0.1		0.278901	1		209	2	5.88496	0.293076	[0.07,1.23]	0.0492365	1	0.1		0.0372499	1		111	1	3.1255	0.293583	[0.04,2.17]	0.16377	1	0.1		0.127683	1		66	2	1.85841	1.08333	[0.25,4.62]	0.425534	1	0.1		0.572706	1		39	0	1.09815	0	[0.00,0.00]	1	1	0.1		1	1		80	1	2.25261	0.420328	[0.06,3.11]	0.327951	1	0.1		0.233714	1		109	2	3.06919	0.623619	[0.15,2.63]	0.393897	1	0.1		0.222216	1		79	2	2.22446	0.890201	[0.21,3.78]	0.613621	1	0.1		0.278726	1		262	4	7.37731	0.475119	[0.17,1.36]	0.108602	1	0.1		0.0659595	1		71	1	1.9992	0.478151	[0.06,3.54]	0.394515	1	0.1		0.270596	1		
14	75	66	7	3.9823	1.93495	[0.85,4.40]	0.0710884	1	0.1		0.945248	1		69	3	4.16331	0.695707	[0.21,2.27]	0.389354	1	0.1		0.191366	1		209	17	12.6106	1.48994	[0.85,2.61]	0.13661	1	0.1		0.845412	1		111	6	6.69751	0.880331	[0.37,2.08]	0.487554	1	0.1		0.164839	1		66	7	3.9823	1.93495	[0.85,4.40]	0.0710884	1	0.1		0.945248	1		39	2	2.35318	0.837468	[0.20,3.54]	0.577864	1	0.1		0.273199	1		80	4	4.82703	0.809489	[0.29,2.28]	0.461891	1	0.1		0.189276	1		109	3	6.57683	0.417453	[0.13,1.35]	0.0892612	1	0.1		0.0583319	1		79	8	4.76669	1.84486	[0.85,3.99]	0.0937444	1	0.1		0.917386	1		262	20	15.8085	1.39144	[0.82,2.37]	0.153889	1	0.1		0.810926	1		71	4	4.28399	0.925794	[0.33,2.61]	0.570571	1	0.1		0.204473	1		
15	35	66	2	1.85841	1.08333	[0.25,4.62]	0.425534	1	0.1		0.572706	1		69	2	1.94288	1.03211	[0.24,4.39]	0.693124	1	0.1		0.282568	1		209	11	5.88496	2.33796	[1.13,4.85]	0.0264663	1	0.1		0.979587	1		111	6	3.1255	2.1734	[0.88,5.35]	0.0898425	1	0.1		0.933221	1		66	2	1.85841	1.08333	[0.25,4.62]	0.425534	1	0.1		0.572706	1		39	1	1.09815	0.905573	[0.12,6.79]	0.698822	1	0.1		0.376289	1		80	2	2.25261	0.878011	[0.21,3.73]	0.605719	1	0.1		0.277768	1		109	9	3.06919	3.83538	[1.75,8.41]	0.00172286	0.876203	0.1		0.999497	1		79	6	2.22446	3.21682	[1.29,7.99]	0.0149601	1	0.1		0.994939	1		262	9	7.37731	1.30663	[0.60,2.82]	0.343951	1	0.1		0.596725	1		71	2	1.9992	1.00044	[0.24,4.26]	0.677228	1	0.1		0.282712	1		
16	49	66	4	2.60177	1.62294	[0.57,4.66]	0.212	1	0.1		0.821431	1		69	3	2.72003	1.11462	[0.34,3.68]	0.462987	1	0.1		0.48286	1		209	10	8.23894	1.28205	[0.63,2.61]	0.255628	1	0.1		0.672707	1		111	3	4.3757	0.655797	[0.20,2.14]	0.347622	1	0.1		0.178321	1		66	4	2.60177	1.62294	[0.57,4.66]	0.212	1	0.1		0.821431	1		39	0	1.53741	0	[0.00,0.00]	1	1	0.1		1	1		80	5	3.15366	1.69545	[0.65,4.40]	0.149533	1	0.1		0.874955	1		109	12	4.29686	3.66787	[1.85,7.26]	0.000491478	0.39931	0.1		0.999842	1		79	3	3.11424	0.959382	[0.29,3.16]	0.620669	1	0.1		0.235173	1		262	19	10.3282	2.4786	[1.37,4.48]	0.0026429	0.876203	0.1		0.998154	1		71	3	2.79887	1.07992	[0.33,3.56]	0.450683	1	0.1		0.478517	1		
17	56	66	4	2.97345	1.39578	[0.49,3.98]	0.363148	1	0.1		0.640417	1		69	2	3.10861	0.619127	[0.15,2.59]	0.38707	1	0.1		0.21839	1		209	7	9.41593	0.696605	[0.31,1.56]	0.24802	1	0.1		0.106609	1		111	9	5.0008	2.03692	[0.97,4.28]	0.0639893	1	0.1		0.945794	1		66	4	2.97345	1.39578	[0.49,3.98]	0.363148	1	0.1		0.640417	1		39	1	1.75704	0.549761	[0.07,4.08]	0.466918	1	0.1		0.305955	1		80	5	3.60418	1.45359	[0.56,3.75]	0.255684	1	0.1		0.743448	1		109	6	4.9107	1.26291	[0.53,3.02]	0.412111	1	0.1		0.527818	1		79	3	3.55913	0.827458	[0.25,2.71]	0.517484	1	0.1		0.223017	1		262	16	11.8037	1.53008	[0.84,2.78]	0.117012	1	0.1		0.869276	1		71	5	3.19871	1.66518	[0.64,4.31]	0.151197	1	0.1		0.871299	1		
18	58	66	0	3.07965	0	[0.00,0.00]	1	1	0.1		1	1		69	6	3.21963	2.05495	[0.85,4.97]	0.0932341	1	0.1		0.929293	1		209	6	9.75221	0.558166	[0.24,1.32]	0.117541	1	0.1		0.0620304	1		111	3	5.1794	0.543939	[0.17,1.77]	0.220883	1	0.1		0.126847	1		66	0	3.07965	0	[0.00,0.00]	1	1	0.1		1	1		39	0	1.81979	0	[0.00,0.00]	1	1	0.1		1	1		80	2	3.7329	0.506868	[0.12,2.12]	0.26355	1	0.1		0.163811	1		109	3	5.08608	0.555232	[0.17,1.81]	0.233611	1	0.1		0.132609	1		79	2	3.68624	0.513915	[0.12,2.15]	0.271622	1	0.1		0.167788	1		262	8	12.2253	0.586457	[0.27,1.25]	0.106189	1	0.1		0.0526306	1		71	5	3.31295	1.59949	[0.62,4.14]	0.267503	1	0.1		0.749922	1		
19	72	66	5	3.82301	1.35796	[0.53,3.49]	0.405545	1	0.1		0.573896	1		69	3	3.99678	0.727931	[0.22,2.37]	0.422854	1	0.1		0.201182	1		209	11	12.1062	0.886157	[0.46,1.71]	0.434291	1	0.1		0.124777	1		111	9	6.42961	1.4972	[0.72,3.10]	0.184035	1	0.1		0.80122	1		66	5	3.82301	1.35796	[0.53,3.49]	0.405545	1	0.1		0.573896	1		39	5	2.25905	2.49561	[0.95,6.59]	0.0482378	1	0.1		0.978277	1		80	3	4.63395	0.61773	[0.19,2.01]	0.303691	1	0.1		0.161557	1		109	1	6.31376	0.138628	[0.02,1.01]	0.00920785	1	0.1		0.00810944	1		79	1	4.57603	0.197364	[0.03,1.44]	0.0474505	1	0.1		0.0398021	1		262	13	15.1762	0.815874	[0.44,1.51]	0.315945	1	0.1		0.100334	1		71	0	4.11263	0	[0.00,0.00]	1	1	0.1		1	1		
20	53	66	3	2.81416	1.07333	[0.33,3.54]	0.448345	1	0.1		0.477356	1		69	3	2.94208	1.02182	[0.31,3.36]	0.661253	1	0.1		0.23566	1		209	10	8.9115	1.15812	[0.57,2.34]	0.439375	1	0.1		0.424305	1		111	3	4.7329	0.601111	[0.18,1.96]	0.286174	1	0.1		0.155096	1		66	3	2.81416	1.07333	[0.33,3.54]	0.448345	1	0.1		0.477356	1		39	3	1.66291	1.92333	[0.57,6.46]	0.149086	1	0.1		0.919711	1		80	1	3.4111	0.270448	[0.04,1.98]	0.131027	1	0.1		0.103822	1		109	6	4.64763	1.34724	[0.56,3.23]	0.281855	1	0.1		0.685001	1		79	1	3.36846	0.274162	[0.04,2.01]	0.135821	1	0.1		0.107319	1		262	8	11.1714	0.655118	[0.30,1.41]	0.180061	1	0.1		0.0810219	1		71	0	3.02735	0	[0.00,0.00]	1	1	0.1		1	1		
21	32	66	2	1.69912	1.19479	[0.28,5.11]	0.446665	1	0.1		0.590437	1		69	4	1.77635	2.51868	[0.86,7.39]	0.0682765	1	0.1		0.971573	1		209	4	5.38053	0.701045	[0.24,2.02]	0.353042	1	0.1		0.166708	1		111	5	2.8576	1.93047	[0.73,5.12]	0.13953	1	0.1		0.89321	1		66	2	1.69912	1.19479	[0.28,5.11]	0.446665	1	0.1		0.590437	1		39	1	1.00402	0.995756	[0.13,7.49]	0.73444	1	0.1		0.378596	1		80	2	2.05953	0.968376	[0.23,4.13]	0.660151	1	0.1		0.28279	1		109	3	2.80611	1.0784	[0.32,3.60]	0.449089	1	0.1		0.481357	1		79	3	2.03379	1.54492	[0.46,5.19]	0.310974	1	0.1		0.740473	1		262	10	6.74497	1.7298	[0.81,3.70]	0.129625	1	0.1		0.875912	1		71	2	1.82784	1.10338	[0.26,4.71]	0.429633	1	0.1		0.576898	1		
22	52	66	5	2.76106	1.9707	[0.76,5.13]	0.139191	1	0.1		0.892228	1		69	1	2.88656	0.323818	[0.04,2.38]	0.201812	1	0.1		0.153704	1		209	17	8.74336	2.52723	[1.39,4.60]	0.00269612	0.876203	0.1		0.998203	1		111	10	4.6436	2.56954	[1.25,5.27]	0.0159573	1	0.1		0.988514	1		66	5	2.76106	1.9707	[0.76,5.13]	0.139191	1	0.1		0.892228	1		39	8	1.63154	6.80352	[2.96,15.66]	0.000107293	0.174344	0.1	*	0.999984	1		80	5	3.34674	1.58298	[0.61,4.10]	0.26571	1	0.1		0.750297	1		109	5	4.55994	1.11191	[0.43,2.86]	0.499489	1	0.1		0.383373	1		79	5	3.30491	1.60581	[0.62,4.16]	0.267709	1	0.1		0.750387	1		262	13	10.9606	1.26104	[0.66,2.40]	0.300873	1	0.1		0.614426	1		71	4	2.97023	1.39801	[0.49,3.99]	0.36337	1	0.1		0.6407	1		
23	43	66	3	2.28319	1.35357	[0.41,4.50]	0.304094	1	0.1		0.717808	1		69	4	2.38697	1.79093	[0.62,5.16]	0.209512	1	0.1		0.833004	1		209	14	7.23009	2.48806	[1.29,4.79]	0.00804163	1	0.1		0.99414	1		111	8	3.8399	2.4344	[1.10,5.39]	0.0376776	1	0.1		0.972387	1		66	3	2.28319	1.35357	[0.41,4.50]	0.304094	1	0.1		0.717808	1		39	0	1.34916	0	[0.00,0.00]	1	1	0.1		1	1		80	3	2.7675	1.09383	[0.33,3.62]	0.455477	1	0.1		0.480965	1		109	4	3.77072	1.0696	[0.37,3.05]	0.462753	1	0.1		0.421492	1		79	3	2.7329	1.10921	[0.34,3.67]	0.460885	1	0.1		0.482819	1		262	10	9.06356	1.13997	[0.55,2.34]	0.420591	1	0.1		0.431823	1		71	4	2.45615	1.7344	[0.60,5.00]	0.210032	1	0.1		0.830338	1		
24	63	66	2	3.34513	0.571721	[0.14,2.39]	0.336414	1	0.1		0.197616	1		69	2	3.49718	0.544654	[0.13,2.28]	0.306359	1	0.1		0.184215	1		209	9	10.5929	0.816667	[0.40,1.68]	0.364254	1	0.1		0.1243	1		111	2	5.62591	0.322154	[0.08,1.34]	0.066642	1	0.1		0.0489247	1		66	2	3.34513	0.571721	[0.14,2.39]	0.336414	1	0.1		0.197616	1		39	4	1.97667	2.21792	[0.76,6.45]	0.0875613	1	0.1		0.956794	1		80	8	4.05471	2.23838	[1.03,4.88]	0.0411749	1	0.1		0.970161	1		109	1	5.52454	0.160096	[0.02,1.17]	0.019522	1	0.1		0.0168859	1		79	3	4.00402	0.726316	[0.22,2.37]	0.421287	1	0.1		0.200804	1		262	12	13.2792	0.875294	[0.46,1.67]	0.412772	1	0.1		0.119667	1		71	4	3.59855	1.12623	[0.40,3.19]	0.490213	1	0.1		0.424039	1		
