C	Cn	autism_spectrum_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	intellectual_disability	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Alzheimer's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	hypertension	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	autistic_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Huntington's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Parkinson's_disease	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	epilepsy_syndrome	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	bipolar_disorder	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	schizophrenia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	frontotemporal_dementia	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
24	76		2	4.0354	0.465794	[0.11,1.94]	0.215946	1	0.1		0.139147	1			7	4.21883	1.80809	[0.80,4.10]	0.13353	1	0.1		0.880798	1			7	12.7788	0.484646	[0.22,1.07]	0.0406967	1	0.1		0.0233039	1			2	6.78681	0.262336	[0.06,1.08]	0.0259209	1	0.1		0.0201152	1			2	4.0354	0.465794	[0.11,1.94]	0.215946	1	0.1		0.139147	1			1	2.38455	0.39614	[0.05,2.93]	0.297515	1	0.1		0.215449	1			2	4.89139	0.377339	[0.09,1.57]	0.117763	1	0.1		0.082158	1			3	6.66452	0.411347	[0.13,1.33]	0.0839674	1	0.1		0.0552178	1			2	4.83025	0.38259	[0.09,1.59]	0.123201	1	0.1		0.0855423	1			11	16.0193	0.617591	[0.32,1.19]	0.0911766	1	0.1		0.041724	1			3	4.34111	0.664182	[0.20,2.16]	0.35539	1	0.1		0.180336	1		
25	6		1	0.318584	3.60615	[0.42,31.32]	0.243391	1	0.1		0.963731	1			2	0.333065	8.73134	[1.57,48.53]	0.0365024	1	0.1		0.997095	1			3	1.00885	5.00485	[1.00,24.97]	0.0544418	1	0.1		0.991181	1			0	0.5358	0	[0.00,0.00]	1	1	0.1		1	1			1	0.318584	3.60615	[0.42,31.32]	0.243391	1	0.1		0.963731	1			0	0.188254	0	[0.00,0.00]	1	1	0.1		1	1			2	0.386163	7.42949	[1.34,41.19]	0.0473485	1	0.1		0.995538	1			1	0.526146	2.09074	[0.24,18.06]	0.333603	1	0.1		0.909502	1			2	0.381335	7.53247	[1.36,41.77]	0.046324	1	0.1		0.995697	1			1	1.26468	0.747893	[0.09,6.43]	0.628829	1	0.1		0.387959	1			1	0.342719	3.33429	[0.38,28.93]	0.256306	1	0.1		0.958441	1		
26	97		2	5.15044	0.355921	[0.09,1.48]	0.0967019	1	0.1		0.0688097	1			4	5.38455	0.715302	[0.25,2.01]	0.360477	1	0.1		0.164757	1			19	16.3097	1.22564	[0.72,2.07]	0.296906	1	0.1		0.601559	1			5	8.66211	0.533224	[0.21,1.34]	0.116043	1	0.1		0.0639473	1			2	5.15044	0.355921	[0.09,1.48]	0.0967019	1	0.1		0.0688097	1			1	3.04344	0.303728	[0.04,2.24]	0.176314	1	0.1		0.136372	1			3	6.24296	0.443078	[0.14,1.43]	0.11253	1	0.1		0.0716091	1			8	8.50603	0.930026	[0.44,1.97]	0.516668	1	0.1		0.148672	1			6	6.16492	0.96914	[0.41,2.29]	0.578387	1	0.1		0.172059	1			9	20.4457	0.360986	[0.18,0.73]	0.00115601	0.621044	0.1		0.000768732	0.934797			8	5.54063	1.54521	[0.72,3.33]	0.159727	1	0.1		0.834206	1		
27	101		8	5.36283	1.60771	[0.75,3.47]	0.162172	1	0.1		0.838098	1			3	5.6066	0.499072	[0.15,1.62]	0.170327	1	0.1		0.102345	1			16	16.9823	0.925571	[0.53,1.61]	0.456925	1	0.1		0.108417	1			14	9.01931	1.73362	[0.95,3.16]	0.0692367	1	0.1		0.930675	1			8	5.36283	1.60771	[0.75,3.47]	0.162172	1	0.1		0.838098	1			7	3.16895	2.58311	[1.11,6.01]	0.0227564	1	0.1		0.989385	1			6	6.5004	0.911522	[0.39,2.15]	0.520857	1	0.1		0.168317	1			11	8.8568	1.30204	[0.67,2.52]	0.295909	1	0.1		0.638859	1			10	6.41915	1.70887	[0.85,3.43]	0.0862993	1	0.1		0.916072	1			19	21.2888	0.857222	[0.51,1.44]	0.330536	1	0.1		0.0883318	1			6	5.76911	1.04648	[0.44,2.48]	0.471064	1	0.1		0.347696	1		
28	4		0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			1	0.672566	1.65224	[0.17,15.96]	0.387901	1	0.1		0.866281	1			0	0.3572	0	[0.00,0.00]	1	1	0.1		1	1			0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.125503	0	[0.00,0.00]	1	1	0.1		1	1			0	0.257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.350764	0	[0.00,0.00]	1	1	0.1		1	1			0	0.254224	0	[0.00,0.00]	1	1	0.1		1	1			2	0.843121	3.76538	[0.53,26.86]	0.166036	1	0.1		0.968695	1			0	0.228479	0	[0.00,0.00]	1	1	0.1		1	1		
29	33		0	1.75221	0	[0.00,0.00]	1	1	0.1		1	1			2	1.83186	1.10063	[0.26,4.70]	0.429088	1	0.1		0.576248	1			5	5.54867	0.880602	[0.34,2.31]	0.511077	1	0.1		0.186255	1			4	2.9469	1.42185	[0.49,4.12]	0.364221	1	0.1		0.645689	1			0	1.75221	0	[0.00,0.00]	1	1	0.1		1	1			0	1.0354	0	[0.00,0.00]	1	1	0.1		1	1			3	2.12389	1.47143	[0.44,4.93]	0.308417	1	0.1		0.734236	1			3	2.89381	1.04151	[0.31,3.47]	0.672912	1	0.1		0.237686	1			1	2.09735	0.453526	[0.06,3.36]	0.367332	1	0.1		0.256121	1			10	6.95575	1.65286	[0.78,3.52]	0.127785	1	0.1		0.873396	1			4	1.88496	2.35306	[0.80,6.89]	0.0786014	1	0.1		0.964212	1		
30	14		0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.777152	0	[0.00,0.00]	1	1	0.1		1	1			5	2.35398	2.79139	[0.93,8.42]	0.0508279	1	0.1		0.980743	1			1	1.2502	0.782517	[0.10,6.04]	0.64015	1	0.1		0.372163	1			0	0.743363	0	[0.00,0.00]	1	1	0.1		1	1			0	0.43926	0	[0.00,0.00]	1	1	0.1		1	1			1	0.901046	1.11977	[0.14,8.67]	0.381801	1	0.1		0.773828	1			1	1.22767	0.798433	[0.10,6.16]	0.648718	1	0.1		0.373987	1			1	0.889783	1.13511	[0.15,8.79]	0.381287	1	0.1		0.778087	1			4	2.95093	1.50543	[0.47,4.84]	0.356862	1	0.1		0.676315	1			0	0.799678	0	[0.00,0.00]	1	1	0.1		1	1		
31	8		0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1			1	0.444087	2.45168	[0.30,20.21]	0.299135	1	0.1		0.931544	1			1	1.34513	0.705357	[0.09,5.76]	0.599848	1	0.1		0.371599	1			0	0.714401	0	[0.00,0.00]	1	1	0.1		1	1			0	0.424779	0	[0.00,0.00]	1	1	0.1		1	1			0	0.251006	0	[0.00,0.00]	1	1	0.1		1	1			0	0.514883	0	[0.00,0.00]	1	1	0.1		1	1			0	0.701529	0	[0.00,0.00]	1	1	0.1		1	1			0	0.508447	0	[0.00,0.00]	1	1	0.1		1	1			2	1.68624	1.25	[0.25,6.23]	0.451253	1	0.1		0.623595	1			0	0.456959	0	[0.00,0.00]	1	1	0.1		1	1		
32	72		3	3.82301	0.764665	[0.23,2.50]	0.459389	1	0.1		0.210656	1			4	3.99678	1.0009	[0.35,2.83]	0.629947	1	0.1		0.207094	1			17	12.1062	1.57604	[0.90,2.77]	0.0970878	1	0.1		0.894264	1			12	6.42961	2.16566	[1.13,4.16]	0.021131	1	0.1		0.983104	1			3	3.82301	0.764665	[0.23,2.50]	0.459389	1	0.1		0.210656	1			3	2.25905	1.37077	[0.41,4.56]	0.304769	1	0.1		0.720826	1			2	4.63395	0.400366	[0.10,1.66]	0.142134	1	0.1		0.0971118	1			6	6.31376	0.94263	[0.40,2.23]	0.552696	1	0.1		0.171001	1			2	4.57603	0.405937	[0.10,1.69]	0.148193	1	0.1		0.100742	1			10	15.1762	0.588198	[0.30,1.16]	0.0775667	1	0.1		0.0374848	1			1	4.11263	0.221529	[0.03,1.62]	0.0717865	1	0.1		0.0590653	1		
33	108		2	5.73451	0.315743	[0.08,1.31]	0.0612815	1	0.1		0.0452525	1			4	5.99517	0.633136	[0.23,1.77]	0.266021	1	0.1		0.133673	1			24	18.1593	1.46718	[0.91,2.37]	0.0896763	1	0.1		0.893387	1			5	9.64441	0.47124	[0.19,1.18]	0.0636951	1	0.1		0.0378424	1			2	5.73451	0.315743	[0.08,1.31]	0.0612815	1	0.1		0.0452525	1			5	3.38858	1.57196	[0.60,4.11]	0.262732	1	0.1		0.752907	1			10	6.95093	1.55248	[0.78,3.11]	0.13795	1	0.1		0.852926	1			11	9.47064	1.19998	[0.62,2.31]	0.363336	1	0.1		0.5228	1			8	6.86404	1.19887	[0.56,2.56]	0.436743	1	0.1		0.459746	1			35	22.7643	1.91781	[1.25,2.94]	0.00291317	0.852031	0.1		0.997158	1			7	6.16895	1.15981	[0.52,2.60]	0.395062	1	0.1		0.487279	1		
34	3		0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.166533	0	[0.00,0.00]	1	1	0.1		1	1			0	0.504425	0	[0.00,0.00]	1	1	0.1		1	1			0	0.2679	0	[0.00,0.00]	1	1	0.1		1	1			0	0.159292	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0941271	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.263073	0	[0.00,0.00]	1	1	0.1		1	1			0	0.190668	0	[0.00,0.00]	1	1	0.1		1	1			0	0.632341	0	[0.00,0.00]	1	1	0.1		1	1			0	0.17136	0	[0.00,0.00]	1	1	0.1		1	1		
