C	Cn	Tubulin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_Rhodpsn	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	GPCR_2_secretin-like	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	ArfGAP	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Proteasome_sua/b	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Iono_rcpt_met	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	IF	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	P_typ_ATPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Mit_carrier	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	SDR_fam	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_I	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Keratin_II	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Actin	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Neur_channel	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_ARF/SAR	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Ca/CaM-dep_Ca-dep_prot_Kinase	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	Small_GTPase_Ras	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	VG_K_chnl	actual overlap	expected overlap	OR	95% CI	p-value	p.adjusted	{p_value}	BC	p-value(ALT)	p.adjusted(ALT)	BC(ALT)	
11	114		0	0.825422	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			1	0.917136	1.10128	[0.14,8.77]	0.768285	1	0.1		0.387542	1			0	0.825422	0	[0.00,0.00]	1	1	0.1		1	1			3	0.366854	30.4865	[3.14,295.56]	0.00274264	1	0.1		0.999933	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			2	0.733709	3.34226	[0.67,16.76]	0.1323	1	0.1		0.970116	1			9	2.75141	4.52245	[2.02,10.13]	0.000743664	0.564381	0.1		0.999823	1			0	0.275141	0	[0.00,0.00]	1	1	0.1		1	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0917136	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			0	0.917136	0	[0.00,0.00]	1	1	0.1		1	1			3	0.825422	5.05856	[1.25,20.50]	0.0359941	1	0.1		0.994112	1			1	0.183427	9.9823	[0.62,160.68]	0.166739	1	0.1		0.991656	1		
12	8		0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0514883	0	[0.00,0.00]	1	1	0.1		1	1			0	0.193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0579244	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1		
13	3		0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		
14	3		0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		
15	15		0	0.108608	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108608	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.362027	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0362027	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.120676	0	[0.00,0.00]	1	1	0.1		1	1			0	0.108608	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1		
16	59		0	0.427192	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1			1	0.474658	2.25096	[0.28,18.07]	0.3082	1	0.1		0.921987	1			0	0.427192	0	[0.00,0.00]	1	1	0.1		1	1			0	0.189863	0	[0.00,0.00]	1	1	0.1		1	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1			0	0.379726	0	[0.00,0.00]	1	1	0.1		1	1			0	1.42397	0	[0.00,0.00]	1	1	0.1		1	1			0	0.142397	0	[0.00,0.00]	1	1	0.1		1	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.284795	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0474658	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1			0	0.474658	0	[0.00,0.00]	1	1	0.1		1	1			0	0.427192	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0949316	0	[0.00,0.00]	1	1	0.1		1	1		
17	137		2	0.991955	2.32593	[0.48,11.31]	0.193621	1	0.1		0.933107	1			0	0.220434	0	[0.00,0.00]	1	1	0.1		1	1			0	0.220434	0	[0.00,0.00]	1	1	0.1		1	1			1	1.10217	0.896242	[0.11,7.13]	0.696377	1	0.1		0.386719	1			0	0.991955	0	[0.00,0.00]	1	1	0.1		1	1			0	0.440869	0	[0.00,0.00]	1	1	0.1		1	1			0	0.661303	0	[0.00,0.00]	1	1	0.1		1	1			0	0.881738	0	[0.00,0.00]	1	1	0.1		1	1			0	3.30652	0	[0.00,0.00]	1	1	0.1		1	1			0	0.330652	0	[0.00,0.00]	1	1	0.1		1	1			1	0.661303	1.61912	[0.19,13.96]	0.369945	1	0.1		0.865455	1			0	0.220434	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.661303	0	[0.00,0.00]	1	1	0.1		1	1			0	0.110217	0	[0.00,0.00]	1	1	0.1		1	1			0	0.220434	0	[0.00,0.00]	1	1	0.1		1	1			7	1.10217	19.7974	[5.06,77.50]	1.47814e-05	0.0336536	0.1	**	0.999999	1			0	0.991955	0	[0.00,0.00]	1	1	0.1		1	1			0	0.220434	0	[0.00,0.00]	1	1	0.1		1	1		
18	3		0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0217216	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1		
19	4		0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1		
20	10		0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1		
21	10		0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0241352	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0804505	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0724055	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0160901	0	[0.00,0.00]	1	1	0.1		1	1		
22	54		0	0.39099	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			1	0.434433	2.47379	[0.31,19.89]	0.293023	1	0.1		0.933331	1			0	0.39099	0	[0.00,0.00]	1	1	0.1		1	1			1	0.173773	7.45912	[0.76,72.92]	0.152446	1	0.1		0.989489	1			0	0.26066	0	[0.00,0.00]	1	1	0.1		1	1			0	0.347546	0	[0.00,0.00]	1	1	0.1		1	1			1	1.3033	0.754717	[0.10,5.65]	0.622146	1	0.1		0.362545	1			0	0.13033	0	[0.00,0.00]	1	1	0.1		1	1			0	0.26066	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.26066	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1			0	0.434433	0	[0.00,0.00]	1	1	0.1		1	1			1	0.39099	2.78538	[0.34,22.68]	0.275555	1	0.1		0.945166	1			0	0.0868866	0	[0.00,0.00]	1	1	0.1		1	1		
23	46		0	0.333065	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			0	0.370072	0	[0.00,0.00]	1	1	0.1		1	1			0	0.333065	0	[0.00,0.00]	1	1	0.1		1	1			0	0.148029	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			0	0.296058	0	[0.00,0.00]	1	1	0.1		1	1			1	1.11022	0.895019	[0.12,6.72]	0.694242	1	0.1		0.376002	1			0	0.111022	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.222043	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0370072	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1			0	0.370072	0	[0.00,0.00]	1	1	0.1		1	1			1	0.333065	3.30278	[0.40,26.97]	0.247708	1	0.1		0.959121	1			0	0.0740145	0	[0.00,0.00]	1	1	0.1		1	1		
24	76		0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0.611424	0	[0.00,0.00]	1	1	0.1		1	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			0	0.24457	0	[0.00,0.00]	1	1	0.1		1	1			0	0.366854	0	[0.00,0.00]	1	1	0.1		1	1			0	0.489139	0	[0.00,0.00]	1	1	0.1		1	1			0	1.83427	0	[0.00,0.00]	1	1	0.1		1	1			0	0.183427	0	[0.00,0.00]	1	1	0.1		1	1			1	0.366854	3.09867	[0.36,26.86]	0.268544	1	0.1		0.952858	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			1	0.366854	3.09867	[0.36,26.86]	0.268544	1	0.1		0.952858	1			0	0.0611424	0	[0.00,0.00]	1	1	0.1		1	1			0	0.122285	0	[0.00,0.00]	1	1	0.1		1	1			0	0.611424	0	[0.00,0.00]	1	1	0.1		1	1			0	0.550282	0	[0.00,0.00]	1	1	0.1		1	1			1	0.122285	15.5467	[0.96,251.02]	0.1149	1	0.1		0.996308	1		
25	6		0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			1	0.00965406	247.2	[13.50,4527.30]	0.0096152	1	0.1		0.999981	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0386163	0	[0.00,0.00]	1	1	0.1		1	1			0	0.144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0144811	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0482703	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0434433	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1		
26	97		1	0.702333	1.48177	[0.18,11.97]	0.368319	1	0.1		0.848441	1			0	0.156074	0	[0.00,0.00]	1	1	0.1		1	1			0	0.156074	0	[0.00,0.00]	1	1	0.1		1	1			2	0.78037	2.99474	[0.63,14.30]	0.143268	1	0.1		0.963055	1			0	0.702333	0	[0.00,0.00]	1	1	0.1		1	1			0	0.312148	0	[0.00,0.00]	1	1	0.1		1	1			0	0.468222	0	[0.00,0.00]	1	1	0.1		1	1			0	0.624296	0	[0.00,0.00]	1	1	0.1		1	1			8	2.34111	4.59244	[1.99,10.61]	0.00116375	0.75702	0.1		0.999732	1			0	0.234111	0	[0.00,0.00]	1	1	0.1		1	1			0	0.468222	0	[0.00,0.00]	1	1	0.1		1	1			0	0.156074	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.468222	0	[0.00,0.00]	1	1	0.1		1	1			0	0.078037	0	[0.00,0.00]	1	1	0.1		1	1			2	0.156074	0	[0.00,0.00]	0.00603185	1	0.1		1	1			0	0.78037	0	[0.00,0.00]	1	1	0.1		1	1			1	0.702333	1.48177	[0.18,11.97]	0.368319	1	0.1		0.848441	1			0	0.156074	0	[0.00,0.00]	1	1	0.1		1	1		
27	101		0	0.731295	0	[0.00,0.00]	1	1	0.1		1	1			0	0.16251	0	[0.00,0.00]	1	1	0.1		1	1			0	0.16251	0	[0.00,0.00]	1	1	0.1		1	1			0	0.81255	0	[0.00,0.00]	1	1	0.1		1	1			0	0.731295	0	[0.00,0.00]	1	1	0.1		1	1			0	0.32502	0	[0.00,0.00]	1	1	0.1		1	1			0	0.48753	0	[0.00,0.00]	1	1	0.1		1	1			1	0.65004	1.62143	[0.20,13.31]	0.360667	1	0.1		0.867297	1			1	2.43765	0.383793	[0.05,2.85]	0.283793	1	0.1		0.207553	1			1	0.243765	5.7	[0.51,63.41]	0.206077	1	0.1		0.981417	1			1	0.48753	2.274	[0.26,19.65]	0.320197	1	0.1		0.920962	1			0	0.16251	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.48753	0	[0.00,0.00]	1	1	0.1		1	1			1	0.081255	0	[0.00,0.00]	0.081255	1	0.1		1	1			0	0.16251	0	[0.00,0.00]	1	1	0.1		1	1			1	0.81255	1.25889	[0.16,10.04]	0.380753	1	0.1		0.807875	1			1	0.731295	1.4175	[0.18,11.45]	0.372896	1	0.1		0.838093	1			0	0.16251	0	[0.00,0.00]	1	1	0.1		1	1		
28	4		0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0128721	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0257442	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00965406	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0193081	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0321802	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0289622	0	[0.00,0.00]	1	1	0.1		1	1			0	0.00643604	0	[0.00,0.00]	1	1	0.1		1	1		
29	33		0	0.238938	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.238938	0	[0.00,0.00]	1	1	0.1		1	1			0	0.106195	0	[0.00,0.00]	1	1	0.1		1	1			1	0.159292	7.53125	[0.86,66.33]	0.139772	1	0.1		0.990405	1			0	0.212389	0	[0.00,0.00]	1	1	0.1		1	1			0	0.79646	0	[0.00,0.00]	1	1	0.1		1	1			1	0.079646	18.875	[1.67,213.55]	0.0755931	1	0.1		0.997982	1			1	0.159292	7.53125	[0.86,66.33]	0.139772	1	0.1		0.990405	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			1	0.159292	7.53125	[0.86,66.33]	0.139772	1	0.1		0.990405	1			0	0.0265487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1			0	0.265487	0	[0.00,0.00]	1	1	0.1		1	1			0	0.238938	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0530973	0	[0.00,0.00]	1	1	0.1		1	1		
30	14		0	0.101368	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0.101368	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0450523	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0901046	0	[0.00,0.00]	1	1	0.1		1	1			0	0.337892	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0337892	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0675784	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1			0	0.112631	0	[0.00,0.00]	1	1	0.1		1	1			0	0.101368	0	[0.00,0.00]	1	1	0.1		1	1			0	0.0225261	0	[0.00,0.00]	1	1	0.1		1	1		
